timestamps,X,Y,Z
1689275098.957,-1.705,2.834,0.927
1689275098.957,-1.869,2.804,1.196
1689275098.957,-2.049,2.923,1.338
1689275099.017,-2.071,3.170,1.353
1689275099.017,-2.108,3.320,1.286
1689275099.017,-2.213,3.282,1.159
1689275099.094,-2.049,3.118,1.211
1689275099.094,-1.847,3.342,1.211
1689275099.094,-2.056,3.312,1.211
1689275099.125,-1.996,3.507,0.972
1689275099.125,-1.824,3.529,0.860
1689275099.125,-1.727,3.320,0.897
1689275099.202,-1.832,3.073,0.875
1689275099.202,-2.385,2.819,0.606
1689275099.202,-2.639,3.140,0.322
1689275099.242,-2.594,3.514,0.396
1689275099.242,-2.161,3.454,0.568
1689275099.242,-1.794,3.380,0.815
1689275099.303,-2.183,3.327,1.069
1689275099.303,-2.206,3.021,0.972
1689275099.303,-2.161,2.961,1.271
1689275099.366,-2.310,3.125,1.308
1689275099.366,-1.907,3.656,1.301
1689275099.366,-1.593,3.843,1.346
1689275099.410,-1.697,3.679,1.047
1689275099.410,-1.727,3.454,0.830
1689275099.410,-1.832,3.701,0.935
1689275099.467,-1.929,3.970,0.905
1689275099.467,-2.280,4.494,0.254
1689275099.467,-1.892,4.389,-0.127
1689275099.528,-1.735,4.434,-0.449
1689275099.528,-1.720,4.314,-0.426
1689275099.528,-1.884,4.157,-0.007
1689275099.587,-1.817,4.538,0.120
1689275099.587,-2.026,5.368,0.508
1689275099.587,-1.899,6.191,0.897
1689275099.635,-1.735,7.013,1.331
1689275099.635,-1.316,7.881,1.480
1689275099.635,-1.824,7.387,1.667
1689275099.692,-1.555,6.176,1.660
1689275099.692,-1.413,5.473,2.004
1689275099.692,-1.151,4.815,2.056
1689275099.752,-1.151,4.067,2.116
1689275099.752,-1.585,4.045,2.303
1689275099.752,-1.772,4.090,2.325
1689275099.812,-1.608,3.925,2.034
1689275099.812,-1.361,3.589,1.854
1689275099.812,-1.548,3.110,1.660
1689275099.873,-1.697,2.654,1.159
1689275099.873,-2.295,2.789,0.748
1689275099.873,-2.363,2.938,0.523
1689275099.935,-2.116,2.968,0.419
1689275099.935,-2.004,2.998,0.905
1689275099.935,-2.034,2.699,1.077
1689275099.977,-2.191,2.550,1.413
1689275099.977,-2.355,2.251,1.593
1689275099.977,-2.363,2.221,1.585
1689275100.037,-2.228,1.966,2.094
1689275100.037,-2.280,1.929,2.520
1689275100.037,-2.236,0.000,2.901
1689275100.097,-2.280,1.705,3.350
1689275100.097,-2.049,1.346,3.626
1689275100.097,-2.295,1.271,4.015
1689275100.159,-2.759,1.473,4.030
1689275100.159,-2.677,1.563,3.791
1689275100.159,-2.512,1.615,3.551
1689275100.207,-1.989,1.944,3.574
1689275100.207,-2.064,2.408,3.402
1689275100.207,-1.630,2.908,3.051
1689275100.263,-1.450,2.879,2.916
1689275100.263,-1.473,2.908,2.557
1689275100.263,-1.316,2.692,2.609
1689275100.322,-1.249,2.565,2.587
1689275100.322,-0.987,2.213,2.437
1689275100.322,-1.533,1.914,2.535
1689275100.368,-1.488,2.086,2.774
1689275100.368,-1.802,2.400,3.110
1689275100.368,-2.056,2.587,3.439
1689275100.431,-1.944,2.520,3.432
1689275100.431,-1.667,2.759,3.424
