timestamps,TP9,AF7,AF8,TP10,Right AUX
1688757389.053,-20.020,-21.973,-25.391,-24.902,-116.699
1688757389.057,-20.508,-21.484,-30.273,-29.297,-109.375
1688757389.061,-25.879,-25.879,-33.691,-33.203,-131.836
1688757389.065,-34.668,-29.297,-36.621,-35.645,-56.641
1688757389.069,-40.039,-33.203,-35.645,-38.574,-47.852
1688757389.073,-36.621,-32.227,-32.715,-33.691,-51.270
1688757389.077,-24.414,-28.320,-35.156,-33.203,6.348
1688757389.080,-19.043,-24.902,-33.691,-34.668,232.422
1688757389.084,-22.461,-28.320,-34.180,-32.715,231.934
1688757389.088,-31.738,-32.227,-36.621,-39.062,-174.805
1688757389.092,-33.691,-31.250,-29.297,-32.715,-205.078
1688757389.096,-23.926,-26.855,-24.414,-20.996,-113.281
1688757389.096,-27.832,-26.367,-26.367,-17.578,-147.949
1688757389.100,-33.203,-24.902,-27.344,-23.926,-170.898
1688757389.104,-36.621,-23.926,-25.391,-31.250,-125.488
1688757389.108,-36.621,-32.715,-23.926,-25.879,-27.832
1688757389.112,-22.461,-35.645,-20.020,-11.230,-60.547
1688757389.116,-21.484,-26.855,-25.879,-15.137,-73.242
1688757389.120,-36.621,-16.602,-34.180,-37.109,86.426
1688757389.123,-40.527,-16.602,-32.715,-28.809,439.941
1688757389.127,-41.992,-19.531,-33.691,-28.809,184.082
1688757389.131,-35.645,-18.555,-37.109,-41.504,-189.941
1688757389.135,-33.203,-20.508,-35.156,-41.016,-60.547
1688757389.139,-32.227,-20.996,-36.133,-44.434,-99.121
1688757389.143,-28.320,-18.555,-41.504,-35.645,-215.820
1688757389.147,-28.320,-13.672,-33.691,-29.297,-199.219
1688757389.151,-26.855,-13.672,-28.809,-23.926,-70.312
1688757389.155,-26.367,-17.090,-33.691,-24.414,-90.820
1688757389.159,-28.809,-14.160,-35.156,-33.203,-162.109
1688757389.163,-30.762,-15.137,-34.668,-38.086,-46.387
1688757389.167,-29.785,-18.066,-36.133,-33.691,329.102
1688757389.170,-24.414,-19.531,-35.156,-21.484,245.605
1688757389.174,-22.949,-21.484,-35.156,-17.578,-164.062
