timestamps,X,Y,Z
1688141012.104,0.020,-0.002,0.993
1688141012.104,0.018,0.002,0.996
1688141012.104,0.015,0.002,1.004
1688141012.162,0.014,0.005,1.001
1688141012.162,0.014,0.004,1.002
1688141012.162,0.014,0.005,1.001
1688141012.220,0.014,0.003,0.998
1688141012.220,0.012,0.002,0.997
1688141012.220,0.013,0.001,0.996
1688141012.280,0.012,0.001,1.001
1688141012.280,0.016,0.003,0.998
1688141012.280,0.013,0.005,0.998
1688141012.341,0.013,0.006,1.004
1688141012.341,0.013,0.004,1.001
1688141012.341,0.014,0.006,0.999
1688141012.387,0.016,0.005,1.002
1688141012.387,0.014,0.007,1.000
1688141012.387,0.016,0.003,1.001
1688141012.460,0.017,0.005,1.001
1688141012.460,0.016,0.007,1.001
1688141012.460,0.018,0.009,0.999
1688141012.505,0.018,0.010,0.995
1688141012.505,0.017,0.008,1.002
1688141012.505,0.016,0.006,0.999
1688141012.550,0.011,0.008,1.001
1688141012.550,0.013,0.009,1.002
1688141012.550,0.014,0.011,1.001
1688141012.613,0.015,0.009,1.003
1688141012.613,0.015,0.009,0.999
1688141012.613,0.013,0.004,0.999
1688141012.675,0.016,0.011,0.999
1688141012.675,0.014,0.005,1.002
1688141012.675,0.018,0.006,0.999
1688141012.730,0.019,0.002,0.996
1688141012.730,0.019,0.010,0.996
1688141012.730,0.019,0.009,0.998
1688141012.789,0.019,0.002,1.000
1688141012.789,0.017,0.004,1.004
1688141012.789,0.024,0.010,0.990
1688141012.834,0.021,0.007,1.003
1688141012.834,0.020,0.009,1.003
1688141012.834,0.021,0.010,1.002
1688141012.898,0.021,0.011,0.999
1688141012.898,0.021,0.011,0.998
1688141012.898,0.019,0.009,0.996
1688141012.945,0.013,0.010,1.000
1688141012.945,0.015,0.009,1.001
1688141012.945,0.014,0.010,1.002
1688141013.015,0.019,0.010,1.002
1688141013.015,0.013,0.008,1.002
1688141013.015,0.016,0.006,1.001
1688141013.062,0.018,0.010,0.992
1688141013.062,0.017,0.009,1.002
1688141013.062,0.021,0.008,1.007
1688141013.120,0.016,0.005,1.004
1688141013.120,0.022,0.007,0.998
1688141013.120,0.021,0.008,0.994
1688141013.181,0.025,0.008,0.997
1688141013.181,0.025,0.008,0.997
1688141013.181,0.024,0.009,1.001
1688141013.229,0.022,0.009,1.000
1688141013.229,0.021,0.012,1.000
1688141013.229,0.021,0.010,0.999
1688141013.286,0.020,0.010,1.005
1688141013.286,0.017,0.011,0.998
1688141013.286,0.018,0.010,0.998
1688141013.345,0.021,0.010,1.002
1688141013.345,0.020,0.013,0.999
1688141013.345,0.017,0.015,0.999
1688141013.421,0.021,0.015,0.999
1688141013.421,0.018,0.012,1.000
1688141013.421,0.021,0.014,0.996
1688141013.465,0.018,0.010,1.003
1688141013.465,0.019,0.011,0.995
1688141013.465,0.019,0.008,1.004
1688141013.512,0.025,0.011,0.991
1688141013.512,0.025,0.007,0.997
1688141013.512,0.022,0.011,1.004
1688141013.570,0.025,0.007,1.002
1688141013.570,0.024,0.008,0.999
1688141013.570,0.023,0.015,1.001
1688141013.644,0.022,0.011,0.994
1688141013.644,0.016,0.010,0.998
1688141013.644,0.017,0.012,1.001
1688141013.693,0.016,0.012,0.998
1688141013.693,0.018,0.012,0.999
1688141013.693,0.016,0.014,1.000
1688141013.738,0.016,0.014,1.007
1688141013.738,0.016,0.013,1.003
1688141013.738,0.019,0.019,0.998
1688141013.795,0.016,0.014,1.000
1688141013.795,0.012,0.020,1.003
1688141013.795,0.018,0.017,1.003
1688141013.854,0.017,0.018,1.002
1688141013.854,0.017,0.018,0.995
1688141013.854,0.018,0.017,0.997
1688141013.929,0.019,0.021,0.999
1688141013.929,0.022,0.018,1.000
1688141013.929,0.020,0.024,1.001
1688141013.977,0.019,0.020,0.999
1688141013.977,0.016,0.020,1.002
1688141013.977,0.018,0.018,1.001
1688141014.023,0.019,0.016,1.001
1688141014.023,0.016,0.013,1.000
1688141014.023,0.022,0.014,0.998
1688141014.080,0.017,0.013,0.999
1688141014.080,0.018,0.013,1.000
1688141014.080,0.021,0.016,1.001
1688141014.140,0.019,0.015,1.001
1688141014.140,0.020,0.018,0.998
1688141014.140,0.017,0.012,1.002
1688141014.199,0.017,0.013,1.000
1688141014.199,0.017,0.013,1.001
1688141014.199,0.018,0.014,0.998
1688141014.259,0.023,0.018,0.992
1688141014.259,0.018,0.016,1.005
1688141014.259,0.017,0.018,1.004
