timestamps,TP9,AF7,AF8,TP10,Right AUX
1690053607.422,-17.090,-15.625,-23.438,3.906,-101.562
1690053607.426,17.090,-15.137,-23.438,21.973,-91.797
1690053607.430,28.809,-17.578,-24.902,17.090,-12.695
1690053607.434,-13.672,-19.043,-23.438,2.930,-11.719
1690053607.438,-56.641,-17.578,-29.785,0.488,-70.312
1690053607.442,-38.086,-20.020,-30.273,2.930,40.527
1690053607.446,4.395,-22.461,-25.391,8.301,278.320
1690053607.449,10.254,-22.949,-24.414,2.441,28.320
1690053607.453,-23.438,-25.879,-24.414,-4.395,-173.340
1690053607.457,-47.363,-27.832,-23.926,-12.207,-90.820
1690053607.461,-39.551,-34.668,-28.320,-10.254,193.848
1690053607.465,-16.113,-30.762,-31.738,-9.766,48.828
1690053607.467,11.230,-24.902,-27.344,-10.742,-218.750
1690053607.471,-8.789,-27.344,-25.879,-8.301,-141.602
1690053607.475,-48.340,-31.738,-31.738,-19.531,-111.816
1690053607.479,-46.387,-37.598,-33.203,-20.996,-112.793
1690053607.483,-8.789,-39.551,-32.227,-20.020,-165.527
1690053607.487,20.020,-33.203,-30.762,-19.043,-35.156
1690053607.491,-9.277,-29.297,-29.297,-15.625,100.098
1690053607.494,-58.105,-28.320,-26.855,-24.414,-65.918
1690053607.498,-66.406,-29.785,-28.320,-34.668,-99.121
1690053607.502,-21.973,-33.691,-33.691,-19.531,57.617
1690053607.506,15.625,-31.250,-29.297,-6.348,345.215
1690053607.510,-10.254,-26.367,-24.902,-28.320,120.117
1690053607.516,-60.059,-25.391,-29.785,-40.039,-205.078
1690053607.520,-54.199,-26.855,-28.320,-39.062,-109.863
1690053607.524,-9.766,-29.297,-24.902,-37.109,-141.113
1690053607.528,14.160,-26.855,-25.879,-23.438,-276.367
1690053607.532,-0.977,-24.414,-29.785,-20.508,-260.254
1690053607.536,-52.734,-27.832,-34.668,-25.879,-4.395
1690053607.540,-76.660,-27.832,-36.133,-23.438,-23.438
1690053607.543,-34.180,-26.367,-37.109,-22.461,-158.203
1690053607.547,9.277,-27.832,-39.062,-21.484,-26.855
1690053607.551,0.488,-24.414,-34.180,-22.461,-35.156
1690053607.555,-45.898,-14.648,-26.855,-22.949,-223.633
1690053607.559,-63.965,-16.602,-27.832,-15.625,-249.512
1690053607.572,-22.949,-20.996,-27.832,-7.324,-175.293
1690053607.576,22.949,-17.090,-25.879,-4.395,-109.375
1690053607.580,22.949,-16.113,-24.414,0.000,-124.512
1690053607.584,-19.531,-16.602,-27.832,-1.953,-133.789
1690053607.588,-50.293,-17.578,-33.691,-9.277,-92.773
1690053607.592,-19.043,-23.438,-30.273,1.953,370.605
1690053607.596,22.461,-18.555,-29.785,1.953,344.238
1690053607.599,15.137,-12.207,-33.203,-10.742,-164.062
1690053607.603,-19.531,-18.066,-29.785,-12.207,-61.523
1690053607.607,-55.176,-25.391,-25.391,-17.090,146.973
1690053607.611,-47.852,-21.973,-26.855,-21.973,-98.145
1690053607.615,-1.465,-23.926,-27.832,-15.137,-193.848
1690053607.632,18.066,-24.902,-20.996,-13.672,-33.203
1690053607.636,-16.113,-25.391,-20.020,-21.484,-10.254
1690053607.640,-52.246,-27.832,-21.484,-30.273,-129.883
1690053607.644,-21.484,-22.461,-17.578,-13.672,-127.930
1690053607.648,27.344,-21.484,-17.090,-4.395,-59.082
1690053607.652,40.527,-23.438,-19.531,-2.930,30.762
1690053607.656,0.000,-19.043,-23.438,-2.441,60.059
1690053607.659,-47.852,-25.391,-23.926,-13.672,28.809
1690053607.663,-37.598,-30.762,-22.949,-6.348,215.332
1690053607.667,-0.488,-23.926,-25.391,5.859,92.773
1690053607.671,13.184,-22.949,-27.344,-5.371,-207.520
1690053607.675,-17.090,-23.926,-27.832,-11.719,-166.504
1690053607.663,-59.082,-27.344,-28.320,-17.090,-117.676
1690053607.667,-52.734,-28.809,-32.715,-23.438,-126.953
1690053607.671,-12.695,-29.785,-33.203,-23.926,-174.316
1690053607.675,20.508,-29.297,-26.855,-19.043,-113.770
1690053607.679,0.977,-34.180,-31.250,-15.137,17.090
1690053607.683,-52.734,-41.016,-33.203,-26.367,52.246
1690053607.687,-64.453,-37.109,-31.738,-30.762,70.312
1690053607.690,-14.160,-32.227,-30.762,-26.855,71.289
1690053607.694,18.555,-29.297,-28.320,-28.320,42.480
1690053607.698,-15.625,-24.414,-29.297,-30.273,-85.938
1690053607.702,-47.363,-21.973,-28.809,-33.691,-189.453
1690053607.706,-45.898,-22.461,-24.902,-24.902,-22.461
1690053607.708,-8.789,-27.344,-26.855,-9.766,381.348
1690053607.712,5.859,-25.879,-26.855,-19.043,177.246
1690053607.716,-12.695,-20.996,-21.484,-24.414,-181.641
1690053607.720,-37.109,-20.508,-22.949,-20.996,-130.371
1690053607.724,-47.852,-16.113,-24.902,-23.926,-81.055
1690053607.728,-21.973,-16.113,-25.391,-23.926,-25.391
1690053607.732,8.789,-15.137,-26.855,-11.230,-36.133
1690053607.735,10.742,-12.695,-25.391,-3.418,155.273
1690053607.739,-32.715,-17.578,-25.879,-10.254,220.215
1690053607.743,-68.848,-22.949,-31.738,-28.809,-94.727
1690053607.747,-34.180,-23.438,-31.738,-29.297,-188.965
1690053607.751,10.742,-21.973,-28.320,-22.461,-160.645
1690053607.752,15.625,-20.996,-26.855,-23.438,-176.270
1690053607.756,-13.672,-19.043,-33.203,-23.926,-151.367
1690053607.760,-13.672,-19.531,-38.086,1.465,-100.098
1690053607.764,1.465,-21.484,-28.809,13.672,-109.375
1690053607.768,-5.371,-22.949,-27.344,-18.555,-117.188
1690053607.772,-12.207,-20.020,-29.785,-34.180,-155.762
1690053607.776,-30.762,-12.695,-29.785,-20.020,58.105
1690053607.779,-63.965,-17.578,-31.250,-27.832,408.691
1690053607.783,-75.195,-21.973,-28.320,-51.270,182.129
1690053607.787,-42.969,-18.555,-21.973,-63.965,-130.371
1690053607.791,-10.254,-19.043,-21.973,-42.480,-53.223
1690053607.795,-39.551,-21.484,-23.438,-37.598,51.758
1690053607.797,-94.238,-16.602,-22.461,-73.730,-157.715
1690053607.801,-75.684,-16.602,-20.508,-57.129,-185.547
1690053607.805,-26.855,-21.973,-18.555,-34.180,-126.953
1690053607.809,-12.207,-22.461,-21.484,-40.039,-153.320
1690053607.813,-25.391,-17.090,-17.090,-29.785,-152.832
1690053607.817,-58.594,-14.648,-13.672,-29.297,-45.898
1690053607.821,-55.664,-18.066,-17.578,-25.879,245.605
1690053607.824,-0.977,-12.207,-17.090,-13.184,123.535
1690053607.828,27.344,-9.277,-16.602,-19.043,-176.758
1690053607.832,7.324,-15.625,-17.090,-16.602,-46.387
1690053607.836,-30.762,-13.184,-17.578,-6.348,64.453
1690053607.840,-34.668,-8.789,-22.949,-6.348,-34.668
1690053607.842,12.207,-7.324,-26.855,-1.953,-140.137
1690053607.846,39.551,-7.812,-22.949,4.883,-168.945
1690053607.850,1.953,-7.812,-20.020,0.488,-55.664
1690053607.854,-44.922,-8.789,-22.461,-9.277,-13.672
1690053607.858,-51.270,-12.207,-20.996,-12.695,-60.547
1690053607.862,-8.789,-13.184,-22.461,-5.371,139.648
1690053607.866,29.297,-12.207,-21.973,2.441,241.211
1690053607.869,8.301,-15.137,-20.508,-3.418,-27.832
