timestamps,TP9,AF7,AF8,TP10,Right AUX
1692211327.240,-54.688,-42.969,-34.180,-53.223,-91.797
1692211327.244,-48.340,-39.062,-30.762,-54.199,-146.484
1692211327.248,-33.203,-30.762,-24.414,-18.066,-214.844
1692211327.252,-19.043,-29.297,-26.855,12.207,-138.672
1692211327.256,-20.508,-28.320,-28.809,3.906,-55.664
1692211327.260,-29.785,-26.367,-31.250,-24.902,-9.766
1692211327.264,-36.133,-27.832,-33.203,-34.668,-1.465
1692211327.267,-34.668,-30.762,-35.156,-18.555,12.207
1692211327.271,-30.762,-32.227,-32.227,2.441,216.309
1692211327.275,-30.273,-29.785,-31.250,-9.766,58.105
1692211327.279,-31.250,-22.949,-30.273,-41.016,-198.242
1692211327.283,-30.762,-19.043,-33.691,-49.316,-22.461
1692211327.284,-23.926,-17.578,-41.504,-33.691,51.270
1692211327.288,-20.996,-20.996,-39.551,-18.066,-140.137
1692211327.292,-21.973,-21.484,-37.598,-19.043,-164.062
1692211327.296,-25.391,-18.555,-35.645,-40.039,131.836
1692211327.300,-24.902,-18.066,-34.180,-55.176,279.785
1692211327.304,-20.996,-17.578,-30.762,-37.109,122.070
1692211327.308,-20.508,-22.461,-35.156,-12.695,41.504
1692211327.311,-16.602,-26.855,-39.551,-20.996,173.828
1692211327.315,-25.391,-22.949,-32.227,-46.875,224.609
1692211327.319,-37.109,-23.438,-28.809,-63.965,-137.207
1692211327.323,-30.273,-26.855,-28.320,-53.223,-201.172
1692211327.327,-23.926,-24.902,-25.391,-32.715,-57.617
1692211327.332,-23.926,-19.531,-23.438,-29.785,-58.105
1692211327.336,-25.391,-20.020,-23.438,-42.480,-134.766
1692211327.340,-32.227,-27.832,-22.461,-57.129,-49.805
1692211327.344,-33.691,-26.367,-20.508,-48.828,64.453
1692211327.348,-25.391,-24.414,-19.043,-12.695,2.441
1692211327.352,-25.391,-32.227,-23.438,-4.883,1.465
1692211327.356,-30.762,-32.227,-24.902,-29.785,63.477
1692211327.359,-32.227,-29.297,-21.484,-43.457,157.715
1692211327.363,-32.227,-27.344,-22.949,-38.574,-22.949
1692211327.367,-28.320,-25.391,-28.320,-22.949,-207.520
1692211327.371,-31.738,-28.809,-27.344,-7.812,-100.098
1692211327.375,-38.574,-30.273,-24.902,-12.695,-107.422
1692211327.374,-39.551,-29.297,-30.273,-37.598,-184.082
1692211327.378,-35.156,-31.738,-29.785,-44.434,-171.387
1692211327.382,-28.809,-29.297,-28.320,-29.297,39.551
1692211327.386,-27.344,-25.879,-32.227,-19.043,58.105
1692211327.390,-32.715,-27.344,-34.180,-33.203,-55.176
1692211327.394,-34.668,-30.762,-31.250,-53.223,-4.883
1692211327.398,-42.480,-34.668,-28.809,-54.688,177.246
1692211327.401,-44.434,-31.738,-31.250,-35.156,448.730
1692211327.405,-31.250,-23.438,-29.297,-13.184,191.895
1692211327.409,-26.367,-22.461,-28.809,-19.043,-181.641
1692211327.413,-26.855,-24.902,-28.809,-44.434,-201.660
1692211327.417,-26.367,-26.855,-31.250,-50.293,-175.781
1692211327.421,-24.414,-29.297,-34.668,-30.762,-214.844
1692211327.425,-26.367,-35.156,-37.109,-13.184,-140.625
1692211327.429,-29.785,-33.691,-38.086,-23.438,-82.031
1692211327.433,-33.203,-26.855,-30.273,-40.527,-146.484
1692211327.437,-42.480,-25.391,-31.250,-55.176,-178.223
1692211327.441,-35.156,-23.926,-36.621,-37.109,-70.312
1692211327.445,-23.926,-26.855,-32.715,-4.395,121.582
1692211327.448,-27.344,-28.809,-31.738,-8.301,73.730
1692211327.452,-26.367,-28.320,-30.762,-33.203,-133.301
