timestamps,X,Y,Z
1689844068.384,-0.238,0.142,0.972
1689844068.384,-0.233,0.141,0.968
1689844068.384,-0.231,0.141,0.964
1689844068.429,-0.226,0.142,0.966
1689844068.429,-0.224,0.138,0.964
1689844068.429,-0.226,0.142,0.962
1689844068.492,-0.226,0.141,0.963
1689844068.492,-0.231,0.140,0.969
1689844068.492,-0.231,0.142,0.971
1689844068.537,-0.236,0.141,0.971
1689844068.537,-0.230,0.141,0.968
1689844068.537,-0.229,0.140,0.966
1689844068.594,-0.231,0.142,0.957
1689844068.594,-0.232,0.145,0.960
1689844068.594,-0.235,0.138,0.963
1689844068.654,-0.236,0.143,0.965
1689844068.654,-0.234,0.143,0.964
1689844068.654,-0.235,0.145,0.960
1689844068.714,-0.236,0.143,0.963
1689844068.714,-0.236,0.145,0.966
1689844068.714,-0.239,0.148,0.968
1689844068.776,-0.237,0.148,0.970
1689844068.776,-0.233,0.147,0.965
1689844068.776,-0.230,0.146,0.970
1689844068.848,-0.233,0.142,0.970
1689844068.848,-0.231,0.139,0.962
1689844068.848,-0.230,0.142,0.957
1689844068.879,-0.228,0.140,0.955
1689844068.879,-0.224,0.144,0.962
1689844068.879,-0.224,0.146,0.970
1689844068.939,-0.219,0.148,0.969
1689844068.939,-0.221,0.149,0.974
1689844068.939,-0.225,0.147,0.966
1689844068.987,-0.224,0.147,0.963
1689844068.987,-0.227,0.147,0.953
1689844068.987,-0.229,0.143,0.960
1689844069.059,-0.234,0.142,0.963
1689844069.059,-0.238,0.144,0.969
1689844069.059,-0.238,0.142,0.973
1689844069.104,-0.239,0.141,0.974
1689844069.104,-0.234,0.140,0.970
1689844069.104,-0.234,0.134,0.963
1689844069.164,-0.227,0.131,0.959
1689844069.164,-0.228,0.136,0.958
1689844069.164,-0.229,0.134,0.958
1689844069.224,-0.228,0.136,0.955
1689844069.224,-0.228,0.137,0.955
1689844069.224,-0.232,0.138,0.966
1689844069.298,-0.231,0.140,0.967
1689844069.298,-0.233,0.146,0.973
1689844069.298,-0.229,0.144,0.968
1689844069.332,-0.221,0.149,0.959
1689844069.332,-0.232,0.150,0.968
1689844069.332,-0.234,0.148,0.976
1689844069.389,-0.234,0.146,0.973
1689844069.389,-0.232,0.142,0.971
1689844069.389,-0.234,0.143,0.961
1689844069.451,-0.234,0.140,0.961
1689844069.451,-0.232,0.137,0.962
1689844069.451,-0.235,0.136,0.959
1689844069.509,-0.235,0.137,0.967
1689844069.509,-0.232,0.141,0.969
1689844069.509,-0.235,0.137,0.964
1689844069.554,-0.232,0.138,0.961
1689844069.554,-0.232,0.137,0.962
1689844069.554,-0.232,0.141,0.958
1689844069.617,-0.236,0.140,0.960
1689844069.617,-0.235,0.140,0.966
1689844069.617,-0.235,0.142,0.970
1689844069.674,-0.235,0.143,0.968
1689844069.674,-0.235,0.137,0.963
1689844069.674,-0.232,0.137,0.958
1689844069.736,-0.232,0.139,0.958
1689844069.736,-0.228,0.133,0.958
1689844069.736,-0.232,0.138,0.959
1689844069.793,-0.237,0.141,0.968
1689844069.793,-0.239,0.145,0.973
1689844069.793,-0.240,0.142,0.971
1689844069.840,-0.245,0.143,0.964
1689844069.840,-0.241,0.139,0.958
1689844069.840,-0.245,0.137,0.955
1689844069.914,-0.243,0.134,0.960
1689844069.914,-0.248,0.136,0.960
1689844069.914,-0.242,0.139,0.960
1689844069.959,-0.242,0.138,0.964
1689844069.959,-0.240,0.139,0.966
1689844069.959,-0.236,0.140,0.961
1689844070.033,-0.239,0.135,0.970
1689844070.033,-0.241,0.137,0.972
1689844070.033,-0.231,0.136,0.951
1689844070.064,-0.232,0.135,0.956
1689844070.064,-0.235,0.131,0.963
1689844070.064,-0.236,0.135,0.964
1689844070.127,-0.240,0.135,0.967
1689844070.127,-0.237,0.138,0.963
1689844070.127,-0.242,0.141,0.961
1689844070.184,-0.241,0.136,0.966
1689844070.184,-0.240,0.141,0.966
1689844070.184,-0.242,0.141,0.969
1689844070.244,-0.244,0.137,0.963
1689844070.244,-0.240,0.137,0.964
1689844070.244,-0.239,0.141,0.962
1689844070.291,-0.239,0.134,0.967
1689844070.291,-0.238,0.138,0.959
1689844070.291,-0.239,0.137,0.964
1689844070.349,-0.237,0.138,0.961
1689844070.349,-0.244,0.140,0.965
1689844070.349,-0.242,0.135,0.961
1689844070.412,-0.245,0.136,0.963
1689844070.412,-0.241,0.132,0.958
1689844070.412,-0.246,0.133,0.963
1689844070.468,-0.245,0.137,0.962
1689844070.468,-0.240,0.137,0.967
1689844070.468,-0.239,0.135,0.972
1689844070.528,-0.239,0.138,0.968
1689844070.528,-0.237,0.136,0.966
1689844070.528,-0.234,0.131,0.964
1689844070.576,-0.232,0.133,0.962
1689844070.576,-0.234,0.132,0.960
1689844070.576,-0.233,0.131,0.961
1689844070.634,-0.234,0.133,0.958
1689844070.634,-0.231,0.134,0.960
1689844070.634,-0.233,0.140,0.965
1689844070.697,-0.232,0.137,0.962
1689844070.697,-0.237,0.134,0.969
1689844070.697,-0.238,0.143,0.970
1689844070.742,-0.235,0.139,0.960
1689844070.742,-0.235,0.138,0.969
1689844070.742,-0.233,0.139,0.971
1689844070.802,-0.235,0.140,0.971
1689844070.802,-0.229,0.142,0.970
1689844070.802,-0.228,0.141,0.964
1689844070.860,-0.228,0.140,0.960
1689844070.860,-0.231,0.136,0.956
1689844070.860,-0.232,0.137,0.959
1689844070.919,-0.235,0.140,0.965
1689844070.919,-0.236,0.141,0.964
1689844070.919,-0.239,0.139,0.963
1689844070.997,-0.237,0.139,0.966
1689844070.997,-0.239,0.141,0.968
1689844070.997,-0.237,0.141,0.963
1689844071.040,-0.234,0.139,0.961
1689844071.040,-0.237,0.139,0.963
1689844071.040,-0.235,0.139,0.965
1689844071.099,-0.237,0.138,0.968
1689844071.099,-0.237,0.140,0.967
1689844071.099,-0.235,0.138,0.967
1689844071.144,-0.234,0.139,0.958
1689844071.144,-0.237,0.137,0.958
1689844071.144,-0.231,0.140,0.957
1689844071.218,-0.239,0.141,0.965
1689844071.218,-0.240,0.144,0.970
1689844071.218,-0.237,0.141,0.971
1689844071.252,-0.234,0.142,0.966
1689844071.252,-0.234,0.147,0.959
1689844071.252,-0.234,0.145,0.963
1689844071.309,-0.230,0.141,0.961
1689844071.309,-0.230,0.138,0.962
1689844071.309,-0.233,0.143,0.968
1689844071.369,-0.229,0.144,0.964
1689844071.369,-0.230,0.139,0.965
1689844071.369,-0.232,0.141,0.965
1689844071.429,-0.235,0.143,0.967
1689844071.429,-0.229,0.139,0.959
1689844071.429,-0.227,0.141,0.964
1689844071.489,-0.230,0.144,0.970
1689844071.489,-0.235,0.145,0.973
1689844071.489,-0.230,0.140,0.972
1689844071.537,-0.228,0.135,0.967
1689844071.537,-0.231,0.143,0.964
1689844071.537,-0.231,0.137,0.961
1689844071.594,-0.229,0.136,0.964
1689844071.594,-0.226,0.141,0.966
1689844071.594,-0.231,0.138,0.963
1689844071.654,-0.231,0.140,0.969
1689844071.654,-0.232,0.139,0.966
1689844071.654,-0.233,0.141,0.966
1689844071.714,-0.229,0.140,0.964
1689844071.714,-0.229,0.139,0.964
1689844071.714,-0.231,0.142,0.968
1689844071.776,-0.231,0.143,0.969
1689844071.776,-0.228,0.140,0.969
1689844071.776,-0.230,0.140,0.966
1689844071.822,-0.223,0.136,0.960
1689844071.822,-0.230,0.139,0.966
1689844071.822,-0.232,0.142,0.967
1689844071.879,-0.233,0.138,0.965
1689844071.879,-0.232,0.139,0.971
1689844071.879,-0.233,0.140,0.973
1689844071.939,-0.231,0.141,0.966
1689844071.939,-0.230,0.138,0.959
1689844071.939,-0.226,0.141,0.960
1689844071.985,-0.230,0.142,0.962
1689844071.985,-0.231,0.139,0.963
1689844071.985,-0.227,0.142,0.965
1689844072.059,-0.228,0.141,0.961
1689844072.059,-0.230,0.141,0.965
1689844072.059,-0.227,0.144,0.963
1689844072.104,-0.231,0.141,0.965
1689844072.104,-0.231,0.140,0.966
1689844072.104,-0.224,0.141,0.957
1689844072.164,-0.227,0.142,0.970
1689844072.164,-0.228,0.141,0.972
1689844072.164,-0.227,0.139,0.968
1689844072.224,-0.224,0.145,0.967
1689844072.224,-0.227,0.138,0.965
1689844072.224,-0.224,0.142,0.960
1689844072.269,-0.225,0.140,0.963
1689844072.269,-0.226,0.143,0.967
1689844072.269,-0.230,0.140,0.965
1689844072.332,-0.226,0.140,0.967
1689844072.332,-0.227,0.136,0.968
1689844072.332,-0.227,0.138,0.964
1689844072.389,-0.227,0.141,0.964
1689844072.389,-0.227,0.138,0.962
1689844072.389,-0.227,0.141,0.962
1689844072.464,-0.227,0.140,0.971
1689844072.464,-0.226,0.139,0.965
1689844072.464,-0.227,0.142,0.970
1689844072.508,-0.226,0.143,0.962
1689844072.508,-0.229,0.141,0.965
1689844072.508,-0.231,0.140,0.966
1689844072.569,-0.232,0.143,0.969
1689844072.569,-0.230,0.143,0.973
1689844072.569,-0.230,0.137,0.968
1689844072.629,-0.230,0.136,0.968
1689844072.629,-0.227,0.135,0.963
1689844072.629,-0.226,0.134,0.960
1689844072.674,-0.225,0.139,0.962
1689844072.674,-0.226,0.137,0.964
1689844072.674,-0.225,0.136,0.960
1689844072.734,-0.229,0.135,0.963
1689844072.734,-0.228,0.137,0.967
1689844072.734,-0.229,0.138,0.965
1689844072.779,-0.232,0.136,0.966
1689844072.779,-0.229,0.138,0.962
1689844072.779,-0.226,0.139,0.965
1689844072.839,-0.229,0.139,0.972
1689844072.839,-0.229,0.139,0.971
1689844072.839,-0.228,0.140,0.972
1689844072.900,-0.224,0.138,0.968
1689844072.900,-0.224,0.139,0.965
1689844072.900,-0.222,0.139,0.960
1689844072.947,-0.223,0.139,0.969
1689844072.947,-0.227,0.140,0.965
1689844072.947,-0.222,0.142,0.966
1689844073.007,-0.228,0.139,0.966
1689844073.007,-0.228,0.140,0.968
1689844073.007,-0.230,0.140,0.968
1689844073.064,-0.225,0.143,0.964
1689844073.064,-0.229,0.142,0.965
1689844073.064,-0.227,0.142,0.965
1689844073.124,-0.230,0.143,0.969
1689844073.124,-0.226,0.141,0.969
1689844073.124,-0.224,0.141,0.968
1689844073.183,-0.222,0.139,0.962
1689844073.183,-0.228,0.139,0.966
1689844073.183,-0.229,0.143,0.965
1689844073.243,-0.226,0.141,0.968
1689844073.243,-0.228,0.144,0.972
1689844073.243,-0.227,0.144,0.973
1689844073.291,-0.226,0.141,0.968
1689844073.291,-0.229,0.140,0.964
1689844073.291,-0.231,0.140,0.961
1689844073.349,-0.230,0.142,0.964
1689844073.349,-0.231,0.140,0.961
1689844073.349,-0.226,0.140,0.962
1689844073.412,-0.233,0.138,0.966
1689844073.412,-0.232,0.143,0.967
1689844073.412,-0.231,0.142,0.967
1689844073.457,-0.229,0.139,0.964
1689844073.457,-0.228,0.140,0.963
1689844073.457,-0.228,0.141,0.962
1689844073.514,-0.228,0.140,0.971
1689844073.514,-0.234,0.138,0.972
1689844073.514,-0.230,0.138,0.970
1689844073.576,-0.227,0.138,0.965
1689844073.576,-0.225,0.135,0.963
1689844073.576,-0.223,0.140,0.962
1689844073.634,-0.224,0.139,0.966
1689844073.634,-0.227,0.141,0.966
1689844073.634,-0.232,0.140,0.967
1689844073.709,-0.224,0.136,0.968
1689844073.709,-0.226,0.139,0.967
1689844073.709,-0.228,0.137,0.966
1689844073.742,-0.229,0.140,0.967
1689844073.742,-0.228,0.140,0.965
1689844073.742,-0.231,0.139,0.964
1689844073.814,-0.226,0.137,0.965
1689844073.814,-0.233,0.140,0.966
