timestamps,PPG1,PPG2,PPG3
1685718350.428,1864.000,107920.000,61892.000
1685718350.428,1853.000,107976.000,61901.000
1685718350.428,1857.000,107957.000,61934.000
1685718350.428,1860.000,107988.000,61922.000
1685718350.428,1847.000,107982.000,61915.000
1685718350.428,1861.000,108008.000,61923.000
1685718350.519,1848.000,108025.000,61950.000
1685718350.519,1860.000,108062.000,61959.000
1685718350.519,1851.000,108031.000,61935.000
1685718350.519,1859.000,108044.000,61944.000
1685718350.519,1857.000,108098.000,61952.000
1685718350.519,1853.000,108074.000,61962.000
1685718350.611,1861.000,108114.000,61973.000
1685718350.611,1851.000,108103.000,61964.000
1685718350.611,1865.000,108107.000,61981.000
1685718350.611,1851.000,108101.000,61975.000
1685718350.611,1861.000,108180.000,62017.000
1685718350.611,1855.000,108131.000,62002.000
1685718350.713,1852.000,108112.000,61968.000
1685718350.713,1855.000,108086.000,61978.000
1685718350.713,1844.000,108045.000,61959.000
1685718350.713,1853.000,108052.000,61937.000
1685718350.713,1839.000,108022.000,61960.000
1685718350.713,1851.000,108036.000,61961.000
1685718350.803,1841.000,107973.000,61938.000
1685718350.803,1847.000,107962.000,61916.000
1685718350.803,1846.000,107985.000,61925.000
1685718350.803,1842.000,107931.000,61921.000
1685718350.803,1852.000,107928.000,61920.000
1685718350.803,1841.000,107937.000,61904.000
1685718350.894,1853.000,107903.000,61919.000
1685718350.894,1839.000,107955.000,61931.000
1685718350.894,1851.000,107907.000,61887.000
1685718350.894,1845.000,107867.000,61906.000
1685718350.894,1842.000,107860.000,61892.000
1685718350.894,1849.000,107944.000,61915.000
1685718350.983,1839.000,107897.000,61910.000
1685718350.983,1853.000,107912.000,61907.000
1685718350.983,1839.000,107915.000,61891.000
1685718350.983,1846.000,107889.000,61899.000
1685718350.983,1840.000,107927.000,61921.000
1685718350.983,1845.000,107895.000,61892.000
1685718351.088,1845.000,107924.000,61904.000
1685718351.088,1835.000,107870.000,61920.000
1685718351.088,1848.000,107929.000,61907.000
1685718351.088,1829.000,107952.000,61903.000
1685718351.088,1843.000,107917.000,61893.000
1685718351.088,1831.000,107936.000,61933.000
1685718351.178,1838.000,107950.000,61939.000
1685718351.178,1839.000,107988.000,61925.000
1685718351.178,1837.000,107989.000,61927.000
1685718351.178,1843.000,107976.000,61923.000
1685718351.178,1835.000,107991.000,61929.000
1685718351.178,1848.000,108002.000,61933.000
1685718351.268,1833.000,108036.000,61947.000
1685718351.268,1845.000,108059.000,61942.000
1685718351.268,1840.000,108074.000,61951.000
1685718351.268,1841.000,108086.000,61936.000
1685718351.268,1847.000,108082.000,61962.000
1685718351.268,1840.000,108097.000,61957.000
1685718351.358,1854.000,108084.000,61939.000
1685718351.358,1837.000,108065.000,61944.000
1685718351.358,1853.000,108040.000,61923.000
1685718351.358,1836.000,108076.000,61910.000
1685718351.358,1839.000,108018.000,61896.000
1685718351.358,1841.000,107974.000,61906.000
1685718351.449,1838.000,107975.000,61887.000
1685718351.449,1845.000,107955.000,61868.000
1685718351.449,1833.000,107894.000,61881.000
1685718351.449,1848.000,107926.000,61872.000
1685718351.449,1833.000,107883.000,61865.000
1685718351.449,1845.000,107903.000,61855.000
1685718351.553,1840.000,107829.000,61843.000
1685718351.553,1839.000,107874.000,61833.000
1685718351.553,1847.000,107863.000,61847.000
1685718351.553,1835.000,107832.000,61851.000
1685718351.553,1846.000,107837.000,61851.000
1685718351.553,1837.000,107818.000,61836.000
1685718351.643,1847.000,107827.000,61833.000
1685718351.643,1839.000,107854.000,61830.000
1685718351.643,1840.000,107825.000,61834.000
1685718351.643,1843.000,107828.000,61823.000
1685718351.643,1837.000,107824.000,61810.000
1685718351.643,1847.000,107820.000,61786.000
1685718351.749,1836.000,107867.000,61831.000
1685718351.749,1850.000,107835.000,61822.000
1685718351.749,1841.000,107836.000,61836.000
1685718351.749,1850.000,107880.000,61806.000
1685718351.749,1845.000,107815.000,61818.000
1685718351.749,1842.000,107894.000,61817.000
1685718351.823,1851.000,107891.000,61823.000
1685718351.823,1840.000,107846.000,61814.000
1685718351.823,1852.000,107893.000,61823.000
1685718351.823,1840.000,107924.000,61803.000
1685718351.823,1853.000,107900.000,61833.000
1685718351.823,1846.000,107952.000,61819.000
1685718351.928,1847.000,107890.000,61833.000
1685718351.928,1852.000,107948.000,61838.000
1685718351.928,1842.000,107946.000,61851.000
1685718351.928,1858.000,107968.000,61840.000
1685718351.928,1844.000,107957.000,61835.000
1685718351.928,1862.000,107985.000,61850.000
1685718352.019,1851.000,108005.000,61845.000
1685718352.019,1856.000,108007.000,61834.000
1685718352.019,1859.000,108019.000,61850.000
1685718352.019,1853.000,108010.000,61838.000
1685718352.019,1859.000,107984.000,61834.000
