timestamps,X,Y,Z
1689611962.648,-1.899,1.226,1.951
1689611962.648,-2.213,1.974,1.802
1689611962.648,-2.408,2.542,1.458
1689611962.696,-2.707,2.871,0.598
1689611962.696,-2.946,3.275,0.314
1689611962.696,-3.140,3.723,0.052
1689611962.753,-3.454,3.851,-0.015
1689611962.753,-3.469,4.120,0.022
1689611962.753,-3.574,4.561,0.075
1689611962.813,-3.671,4.591,0.112
1689611962.813,-3.836,4.082,0.022
1689611962.813,-3.656,3.888,0.239
1689611962.873,-3.484,3.462,0.277
1689611962.873,-3.290,3.110,0.127
1689611962.873,-2.976,2.998,0.217
1689611962.921,-3.566,3.178,0.411
1689611962.921,-3.723,3.193,0.583
1689611962.921,-3.193,3.155,0.411
1689611962.979,-2.938,3.230,0.389
1689611962.979,-2.572,3.275,0.561
1689611962.979,-2.183,3.529,0.897
1689611963.038,-2.146,3.589,1.017
1689611963.038,-1.989,3.626,1.391
1689611963.038,-1.705,3.252,1.436
1689611963.098,-1.787,3.260,1.690
1689611963.098,-1.944,3.469,1.989
1689611963.098,-1.473,3.088,1.675
1689611963.144,-1.712,2.946,1.794
1689611963.144,-1.832,2.744,2.086
1689611963.144,-2.243,2.183,1.839
1689611963.206,-2.295,2.303,1.862
1689611963.206,-2.168,2.236,1.593
1689611963.206,-1.944,2.243,1.092
1689611963.263,-1.966,2.011,0.935
1689611963.263,-1.862,2.363,0.987
1689611963.263,-2.273,2.602,1.114
1689611963.338,-2.288,2.482,1.338
1689611963.338,-2.243,2.415,1.181
1689611963.338,-2.236,2.617,1.421
1689611963.383,-2.557,2.901,1.391
1689611963.383,-2.490,2.722,1.144
1689611963.383,-2.303,2.908,1.181
1689611963.428,-1.974,2.953,1.047
1689611963.428,-2.183,3.088,1.256
1689611963.428,-2.213,3.305,1.211
1689611963.491,-2.236,3.626,1.204
1689611963.491,-2.123,3.439,1.166
1689611963.491,-1.892,3.305,1.092
1689611963.563,-2.363,3.559,1.226
1689611963.563,-2.131,3.477,1.047
1689611963.563,-2.206,3.312,0.852
1689611963.608,-2.318,3.372,0.778
1689611963.608,-2.542,3.484,0.800
1689611963.608,-1.974,3.394,0.650
1689611963.668,-2.213,3.088,0.897
1689611963.668,-2.408,3.073,1.069
1689611963.668,-2.221,3.073,1.264
1689611963.716,-2.527,2.931,1.286
1689611963.716,-2.520,2.766,1.136
1689611963.716,-2.482,2.931,0.912
1689611963.773,-2.512,2.991,1.002
1689611963.773,-1.959,2.908,1.099
1689611963.773,-1.720,3.163,1.047
1689611963.833,-1.697,3.230,1.578
1689611963.833,-1.510,2.766,1.839
1689611963.833,-1.286,2.744,2.138
1689611963.894,-1.114,2.729,2.370
1689611963.894,-0.950,3.223,2.348
1689611963.894,-1.181,3.320,2.280
1689611963.938,-1.144,3.312,1.832
1689611963.938,-0.785,3.320,1.750
1689611963.938,-1.181,2.976,1.817
1689611964.028,-1.331,2.699,1.570
1689611964.028,-1.226,2.871,1.308
1689611964.028,-1.323,3.185,1.196
1689611964.058,-1.585,3.447,1.002
1689611964.058,-1.720,3.948,0.606
1689611964.058,-1.981,4.030,0.224
1689611964.118,-2.056,3.581,0.224
1689611964.118,-2.004,3.380,0.112
1689611964.118,-2.168,2.841,0.209
1689611964.180,-2.086,2.669,0.441
1689611964.180,-2.310,2.624,0.763
1689611964.180,-2.520,2.505,0.860
1689611964.223,-2.587,2.467,0.972
1689611964.223,-2.019,2.497,0.845
1689611964.223,-1.540,2.908,1.047
1689611964.286,-1.346,3.200,0.942
1689611964.286,-1.570,3.589,1.338
1689611964.286,-1.645,3.821,1.413
1689611964.344,-1.914,3.716,1.293
1689611964.344,-2.011,3.522,1.346
1689611964.344,-2.258,3.529,1.241
1689611964.403,-2.295,3.477,1.323
1689611964.403,-2.527,3.469,1.256
1689611964.403,-2.452,3.559,1.256
1689611964.464,-2.370,3.320,1.241
1689611964.464,-2.520,3.335,1.069
1689611964.464,-2.609,3.708,1.316
1689611964.508,-2.804,3.619,0.867
1689611964.508,-3.237,3.641,0.845
1689611964.508,-2.991,4.142,0.561
1689611964.585,-2.856,4.516,0.374
1689611964.585,-2.662,4.456,0.531
1689611964.585,-2.520,4.307,0.845
1689611964.615,-2.460,3.895,0.830
1689611964.615,-2.325,3.581,1.219
1689611964.615,-2.251,3.252,1.608
1689611964.673,-2.400,3.387,1.787
1689611964.673,-2.348,3.237,1.376
1689611964.673,-2.415,3.417,1.323
1689611964.735,-2.213,3.327,1.249
1689611964.735,-2.071,2.953,1.391
1689611964.735,-1.966,3.148,1.495
1689611964.793,-1.989,3.312,1.421
1689611964.793,-2.206,3.768,1.563
1689611964.793,-2.393,4.262,1.578
1689611964.855,-2.602,4.464,1.353
1689611964.855,-2.363,4.636,0.920
1689611964.855,-2.363,4.471,0.449
1689611964.898,-2.183,4.322,0.037
1689611964.898,-2.243,4.172,0.105
1689611964.898,-2.071,3.963,-0.112
1689611964.958,-2.280,3.761,0.217
1689611964.958,-2.363,3.387,0.733
1689611964.958,-1.996,3.073,0.860
1689611965.019,-1.802,2.647,1.368
1689611965.019,-2.026,2.669,1.406
1689611965.019,-1.996,3.006,1.720
1689611965.078,-2.026,3.230,1.600
1689611965.078,-2.064,3.462,1.480
1689611965.078,-2.056,3.551,1.219
1689611965.138,-2.071,3.469,1.241
1689611965.138,-1.951,2.841,0.852
1689611965.138,-2.086,2.490,1.039
1689611965.183,-1.765,2.422,1.421
1689611965.183,-1.548,2.228,1.697
1689611965.183,-1.637,2.318,1.772
1689611965.243,-1.757,2.677,1.757
1689611965.243,-1.914,2.871,1.525
1689611965.243,-2.138,3.267,1.615
1689611965.303,-1.929,3.903,1.645
1689611965.303,-1.817,4.329,1.757
1689611965.303,-1.877,3.933,1.578
1689611965.366,-1.802,3.327,1.765
1689611965.366,-1.488,3.163,2.131
1689611965.366,-1.174,3.230,2.467
1689611965.412,-0.860,3.110,2.594
1689611965.412,-0.770,2.452,2.445
1689611965.412,-0.613,2.079,2.385
1689611965.468,-0.748,1.824,2.542
1689611965.468,-0.927,1.630,2.138
1689611965.468,-1.189,1.682,1.690
1689611965.528,-1.742,1.712,1.488
1689611965.528,-1.914,1.869,1.308
1689611965.528,-2.221,2.400,1.361
1689611965.588,-2.086,2.430,1.368
1689611965.588,-2.228,2.707,1.757
1689611965.588,-2.953,2.908,1.869
1689611965.651,-3.170,3.462,2.288
1689611965.651,-2.968,4.322,2.273
1689611965.651,-2.639,4.793,1.391
1689611965.693,-2.310,4.598,0.464
1689611965.693,-2.026,4.538,-0.254
1689611965.693,-2.288,4.426,-0.434
1689611965.783,-2.385,4.060,-0.516
1689611965.783,-2.512,3.723,-0.067
1689611965.783,-2.490,3.178,0.613
1689611965.813,-2.669,3.073,1.473
1689611965.813,-2.251,2.826,1.398
1689611965.813,-1.757,2.976,1.413
1689611965.860,-1.712,3.125,1.458
1689611965.860,-2.019,3.185,1.144
1689611965.860,-2.138,3.178,1.092
1689611965.921,-1.936,3.058,1.234
1689611965.921,-1.779,3.185,1.331
1689611965.921,-1.772,2.886,1.443
1689611965.978,-2.535,2.908,1.608
1689611965.978,-2.968,2.953,1.465
1689611965.978,-2.729,3.327,1.099
1689611966.038,-2.408,3.768,1.144
1689611966.038,-2.273,3.866,0.725
1689611966.038,-2.363,4.292,0.673
1689611966.098,-2.751,4.180,0.815
1689611966.098,-2.617,3.514,1.151
1689611966.098,-2.594,3.043,1.622
