timestamps,X,Y,Z
1690202782.262,-0.317,-0.060,0.952
1690202782.262,-0.315,-0.060,0.946
1690202782.262,-0.308,-0.062,0.943
1690202782.321,-0.308,-0.059,0.948
1690202782.321,-0.304,-0.057,0.954
1690202782.321,-0.301,-0.050,0.957
1690202782.370,-0.294,-0.040,0.951
1690202782.370,-0.296,-0.032,0.962
1690202782.370,-0.298,-0.027,0.964
1690202782.428,-0.294,-0.022,0.964
1690202782.428,-0.298,-0.021,0.968
1690202782.428,-0.308,-0.024,0.953
1690202782.487,-0.306,-0.028,0.959
1690202782.487,-0.312,-0.030,0.962
1690202782.487,-0.313,-0.040,0.959
1690202782.547,-0.315,-0.056,0.948
1690202782.547,-0.316,-0.063,0.944
1690202782.547,-0.315,-0.062,0.945
1690202782.609,-0.315,-0.066,0.950
1690202782.609,-0.313,-0.065,0.949
1690202782.609,-0.315,-0.070,0.949
1690202782.670,-0.311,-0.066,0.947
1690202782.670,-0.305,-0.057,0.946
1690202782.670,-0.300,-0.048,0.957
1690202782.712,-0.297,-0.040,0.957
1690202782.712,-0.293,-0.030,0.957
1690202782.712,-0.295,-0.023,0.960
1690202782.772,-0.292,-0.013,0.963
1690202782.772,-0.291,-0.006,0.969
1690202782.772,-0.293,-0.006,0.972
1690202782.831,-0.293,-0.003,0.977
1690202782.831,-0.294,-0.012,0.974
1690202782.831,-0.291,-0.018,0.967
1690202782.892,-0.291,-0.022,0.961
1690202782.892,-0.290,-0.027,0.956
1690202782.892,-0.292,-0.021,0.958
1690202782.939,-0.294,-0.017,0.961
1690202782.939,-0.295,-0.011,0.965
1690202782.939,-0.296,-0.008,0.964
1690202782.997,-0.297,0.001,0.960
1690202782.997,-0.298,0.002,0.957
1690202782.997,-0.302,0.004,0.960
1690202783.057,-0.305,0.004,0.963
1690202783.057,-0.307,0.005,0.963
1690202783.057,-0.305,0.004,0.964
1690202783.102,-0.306,0.004,0.965
1690202783.102,-0.305,0.003,0.965
1690202783.102,-0.304,-0.001,0.969
1690202783.165,-0.297,-0.003,0.961
1690202783.165,-0.292,-0.009,0.965
1690202783.165,-0.294,-0.013,0.960
1690202783.223,-0.289,-0.011,0.961
1690202783.223,-0.286,-0.011,0.961
1690202783.223,-0.283,-0.008,0.960
1690202783.282,-0.285,-0.008,0.960
1690202783.282,-0.289,-0.005,0.964
1690202783.282,-0.292,-0.004,0.964
1690202783.327,-0.293,-0.007,0.959
1690202783.327,-0.297,-0.000,0.958
1690202783.327,-0.307,-0.008,0.955
1690202783.387,-0.306,-0.003,0.959
1690202783.387,-0.302,-0.004,0.959
1690202783.387,-0.303,-0.002,0.965
1690202783.451,-0.302,-0.001,0.969
1690202783.451,-0.301,-0.005,0.965
1690202783.451,-0.302,-0.012,0.956
1690202783.507,-0.295,-0.015,0.950
1690202783.507,-0.289,-0.017,0.947
1690202783.507,-0.291,-0.017,0.948
1690202783.567,-0.292,-0.015,0.943
1690202783.567,-0.295,-0.008,0.945
1690202783.567,-0.302,-0.014,0.938
1690202783.627,-0.316,-0.008,0.942
1690202783.627,-0.312,0.001,0.953
1690202783.627,-0.309,0.010,0.951
1690202783.672,-0.307,0.013,0.959
1690202783.672,-0.306,0.021,0.961
1690202783.672,-0.303,0.024,0.986
1690202783.733,-0.296,0.026,0.996
1690202783.733,-0.292,0.038,0.987
1690202783.733,-0.292,0.040,0.978
1690202783.782,-0.293,0.045,0.972
1690202783.782,-0.298,0.043,0.956
1690202783.782,-0.305,0.034,0.948
1690202783.839,-0.307,0.036,0.943
1690202783.839,-0.313,0.036,0.955
1690202783.839,-0.322,0.035,0.960
1690202783.897,-0.328,0.034,0.968
1690202783.897,-0.327,0.033,0.966
1690202783.897,-0.330,0.031,0.959
1690202783.957,-0.328,0.031,0.949
1690202783.957,-0.328,0.034,0.942
1690202783.957,-0.329,0.032,0.957
1690202784.005,-0.326,0.032,0.954
1690202784.005,-0.321,0.028,0.958
1690202784.005,-0.323,0.035,0.954
1690202784.064,-0.320,0.037,0.961
1690202784.064,-0.322,0.032,0.959
1690202784.064,-0.320,0.027,0.952
1690202784.122,-0.319,0.029,0.951
1690202784.122,-0.320,0.023,0.955
1690202784.122,-0.317,0.026,0.958
1690202784.182,-0.312,0.026,0.955
1690202784.182,-0.313,0.021,0.956
1690202784.182,-0.309,0.025,0.954
1690202784.258,-0.305,0.027,0.959
1690202784.258,-0.305,0.027,0.963
