timestamps,PPG1,PPG2,PPG3
1688466690.304,1262.000,124915.000,70050.000
1688466690.304,1262.000,124903.000,70065.000
1688466690.304,1261.000,124954.000,70089.000
1688466690.304,1262.000,124963.000,70067.000
1688466690.304,1263.000,125024.000,70068.000
1688466690.304,1258.000,125031.000,70096.000
1688466690.394,1261.000,125089.000,70086.000
1688466690.394,1264.000,125085.000,70075.000
1688466690.394,1264.000,125124.000,70078.000
1688466690.394,1262.000,125137.000,70121.000
1688466690.394,1265.000,125193.000,70125.000
1688466690.394,1268.000,125203.000,70134.000
1688466690.498,1264.000,125246.000,70152.000
1688466690.498,1261.000,125198.000,70127.000
1688466690.498,1263.000,125183.000,70077.000
1688466690.498,1263.000,125132.000,70091.000
1688466690.498,1260.000,125130.000,70070.000
1688466690.498,1260.000,125077.000,70050.000
1688466690.590,1258.000,124959.000,70038.000
1688466690.590,1258.000,124946.000,70021.000
1688466690.590,1258.000,124861.000,69996.000
1688466690.590,1258.000,124891.000,70010.000
1688466690.590,1259.000,124856.000,70015.000
1688466690.590,1258.000,124862.000,69977.000
1688466690.679,1256.000,124827.000,69993.000
1688466690.679,1257.000,124779.000,69980.000
1688466690.679,1259.000,124760.000,69999.000
1688466690.679,1257.000,124785.000,69972.000
1688466690.679,1259.000,124736.000,69973.000
1688466690.679,1255.000,124689.000,69988.000
1688466690.769,1258.000,124710.000,69962.000
1688466690.769,1255.000,124697.000,69934.000
1688466690.769,1256.000,124738.000,69918.000
1688466690.769,1256.000,124770.000,69950.000
1688466690.769,1257.000,124728.000,69944.000
1688466690.769,1256.000,124699.000,69959.000
1688466690.874,1256.000,124673.000,69948.000
1688466690.874,1254.000,124688.000,69959.000
1688466690.874,1253.000,124718.000,69947.000
1688466690.874,1255.000,124692.000,69934.000
1688466690.874,1255.000,124742.000,69955.000
1688466690.874,1256.000,124696.000,69944.000
1688466690.979,1256.000,124766.000,69903.000
1688466690.979,1256.000,124783.000,69956.000
1688466690.979,1257.000,124781.000,69964.000
1688466690.979,1258.000,124778.000,69964.000
1688466690.979,1258.000,124870.000,69954.000
1688466690.979,1255.000,124842.000,69992.000
1688466691.053,1256.000,124904.000,69953.000
1688466691.053,1257.000,124889.000,69956.000
1688466691.053,1257.000,124874.000,69987.000
1688466691.053,1258.000,124937.000,69993.000
1688466691.053,1257.000,124983.000,69984.000
1688466691.053,1256.000,124990.000,69976.000
1688466691.174,1258.000,124994.000,70000.000
1688466691.174,1257.000,125046.000,70024.000
1688466691.174,1261.000,125045.000,70031.000
1688466691.174,1259.000,125099.000,70035.000
1688466691.174,1259.000,125141.000,70067.000
1688466691.174,1259.000,125141.000,70041.000
1688466691.249,1261.000,125183.000,70037.000
1688466691.249,1259.000,125206.000,70060.000
1688466691.249,1259.000,125135.000,70029.000
1688466691.249,1259.000,125113.000,70038.000
1688466691.249,1257.000,125085.000,69998.000
1688466691.249,1254.000,125004.000,70007.000
1688466691.338,1254.000,124913.000,70006.000
1688466691.338,1255.000,124913.000,69952.000
1688466691.338,1255.000,124860.000,69960.000
1688466691.338,1253.000,124838.000,69949.000
1688466691.338,1256.000,124811.000,69948.000
1688466691.338,1251.000,124761.000,69941.000
1688466691.429,1252.000,124760.000,69925.000
1688466691.429,1252.000,124736.000,69939.000
1688466691.429,1250.000,124721.000,69926.000
1688466691.429,1252.000,124685.000,69926.000
1688466691.429,1250.000,124676.000,69925.000
1688466691.429,1253.000,124713.000,69923.000
1688466691.519,1251.000,124676.000,69902.000
1688466691.519,1247.000,124659.000,69861.000
1688466691.519,1248.000,124628.000,69882.000
1688466691.519,1249.000,124662.000,69903.000
1688466691.519,1249.000,124685.000,69900.000
1688466691.519,1250.000,124636.000,69883.000
1688466691.623,1247.000,124650.000,69892.000
1688466691.623,1250.000,124666.000,69884.000
1688466691.623,1248.000,124616.000,69900.000
1688466691.623,1252.000,124658.000,69873.000
1688466691.623,1249.000,124670.000,69883.000
1688466691.623,1247.000,124685.000,69912.000
1688466691.729,1251.000,124692.000,69913.000
1688466691.729,1249.000,124716.000,69901.000
1688466691.729,1250.000,124704.000,69915.000
1688466691.729,1251.000,124755.000,69892.000
1688466691.729,1252.000,124798.000,69905.000
1688466691.729,1251.000,124769.000,69919.000
1688466691.804,1247.000,124819.000,69937.000
1688466691.804,1249.000,124846.000,69915.000
1688466691.804,1251.000,124800.000,69919.000
1688466691.804,1250.000,124842.000,69941.000
1688466691.804,1249.000,124923.000,69927.000
1688466691.804,1250.000,124905.000,69946.000
1688466691.893,1249.000,124937.000,69967.000
1688466691.893,1250.000,124972.000,69961.000
1688466691.893,1249.000,124953.000,69994.000
1688466691.893,1253.000,125051.000,69967.000
1688466691.893,1252.000,125009.000,69971.000
1688466691.893,1252.000,125079.000,69994.000
1688466691.998,1250.000,125068.000,69976.000
1688466691.998,1252.000,125038.000,69962.000
1688466691.998,1249.000,124964.000,69962.000
1688466691.998,1246.000,124886.000,69924.000
1688466691.998,1249.000,124844.000,69905.000
1688466691.998,1247.000,124755.000,69899.000
1688466692.088,1244.000,124777.000,69901.000
1688466692.088,1244.000,124703.000,69866.000
1688466692.088,1243.000,124648.000,69860.000
1688466692.088,1245.000,124588.000,69885.000
1688466692.088,1245.000,124595.000,69843.000
1688466692.088,1244.000,124527.000,69845.000
1688466692.178,1243.000,124566.000,69831.000
1688466692.178,1243.000,124570.000,69841.000
1688466692.178,1242.000,124474.000,69849.000
1688466692.178,1243.000,124517.000,69818.000
1688466692.178,1243.000,124495.000,69816.000
1688466692.178,1243.000,124495.000,69808.000
1688466692.285,1242.000,124460.000,69795.000
1688466692.285,1243.000,124470.000,69787.000
1688466692.285,1242.000,124464.000,69799.000
1688466692.285,1243.000,124426.000,69822.000
1688466692.285,1245.000,124442.000,69792.000
1688466692.285,1241.000,124494.000,69775.000
1688466692.374,1243.000,124443.000,69773.000
1688466692.374,1243.000,124401.000,69788.000
1688466692.374,1239.000,124488.000,69801.000
1688466692.374,1244.000,124472.000,69820.000
1688466692.374,1241.000,124478.000,69800.000
1688466692.374,1244.000,124506.000,69805.000
1688466692.463,1243.000,124511.000,69800.000
1688466692.463,1245.000,124554.000,69801.000
1688466692.463,1241.000,124533.000,69808.000
1688466692.463,1244.000,124587.000,69833.000
1688466692.463,1246.000,124637.000,69820.000
1688466692.463,1243.000,124628.000,69864.000
1688466692.554,1245.000,124651.000,69872.000
1688466692.554,1245.000,124671.000,69852.000
1688466692.554,1245.000,124741.000,69878.000
1688466692.554,1244.000,124721.000,69910.000
1688466692.554,1244.000,124738.000,69872.000
1688466692.554,1245.000,124816.000,69904.000
1688466692.643,1245.000,124839.000,69885.000
1688466692.643,1249.000,124837.000,69915.000
1688466692.643,1245.000,124830.000,69907.000
1688466692.643,1247.000,124883.000,69933.000
1688466692.643,1248.000,124951.000,69923.000
1688466692.643,1246.000,124929.000,69954.000
1688466692.749,1247.000,124972.000,69932.000
1688466692.749,1250.000,125040.000,69969.000
1688466692.749,1250.000,125042.000,69970.000
1688466692.749,1247.000,125035.000,69989.000
1688466692.749,1249.000,125020.000,69967.000
1688466692.749,1246.000,124985.000,69955.000
1688466692.839,1244.000,124911.000,69930.000
1688466692.839,1242.000,124852.000,69914.000
1688466692.839,1242.000,124830.000,69881.000
1688466692.839,1243.000,124745.000,69880.000
1688466692.839,1239.000,124720.000,69895.000
1688466692.839,1242.000,124636.000,69842.000
1688466692.943,1240.000,124619.000,69851.000
1688466692.943,1239.000,124607.000,69850.000
1688466692.943,1239.000,124497.000,69824.000
1688466692.943,1239.000,124481.000,69823.000
1688466692.943,1239.000,124491.000,69799.000
1688466692.943,1236.000,124434.000,69801.000
1688466693.019,1239.000,124402.000,69820.000
1688466693.019,1241.000,124407.000,69808.000
1688466693.019,1239.000,124387.000,69788.000
1688466693.019,1240.000,124362.000,69778.000
1688466693.019,1240.000,124267.000,69780.000
1688466693.019,1239.000,124356.000,69765.000
1688466693.123,1239.000,124319.000,69779.000
1688466693.123,1241.000,124281.000,69775.000
1688466693.123,1241.000,124336.000,69781.000
1688466693.123,1239.000,124313.000,69763.000
1688466693.123,1243.000,124334.000,69745.000
1688466693.123,1240.000,124298.000,69766.000
1688466693.213,1238.000,124348.000,69769.000
1688466693.213,1239.000,124330.000,69760.000
1688466693.213,1241.000,124384.000,69749.000
1688466693.213,1241.000,124349.000,69775.000
1688466693.213,1239.000,124380.000,69779.000
1688466693.213,1240.000,124431.000,69757.000
1688466693.304,1242.000,124436.000,69804.000
1688466693.304,1240.000,124417.000,69782.000
1688466693.304,1241.000,124488.000,69799.000
1688466693.304,1244.000,124503.000,69801.000
1688466693.304,1242.000,124528.000,69818.000
1688466693.304,1241.000,124545.000,69847.000
1688466693.394,1243.000,124609.000,69834.000
1688466693.394,1244.000,124625.000,69818.000
1688466693.394,1242.000,124630.000,69831.000
1688466693.394,1246.000,124628.000,69842.000
1688466693.394,1246.000,124706.000,69862.000
1688466693.394,1246.000,124735.000,69866.000
1688466693.498,1245.000,124746.000,69885.000
1688466693.498,1246.000,124790.000,69899.000
1688466693.498,1247.000,124821.000,69901.000
1688466693.498,1246.000,124854.000,69889.000
1688466693.498,1248.000,124822.000,69932.000
1688466693.498,1245.000,124848.000,69903.000
1688466693.588,1248.000,124935.000,69949.000
1688466693.588,1246.000,124961.000,69955.000
1688466693.588,1250.000,124995.000,69973.000
1688466693.588,1249.000,125012.000,69957.000
1688466693.588,1249.000,125040.000,69937.000
1688466693.588,1246.000,124967.000,69946.000
1688466693.678,1246.000,124922.000,69931.000
1688466693.678,1244.000,124876.000,69901.000
1688466693.678,1246.000,124747.000,69881.000
1688466693.678,1245.000,124773.000,69874.000
1688466693.678,1242.000,124731.000,69878.000
1688466693.678,1242.000,124673.000,69872.000
1688466693.769,1242.000,124615.000,69859.000
1688466693.769,1242.000,124600.000,69875.000
1688466693.769,1242.000,124545.000,69860.000
1688466693.769,1242.000,124508.000,69846.000
1688466693.769,1243.000,124469.000,69806.000
1688466693.769,1240.000,124449.000,69821.000
1688466693.874,1241.000,124448.000,69817.000
1688466693.874,1242.000,124440.000,69813.000
1688466693.874,1245.000,124477.000,69803.000
1688466693.874,1244.000,124463.000,69792.000
1688466693.874,1240.000,124451.000,69806.000
1688466693.874,1243.000,124388.000,69794.000
1688466693.963,1243.000,124409.000,69775.000
1688466693.963,1242.000,124434.000,69779.000
1688466693.963,1242.000,124402.000,69803.000
1688466693.963,1240.000,124429.000,69782.000
1688466693.963,1242.000,124428.000,69756.000
1688466693.963,1242.000,124456.000,69800.000
1688466694.053,1241.000,124463.000,69779.000
1688466694.053,1243.000,124431.000,69773.000
1688466694.053,1242.000,124419.000,69789.000
1688466694.053,1242.000,124487.000,69819.000
1688466694.053,1242.000,124505.000,69806.000
1688466694.053,1243.000,124515.000,69805.000
1688466694.144,1244.000,124551.000,69806.000
1688466694.144,1244.000,124606.000,69813.000
1688466694.144,1246.000,124566.000,69844.000
1688466694.144,1243.000,124624.000,69839.000
1688466694.144,1244.000,124635.000,69840.000
1688466694.144,1245.000,124671.000,69847.000
1688466694.248,1246.000,124679.000,69849.000
1688466694.248,1245.000,124720.000,69846.000
1688466694.248,1244.000,124728.000,69855.000
1688466694.248,1247.000,124749.000,69866.000
1688466694.248,1246.000,124785.000,69871.000
1688466694.248,1245.000,124851.000,69900.000
1688466694.338,1250.000,124844.000,69887.000
1688466694.338,1249.000,124884.000,69911.000
1688466694.338,1246.000,124936.000,69925.000
1688466694.338,1249.000,124937.000,69903.000
1688466694.338,1249.000,124955.000,69913.000
1688466694.338,1248.000,124965.000,69960.000
1688466694.429,1248.000,125010.000,69950.000
1688466694.429,1249.000,125064.000,69938.000
1688466694.429,1249.000,124967.000,69935.000
1688466694.429,1247.000,124934.000,69958.000
1688466694.429,1243.000,124948.000,69890.000
1688466694.429,1242.000,124850.000,69866.000
1688466694.518,1245.000,124757.000,69877.000
1688466694.518,1244.000,124776.000,69873.000
1688466694.518,1243.000,124686.000,69869.000
1688466694.518,1242.000,124677.000,69839.000
1688466694.518,1241.000,124623.000,69845.000
1688466694.518,1244.000,124591.000,69829.000
1688466694.639,1241.000,124573.000,69805.000
1688466694.639,1241.000,124544.000,69815.000
1688466694.639,1243.000,124549.000,69805.000
1688466694.639,1246.000,124502.000,69821.000
1688466694.639,1245.000,124513.000,69809.000
1688466694.639,1248.000,124500.000,69803.000
1688466694.714,1252.000,124521.000,69778.000
1688466694.714,1251.000,124518.000,69795.000
1688466694.714,1257.000,124436.000,69777.000
1688466694.714,1262.000,124453.000,69770.000
1688466694.714,1264.000,124484.000,69786.000
1688466694.714,1269.000,124459.000,69765.000
1688466694.803,1271.000,124495.000,69756.000
1688466694.803,1273.000,124484.000,69752.000
1688466694.803,1280.000,124511.000,69742.000
1688466694.803,1281.000,124493.000,69776.000
1688466694.803,1285.000,124542.000,69772.000
1688466694.803,1287.000,124552.000,69772.000
1688466694.908,1291.000,124538.000,69751.000
1688466694.908,1293.000,124584.000,69775.000
1688466694.908,1292.000,124633.000,69772.000
1688466694.908,1294.000,124596.000,69771.000
1688466694.908,1294.000,124646.000,69788.000
1688466694.908,1294.000,124704.000,69793.000
1688466695.014,1293.000,124731.000,69803.000
1688466695.014,1290.000,124778.000,69809.000
1688466695.014,1288.000,124821.000,69832.000
1688466695.014,1289.000,124823.000,69854.000
1688466695.014,1291.000,124825.000,69844.000
1688466695.014,1291.000,124897.000,69826.000
1688466695.088,1290.000,124891.000,69865.000
1688466695.088,1293.000,124948.000,69867.000
1688466695.088,1291.000,124958.000,69873.000
1688466695.088,1291.000,124964.000,69883.000
1688466695.088,1292.000,125036.000,69899.000
1688466695.088,1292.000,125078.000,69920.000
1688466695.178,1295.000,125070.000,69910.000
1688466695.178,1293.000,125136.000,69944.000
1688466695.178,1293.000,125180.000,69954.000
1688466695.178,1293.000,125188.000,69946.000
1688466695.178,1295.000,125252.000,69961.000
1688466695.178,1295.000,125224.000,69952.000
1688466695.268,1296.000,125221.000,69905.000
1688466695.268,1294.000,125143.000,69898.000
1688466695.268,1293.000,125049.000,69894.000
1688466695.268,1291.000,124997.000,69860.000
1688466695.268,1287.000,124905.000,69862.000
1688466695.268,1289.000,124890.000,69831.000
1688466695.374,1291.000,124808.000,69827.000
1688466695.374,1289.000,124807.000,69816.000
1688466695.374,1287.000,124759.000,69800.000
1688466695.374,1284.000,124709.000,69819.000
1688466695.374,1287.000,124682.000,69786.000
1688466695.374,1283.000,124646.000,69801.000
1688466695.464,1281.000,124657.000,69759.000
1688466695.464,1282.000,124620.000,69795.000
1688466695.464,1283.000,124600.000,69755.000
1688466695.464,1284.000,124605.000,69760.000
1688466695.464,1285.000,124592.000,69745.000
1688466695.464,1282.000,124528.000,69727.000
1688466695.557,1283.000,124535.000,69741.000
1688466695.557,1282.000,124536.000,69720.000
1688466695.557,1282.000,124536.000,69728.000
1688466695.557,1284.000,124518.000,69714.000
1688466695.557,1284.000,124549.000,69721.000
1688466695.557,1283.000,124542.000,69717.000
1688466695.644,1283.000,124549.000,69736.000
1688466695.644,1282.000,124543.000,69737.000
1688466695.644,1281.000,124487.000,69701.000
1688466695.644,1281.000,124533.000,69749.000
1688466695.644,1281.000,124545.000,69703.000
1688466695.644,1280.000,124557.000,69712.000
1688466695.748,1283.000,124654.000,69716.000
1688466695.748,1280.000,124603.000,69732.000
1688466695.748,1281.000,124605.000,69715.000
1688466695.748,1281.000,124651.000,69708.000
1688466695.748,1281.000,124656.000,69727.000
1688466695.748,1279.000,124671.000,69745.000
1688466695.838,1278.000,124751.000,69755.000
1688466695.838,1284.000,124736.000,69772.000
1688466695.838,1277.000,124751.000,69779.000
1688466695.838,1280.000,124812.000,69759.000
1688466695.838,1280.000,124861.000,69790.000
1688466695.838,1279.000,124887.000,69809.000
1688466695.928,1279.000,124891.000,69800.000
1688466695.928,1280.000,124890.000,69786.000
1688466695.928,1277.000,124902.000,69831.000
1688466695.928,1280.000,124974.000,69823.000
1688466695.928,1279.000,124997.000,69794.000
1688466695.928,1281.000,124956.000,69825.000
1688466696.019,1278.000,125077.000,69859.000
1688466696.019,1279.000,125095.000,69859.000
1688466696.019,1278.000,125112.000,69865.000
1688466696.019,1279.000,125135.000,69897.000
1688466696.019,1281.000,125146.000,69890.000
1688466696.019,1280.000,125188.000,69861.000
1688466696.124,1278.000,125123.000,69840.000
1688466696.124,1275.000,125086.000,69842.000
1688466696.124,1275.000,124987.000,69796.000
1688466696.124,1271.000,124882.000,69779.000
1688466696.124,1272.000,124874.000,69771.000
1688466696.124,1269.000,124808.000,69752.000
1688466696.213,1269.000,124743.000,69774.000
1688466696.213,1271.000,124668.000,69758.000
1688466696.213,1269.000,124603.000,69732.000
1688466696.213,1268.000,124613.000,69724.000
1688466696.213,1268.000,124541.000,69689.000
1688466696.213,1266.000,124544.000,69710.000
1688466696.304,1267.000,124502.000,69675.000
1688466696.304,1270.000,124477.000,69685.000
1688466696.304,1270.000,124472.000,69685.000
1688466696.304,1269.000,124487.000,69667.000
1688466696.304,1271.000,124456.000,69638.000
1688466696.304,1271.000,124416.000,69670.000
1688466696.408,1271.000,124413.000,69664.000
1688466696.408,1273.000,124391.000,69686.000
1688466696.408,1272.000,124391.000,69633.000
1688466696.408,1273.000,124386.000,69633.000
1688466696.408,1274.000,124415.000,69636.000
1688466696.408,1274.000,124379.000,69656.000
1688466696.498,1272.000,124363.000,69618.000
1688466696.498,1274.000,124392.000,69645.000
1688466696.498,1276.000,124346.000,69661.000
1688466696.498,1273.000,124405.000,69650.000
1688466696.498,1275.000,124410.000,69635.000
1688466696.498,1270.000,124443.000,69653.000
1688466696.588,1271.000,124462.000,69649.000
1688466696.588,1271.000,124473.000,69670.000
1688466696.588,1272.000,124495.000,69669.000
1688466696.588,1269.000,124547.000,69694.000
1688466696.588,1268.000,124579.000,69722.000
1688466696.588,1263.000,124552.000,69690.000
1688466696.678,1264.000,124638.000,69707.000
1688466696.678,1259.000,124632.000,69732.000
1688466696.678,1255.000,124644.000,69740.000
1688466696.678,1256.000,124696.000,69741.000
1688466696.678,1251.000,124740.000,69762.000
1688466696.678,1248.000,124671.000,69758.000
1688466696.768,1253.000,124740.000,69761.000
1688466696.768,1249.000,124723.000,69787.000
1688466696.768,1250.000,124804.000,69774.000
1688466696.768,1247.000,124839.000,69796.000
1688466696.768,1244.000,124861.000,69797.000
1688466696.768,1246.000,124909.000,69808.000
1688466696.873,1244.000,124918.000,69841.000
1688466696.873,1242.000,124952.000,69823.000
1688466696.873,1243.000,124990.000,69833.000
1688466696.873,1244.000,125016.000,69850.000
1688466696.873,1243.000,125009.000,69872.000
1688466696.873,1244.000,125037.000,69839.000
1688466696.963,1242.000,125015.000,69837.000
1688466696.963,1240.000,124907.000,69822.000
1688466696.963,1239.000,124863.000,69775.000
1688466696.963,1235.000,124757.000,69795.000
1688466696.963,1235.000,124718.000,69775.000
1688466696.963,1232.000,124649.000,69755.000
1688466697.053,1233.000,124616.000,69755.000
1688466697.053,1234.000,124576.000,69729.000
1688466697.053,1233.000,124541.000,69705.000
1688466697.053,1232.000,124554.000,69713.000
1688466697.053,1233.000,124478.000,69690.000
1688466697.053,1230.000,124452.000,69728.000
1688466697.144,1231.000,124456.000,69704.000
1688466697.144,1231.000,124491.000,69702.000
1688466697.144,1231.000,124443.000,69712.000
1688466697.144,1231.000,124399.000,69706.000
1688466697.144,1228.000,124341.000,69661.000
1688466697.144,1231.000,124396.000,69674.000
1688466697.248,1227.000,124400.000,69696.000
1688466697.248,1232.000,124408.000,69676.000
1688466697.248,1229.000,124413.000,69683.000
1688466697.248,1227.000,124422.000,69670.000
1688466697.248,1228.000,124369.000,69688.000
1688466697.248,1230.000,124376.000,69677.000
1688466697.353,1230.000,124385.000,69663.000
1688466697.353,1231.000,124348.000,69687.000
1688466697.353,1229.000,124398.000,69664.000
1688466697.353,1230.000,124429.000,69698.000
1688466697.353,1232.000,124387.000,69684.000
1688466697.353,1231.000,124406.000,69695.000
1688466697.430,1232.000,124455.000,69704.000
1688466697.430,1232.000,124468.000,69702.000
1688466697.430,1229.000,124473.000,69731.000
1688466697.430,1231.000,124501.000,69710.000
1688466697.430,1232.000,124590.000,69742.000
1688466697.430,1233.000,124580.000,69738.000
1688466697.518,1233.000,124595.000,69724.000
1688466697.518,1233.000,124573.000,69716.000
1688466697.518,1234.000,124643.000,69778.000
1688466697.518,1232.000,124676.000,69759.000
1688466697.518,1232.000,124689.000,69770.000
1688466697.518,1233.000,124753.000,69768.000
1688466697.613,1236.000,124716.000,69769.000
1688466697.613,1233.000,124785.000,69770.000
1688466697.613,1234.000,124807.000,69808.000
1688466697.613,1235.000,124822.000,69784.000
1688466697.613,1236.000,124840.000,69828.000
1688466697.613,1235.000,124810.000,69795.000
1688466697.714,1236.000,124803.000,69789.000
1688466697.714,1235.000,124713.000,69761.000
1688466697.714,1235.000,124642.000,69763.000
1688466697.714,1233.000,124558.000,69742.000
1688466697.714,1230.000,124520.000,69715.000
1688466697.714,1230.000,124416.000,69674.000
1688466697.803,1232.000,124417.000,69687.000
1688466697.803,1232.000,124299.000,69696.000
1688466697.803,1232.000,124302.000,69660.000
1688466697.803,1232.000,124254.000,69664.000
1688466697.803,1229.000,124225.000,69650.000
1688466697.803,1232.000,124223.000,69655.000
1688466697.893,1233.000,124178.000,69636.000
1688466697.893,1229.000,124164.000,69630.000
1688466697.893,1230.000,124197.000,69628.000
1688466697.893,1231.000,124133.000,69613.000
1688466697.893,1234.000,124153.000,69600.000
1688466697.893,1233.000,124159.000,69621.000
1688466697.999,1232.000,124154.000,69617.000
1688466697.999,1234.000,124112.000,69614.000
1688466697.999,1235.000,124103.000,69609.000
1688466697.999,1234.000,124120.000,69643.000
1688466697.999,1233.000,124070.000,69588.000
1688466697.999,1235.000,124114.000,69614.000
1688466698.088,1234.000,124110.000,69600.000
1688466698.088,1231.000,124139.000,69620.000
1688466698.088,1233.000,124134.000,69582.000
1688466698.088,1233.000,124141.000,69624.000
1688466698.088,1234.000,124168.000,69636.000
1688466698.088,1233.000,124202.000,69635.000
1688466698.178,1234.000,124210.000,69633.000
1688466698.178,1236.000,124191.000,69634.000
1688466698.178,1233.000,124266.000,69635.000
1688466698.178,1235.000,124224.000,69664.000
1688466698.178,1234.000,124319.000,69673.000
1688466698.178,1236.000,124332.000,69703.000
1688466698.268,1238.000,124364.000,69692.000
1688466698.268,1235.000,124401.000,69687.000
1688466698.268,1239.000,124431.000,69689.000
1688466698.268,1236.000,124440.000,69708.000
1688466698.268,1239.000,124489.000,69729.000
1688466698.268,1241.000,124511.000,69718.000
1688466698.373,1238.000,124517.000,69747.000
1688466698.373,1237.000,124505.000,69764.000
1688466698.373,1235.000,124594.000,69763.000
1688466698.373,1239.000,124635.000,69790.000
1688466698.373,1238.000,124574.000,69742.000
1688466698.373,1237.000,124484.000,69708.000
1688466698.463,1234.000,124379.000,69683.000
1688466698.463,1229.000,124291.000,69667.000
1688466698.463,1229.000,124214.000,69653.000
1688466698.463,1229.000,124143.000,69644.000
1688466698.463,1230.000,124103.000,69617.000
1688466698.463,1228.000,124072.000,69588.000
1688466698.553,1228.000,124002.000,69591.000
1688466698.553,1227.000,123936.000,69574.000
1688466698.553,1228.000,123934.000,69581.000
1688466698.553,1227.000,123864.000,69557.000
1688466698.553,1226.000,123835.000,69555.000
1688466698.553,1226.000,123737.000,69553.000
1688466698.644,1224.000,123766.000,69506.000
1688466698.644,1226.000,123767.000,69547.000
1688466698.644,1226.000,123768.000,69512.000
1688466698.644,1226.000,123742.000,69541.000
1688466698.644,1225.000,123699.000,69478.000
1688466698.644,1226.000,123702.000,69509.000
1688466698.748,1222.000,123715.000,69511.000
1688466698.748,1226.000,123584.000,69518.000
1688466698.748,1225.000,123664.000,69490.000
1688466698.748,1223.000,123633.000,69521.000
1688466698.748,1223.000,123684.000,69514.000
1688466698.748,1225.000,123678.000,69492.000
1688466698.839,1222.000,123700.000,69482.000
1688466698.839,1223.000,123670.000,69520.000
1688466698.839,1222.000,123672.000,69540.000
1688466698.839,1224.000,123722.000,69511.000
1688466698.839,1225.000,123763.000,69524.000
1688466698.839,1225.000,123795.000,69551.000
1688466698.929,1225.000,123812.000,69541.000
1688466698.929,1223.000,123834.000,69551.000
1688466698.929,1226.000,123846.000,69559.000
1688466698.929,1228.000,123908.000,69579.000
1688466698.929,1229.000,123907.000,69589.000
1688466698.929,1228.000,123939.000,69614.000
1688466699.019,1227.000,123975.000,69619.000
1688466699.019,1227.000,123991.000,69606.000
1688466699.019,1228.000,124026.000,69631.000
1688466699.019,1231.000,124064.000,69631.000
1688466699.019,1231.000,124076.000,69628.000
1688466699.019,1228.000,124099.000,69680.000
1688466699.123,1229.000,124143.000,69635.000
1688466699.123,1231.000,124181.000,69668.000
1688466699.123,1227.000,124198.000,69688.000
1688466699.123,1226.000,124281.000,69689.000
1688466699.123,1224.000,124267.000,69702.000
1688466699.123,1224.000,124336.000,69717.000
1688466699.214,1224.000,124286.000,69693.000
1688466699.214,1223.000,124216.000,69673.000
1688466699.214,1218.000,124109.000,69665.000
1688466699.214,1217.000,124019.000,69624.000
1688466699.214,1218.000,124004.000,69609.000
1688466699.214,1218.000,123854.000,69618.000
1688466699.303,1217.000,123831.000,69582.000
1688466699.303,1218.000,123783.000,69586.000
1688466699.303,1216.000,123711.000,69569.000
1688466699.303,1220.000,123677.000,69518.000
1688466699.303,1221.000,123700.000,69542.000
1688466699.303,1220.000,123576.000,69514.000
1688466699.394,1222.000,123552.000,69478.000
1688466699.394,1224.000,123564.000,69492.000
1688466699.394,1223.000,123513.000,69485.000
1688466699.394,1226.000,123509.000,69492.000
1688466699.394,1226.000,123549.000,69510.000
1688466699.394,1226.000,123512.000,69483.000
1688466699.498,1227.000,123471.000,69477.000
1688466699.498,1230.000,123529.000,69464.000
1688466699.498,1229.000,123486.000,69486.000
1688466699.498,1234.000,123477.000,69481.000
1688466699.498,1231.000,123523.000,69465.000
1688466699.498,1233.000,123520.000,69508.000
1688466699.588,1236.000,123511.000,69482.000
