timestamps,X,Y,Z
1688466690.304,-0.496,0.202,0.847
1688466690.304,-0.493,0.203,0.851
1688466690.304,-0.496,0.207,0.851
1688466690.364,-0.496,0.207,0.854
1688466690.364,-0.496,0.207,0.854
1688466690.364,-0.494,0.207,0.854
1688466690.425,-0.491,0.204,0.852
1688466690.425,-0.500,0.206,0.865
1688466690.425,-0.496,0.208,0.850
1688466690.472,-0.489,0.205,0.845
1688466690.472,-0.490,0.202,0.858
1688466690.472,-0.489,0.203,0.860
1688466690.529,-0.491,0.204,0.857
1688466690.529,-0.491,0.204,0.860
1688466690.529,-0.490,0.203,0.856
1688466690.589,-0.489,0.203,0.854
1688466690.589,-0.489,0.203,0.853
1688466690.589,-0.489,0.206,0.850
1688466690.648,-0.485,0.201,0.852
1688466690.648,-0.496,0.200,0.857
1688466690.648,-0.495,0.201,0.852
1688466690.708,-0.494,0.204,0.850
1688466690.708,-0.490,0.202,0.853
1688466690.708,-0.493,0.204,0.855
1688466690.754,-0.492,0.206,0.852
1688466690.754,-0.494,0.207,0.860
1688466690.754,-0.493,0.206,0.856
1688466690.814,-0.492,0.206,0.854
1688466690.814,-0.492,0.208,0.852
1688466690.814,-0.490,0.211,0.849
1688466690.873,-0.494,0.206,0.854
1688466690.873,-0.494,0.205,0.852
1688466690.873,-0.496,0.209,0.851
1688466690.919,-0.497,0.209,0.852
1688466690.919,-0.498,0.212,0.851
1688466690.919,-0.497,0.206,0.853
1688466690.985,-0.496,0.209,0.850
1688466690.985,-0.498,0.209,0.854
1688466690.985,-0.496,0.207,0.853
1688466691.039,-0.494,0.205,0.851
1688466691.039,-0.494,0.207,0.852
1688466691.039,-0.494,0.205,0.850
1688466691.099,-0.495,0.208,0.854
1688466691.099,-0.489,0.203,0.851
1688466691.099,-0.491,0.205,0.850
1688466691.174,-0.484,0.206,0.847
1688466691.174,-0.497,0.204,0.859
1688466691.174,-0.492,0.205,0.856
1688466691.204,-0.490,0.204,0.850
1688466691.204,-0.490,0.200,0.853
1688466691.204,-0.491,0.200,0.860
1688466691.267,-0.487,0.203,0.855
1688466691.267,-0.490,0.202,0.856
1688466691.267,-0.489,0.206,0.853
1688466691.323,-0.487,0.201,0.853
1688466691.323,-0.487,0.202,0.851
1688466691.323,-0.485,0.201,0.857
1688466691.384,-0.487,0.208,0.857
1688466691.384,-0.486,0.203,0.856
1688466691.384,-0.488,0.205,0.862
1688466691.445,-0.490,0.208,0.853
1688466691.445,-0.486,0.204,0.853
1688466691.445,-0.485,0.204,0.855
1688466691.489,-0.488,0.208,0.859
1688466691.489,-0.485,0.205,0.858
1688466691.489,-0.487,0.208,0.856
1688466691.564,-0.486,0.207,0.855
1688466691.564,-0.486,0.203,0.853
1688466691.564,-0.485,0.204,0.855
1688466691.597,-0.486,0.208,0.854
1688466691.597,-0.486,0.207,0.855
1688466691.597,-0.487,0.208,0.856
1688466691.654,-0.488,0.205,0.857
1688466691.654,-0.489,0.209,0.859
1688466691.654,-0.485,0.208,0.855
1688466691.731,-0.488,0.211,0.856
1688466691.731,-0.487,0.211,0.854
1688466691.731,-0.486,0.210,0.853
1688466691.774,-0.487,0.211,0.856
1688466691.774,-0.487,0.207,0.854
1688466691.774,-0.486,0.209,0.858
1688466691.823,-0.487,0.206,0.860
1688466691.823,-0.481,0.202,0.859
1688466691.823,-0.482,0.206,0.859
1688466691.879,-0.480,0.206,0.857
1688466691.879,-0.488,0.202,0.867
1688466691.879,-0.482,0.209,0.859
