timestamps,PPG1,PPG2,PPG3
1687264888.749,670.000,136268.000,89690.000
1687264888.749,672.000,136253.000,89651.000
1687264888.749,670.000,136258.000,89681.000
1687264888.749,670.000,136257.000,89675.000
1687264888.749,669.000,136247.000,89654.000
1687264888.749,671.000,136280.000,89687.000
1687264888.840,672.000,136284.000,89740.000
1687264888.840,669.000,136296.000,89679.000
1687264888.840,671.000,136294.000,89673.000
1687264888.840,671.000,136274.000,89724.000
1687264888.840,670.000,136318.000,89674.000
1687264888.840,672.000,136371.000,89723.000
1687264888.944,671.000,136401.000,89695.000
1687264888.944,671.000,136377.000,89743.000
1687264888.944,671.000,136350.000,89719.000
1687264888.944,672.000,136372.000,89733.000
1687264888.944,669.000,136402.000,89735.000
1687264888.944,671.000,136431.000,89737.000
1687264889.034,673.000,136508.000,89766.000
1687264889.034,672.000,136448.000,89762.000
1687264889.034,672.000,136484.000,89740.000
1687264889.034,673.000,136485.000,89742.000
1687264889.034,674.000,136493.000,89770.000
1687264889.034,674.000,136556.000,89777.000
1687264889.128,673.000,136529.000,89744.000
1687264889.128,673.000,136441.000,89745.000
1687264889.128,674.000,136441.000,89757.000
1687264889.128,674.000,136343.000,89728.000
1687264889.128,674.000,136279.000,89700.000
1687264889.128,671.000,136247.000,89678.000
1687264889.215,674.000,136231.000,89663.000
1687264889.215,672.000,136223.000,89707.000
1687264889.215,672.000,136226.000,89694.000
1687264889.215,672.000,136209.000,89644.000
1687264889.215,673.000,136135.000,89675.000
1687264889.215,672.000,136179.000,89631.000
1687264889.319,674.000,136188.000,89656.000
1687264889.319,673.000,136093.000,89633.000
1687264889.319,673.000,136137.000,89608.000
1687264889.319,674.000,136129.000,89621.000
1687264889.319,673.000,136134.000,89666.000
1687264889.319,675.000,136155.000,89631.000
1687264889.410,675.000,136107.000,89624.000
1687264889.410,674.000,136120.000,89599.000
1687264889.410,674.000,136090.000,89634.000
1687264889.410,676.000,136055.000,89608.000
1687264889.410,675.000,136082.000,89605.000
1687264889.410,676.000,136110.000,89619.000
1687264889.499,676.000,136095.000,89609.000
1687264889.499,676.000,136062.000,89623.000
1687264889.499,676.000,136084.000,89562.000
1687264889.499,674.000,136037.000,89598.000
1687264889.499,677.000,136056.000,89611.000
1687264889.499,675.000,136031.000,89595.000
1687264889.589,677.000,136028.000,89632.000
1687264889.589,674.000,136083.000,89578.000
1687264889.589,677.000,136100.000,89606.000
1687264889.589,676.000,136071.000,89638.000
1687264889.589,676.000,136138.000,89652.000
1687264889.589,675.000,136119.000,89614.000
1687264889.695,676.000,136120.000,89613.000
1687264889.695,677.000,136121.000,89635.000
1687264889.695,677.000,136156.000,89621.000
1687264889.695,677.000,136170.000,89667.000
1687264889.695,677.000,136191.000,89646.000
