timestamps,PPG1,PPG2,PPG3
1689806076.087,489.000,108644.000,66180.000
1689806076.087,491.000,108605.000,66186.000
1689806076.087,490.000,108560.000,66154.000
1689806076.087,490.000,108538.000,66164.000
1689806076.087,489.000,108556.000,66139.000
1689806076.087,490.000,108570.000,66150.000
1689806076.176,489.000,108570.000,66151.000
1689806076.176,491.000,108516.000,66140.000
1689806076.176,489.000,108523.000,66169.000
1689806076.176,489.000,108558.000,66186.000
1689806076.176,491.000,108551.000,66180.000
1689806076.176,490.000,108556.000,66164.000
1689806076.280,490.000,108584.000,66178.000
1689806076.280,489.000,108614.000,66144.000
1689806076.280,490.000,108615.000,66192.000
1689806076.280,490.000,108602.000,66170.000
1689806076.280,491.000,108605.000,66192.000
1689806076.280,490.000,108677.000,66181.000
1689806076.373,491.000,108631.000,66230.000
1689806076.373,489.000,108652.000,66214.000
1689806076.373,489.000,108699.000,66230.000
1689806076.373,490.000,108731.000,66232.000
1689806076.373,490.000,108786.000,66238.000
1689806076.373,490.000,108791.000,66253.000
1689806076.461,491.000,108830.000,66256.000
1689806076.461,489.000,108832.000,66265.000
1689806076.461,491.000,108883.000,66280.000
1689806076.461,491.000,108907.000,66308.000
1689806076.461,491.000,108965.000,66331.000
1689806076.461,491.000,108962.000,66327.000
1689806076.551,490.000,109028.000,66321.000
1689806076.551,489.000,109040.000,66288.000
1689806076.551,490.000,108935.000,66291.000
1689806076.551,490.000,108845.000,66250.000
1689806076.551,490.000,108804.000,66242.000
1689806076.551,491.000,108717.000,66247.000
1689806076.657,491.000,108697.000,66194.000
1689806076.657,490.000,108603.000,66188.000
1689806076.657,490.000,108630.000,66189.000
1689806076.657,491.000,108533.000,66174.000
1689806076.657,491.000,108617.000,66160.000
1689806076.657,490.000,108546.000,66187.000
1689806076.761,491.000,108592.000,66182.000
1689806076.761,489.000,108503.000,66180.000
1689806076.761,490.000,108516.000,66160.000
1689806076.761,490.000,108559.000,66162.000
1689806076.761,490.000,108613.000,66193.000
1689806076.761,489.000,108620.000,66210.000
1689806076.836,490.000,108603.000,66183.000
1689806076.836,490.000,108607.000,66203.000
1689806076.836,491.000,108623.000,66184.000
1689806076.836,491.000,108598.000,66205.000
1689806076.836,489.000,108615.000,66185.000
1689806076.836,490.000,108647.000,66216.000
1689806076.939,490.000,108674.000,66184.000
1689806076.939,491.000,108656.000,66234.000
1689806076.939,490.000,108712.000,66231.000
1689806076.939,491.000,108698.000,66247.000
1689806076.939,491.000,108754.000,66263.000
1689806076.939,490.000,108768.000,66251.000
1689806077.030,491.000,108797.000,66268.000
1689806077.030,490.000,108832.000,66258.000
1689806077.030,489.000,108872.000,66277.000
1689806077.030,491.000,108915.000,66278.000
1689806077.030,488.000,108902.000,66305.000
1689806077.030,491.000,108953.000,66311.000
1689806077.121,490.000,109057.000,66318.000
1689806077.121,491.000,109011.000,66305.000
1689806077.121,489.000,109018.000,66319.000
1689806077.121,490.000,108929.000,66298.000
1689806077.121,489.000,108871.000,66241.000
1689806077.121,490.000,108846.000,66235.000
1689806077.212,489.000,108762.000,66226.000
1689806077.212,490.000,108697.000,66228.000
1689806077.212,490.000,108677.000,66210.000
1689806077.212,490.000,108628.000,66167.000
1689806077.212,489.000,108689.000,66200.000
1689806077.212,490.000,108612.000,66196.000
1689806077.301,489.000,108645.000,66209.000
1689806077.301,491.000,108560.000,66176.000
1689806077.301,489.000,108574.000,66205.000
1689806077.301,491.000,108604.000,66177.000
1689806077.301,489.000,108613.000,66199.000
1689806077.301,489.000,108608.000,66191.000
1689806077.419,490.000,108677.000,66202.000
1689806077.419,490.000,108673.000,66193.000
1689806077.419,490.000,108609.000,66216.000
1689806077.419,488.000,108678.000,66224.000
1689806077.419,491.000,108651.000,66219.000
1689806077.419,490.000,108674.000,66221.000
1689806077.497,489.000,108702.000,66231.000
1689806077.497,490.000,108760.000,66223.000
1689806077.497,488.000,108712.000,66223.000
1689806077.497,490.000,108717.000,66212.000
1689806077.497,488.000,108764.000,66228.000
1689806077.497,490.000,108802.000,66227.000
1689806077.586,490.000,108857.000,66239.000
1689806077.586,489.000,108874.000,66258.000
1689806077.586,489.000,108912.000,66252.000
1689806077.586,489.000,108925.000,66262.000
1689806077.586,489.000,108938.000,66268.000
1689806077.586,489.000,108994.000,66252.000
1689806077.688,488.000,109026.000,66298.000
1689806077.688,489.000,109042.000,66307.000
1689806077.688,490.000,109008.000,66302.000
1689806077.688,488.000,109023.000,66264.000
1689806077.688,489.000,108942.000,66232.000
1689806077.688,487.000,108870.000,66246.000
1689806077.781,489.000,108836.000,66185.000
1689806077.781,488.000,108777.000,66178.000
1689806077.781,488.000,108724.000,66151.000
1689806077.781,487.000,108695.000,66190.000
1689806077.781,488.000,108667.000,66161.000
1689806077.781,488.000,108636.000,66131.000
1689806077.871,488.000,108607.000,66127.000
1689806077.871,486.000,108625.000,66120.000
1689806077.871,487.000,108581.000,66150.000
1689806077.871,487.000,108630.000,66143.000
1689806077.871,487.000,108597.000,66128.000
1689806077.871,488.000,108597.000,66125.000
1689806077.961,487.000,108608.000,66128.000
1689806077.961,488.000,108638.000,66133.000
1689806077.961,488.000,108623.000,66154.000
1689806077.961,487.000,108651.000,66134.000
1689806077.961,487.000,108620.000,66123.000
1689806077.961,488.000,108632.000,66128.000
1689806078.051,488.000,108670.000,66147.000
1689806078.051,488.000,108622.000,66161.000
1689806078.051,487.000,108652.000,66183.000
1689806078.051,488.000,108692.000,66169.000
1689806078.051,488.000,108718.000,66157.000
1689806078.051,487.000,108737.000,66170.000
1689806078.155,488.000,108761.000,66197.000
1689806078.155,488.000,108798.000,66208.000
1689806078.155,489.000,108795.000,66214.000
1689806078.155,487.000,108861.000,66206.000
1689806078.155,487.000,108897.000,66238.000
