timestamps,X,Y,Z
1692132724.455,-2.094,2.759,0.239
1692132724.455,-2.370,2.512,0.254
1692132724.455,-2.221,2.393,0.217
1692132724.515,-2.108,2.243,0.097
1692132724.515,-2.243,2.400,0.194
1692132724.515,-2.146,2.550,0.142
1692132724.562,-1.929,2.737,0.374
1692132724.562,-2.138,2.819,0.695
1692132724.562,-1.779,2.826,0.822
1692132724.650,-1.936,2.804,0.979
1692132724.650,-2.228,2.692,1.286
1692132724.650,-2.146,2.923,1.690
1692132724.682,-1.869,2.871,1.436
1692132724.682,-1.585,2.894,1.196
1692132724.682,-1.301,2.766,1.107
1692132724.740,-1.727,2.647,1.077
1692132724.740,-1.794,2.946,1.151
1692132724.740,-2.123,2.707,1.256
1692132724.800,-2.430,2.445,0.740
1692132724.800,-2.692,2.647,0.404
1692132724.800,-2.340,2.871,0.381
1692132724.847,-2.251,3.193,0.359
1692132724.847,-2.049,3.163,0.284
1692132724.847,-2.086,3.118,0.523
1692132724.923,-1.593,3.088,0.374
1692132724.923,-1.682,2.699,0.890
1692132724.923,-2.026,2.505,1.421
1692132724.965,-2.004,2.385,1.428
1692132724.965,-1.735,2.647,1.428
1692132724.965,-2.101,2.482,1.279
1692132725.026,-2.198,2.856,0.845
1692132725.026,-2.183,2.923,0.621
1692132725.026,-2.071,2.916,0.471
1692132725.085,-1.944,3.073,0.576
1692132725.085,-1.899,3.208,0.449
1692132725.085,-1.907,3.036,0.643
1692132725.132,-1.996,3.140,0.860
1692132725.132,-2.183,2.931,0.912
1692132725.132,-2.071,2.624,0.815
1692132725.193,-2.079,2.662,0.643
1692132725.193,-2.206,2.729,0.770
1692132725.193,-2.056,2.707,0.665
1692132725.250,-1.899,2.789,0.636
1692132725.250,-2.138,2.841,0.538
1692132725.250,-2.041,2.707,0.725
1692132725.310,-1.585,2.594,0.718
1692132725.310,-1.652,2.879,1.129
1692132725.310,-1.735,2.991,1.308
1692132725.355,-1.787,3.409,1.376
1692132725.355,-1.989,3.522,1.458
1692132725.355,-2.026,3.462,1.727
1692132725.415,-1.996,3.297,1.383
1692132725.415,-1.503,3.223,1.323
1692132725.415,-1.847,3.200,1.301
1692132725.477,-1.645,2.983,1.331
1692132725.477,-1.959,2.811,1.368
1692132725.477,-2.400,2.617,1.062
1692132725.550,-2.467,2.363,0.688
1692132725.550,-2.094,2.542,0.665
1692132725.550,-2.064,2.886,0.471
1692132725.595,-1.914,3.208,0.493
1692132725.595,-1.787,3.537,0.658
1692132725.595,-1.742,3.656,0.523
1692132725.640,-1.570,4.209,0.912
1692132725.640,-1.406,4.464,1.099
1692132725.640,-1.114,4.381,1.189
1692132725.715,-1.720,4.060,1.540
1692132725.715,-2.273,4.165,1.555
1692132725.715,-1.929,3.776,1.346
1692132725.760,-1.832,3.469,1.107
1692132725.760,-2.011,3.080,0.935
1692132725.760,-1.996,3.133,0.830
1692132725.806,-1.727,3.200,0.516
1692132725.806,-1.981,3.514,0.628
1692132725.806,-1.966,3.656,1.039
1692132725.865,-2.467,3.267,0.987
1692132725.865,-2.303,3.013,1.181
1692132725.865,-2.168,2.976,1.234
1692132725.925,-2.011,2.886,0.905
1692132725.925,-2.079,2.430,0.807
1692132725.925,-2.303,2.355,0.875
1692132725.988,-2.116,2.639,1.099
1692132725.988,-1.907,2.841,0.950
1692132725.988,-1.705,2.677,0.755
1692132726.033,-1.974,2.841,1.092
1692132726.033,-1.809,2.938,1.421
1692132726.033,-2.041,2.886,1.450
1692132726.090,-2.265,3.185,1.346
1692132726.090,-1.832,3.021,1.264
1692132726.090,-1.735,3.080,1.181
1692132726.150,-1.458,2.744,0.636
1692132726.150,-1.735,2.953,0.665
1692132726.150,-2.086,3.065,0.807
1692132726.210,-1.929,2.931,0.875
1692132726.210,-2.310,2.766,0.867
1692132726.210,-2.789,2.512,1.047
1692132726.272,-2.594,2.251,0.643
1692132726.272,-2.490,2.071,0.523
1692132726.272,-2.243,2.408,0.336
1692132726.318,-3.522,1.959,0.553
1692132726.318,-3.813,0.867,1.054
1692132726.318,-3.761,0.299,1.398
1692132726.375,-5.353,-4.060,3.028
1692132726.375,-5.839,-5.555,3.282
1692132726.375,-5.204,-6.056,3.110
1692132726.435,-4.995,-3.095,2.393
1692132726.435,-3.245,0.172,1.563
1692132726.435,-0.890,3.208,0.224
1692132726.495,0.007,5.406,-0.613
1692132726.495,-1.039,5.219,0.105
1692132726.495,-1.413,4.389,0.404
1692132726.555,-1.107,3.880,0.202
1692132726.555,-0.845,3.402,-0.097
1692132726.555,-1.510,3.611,0.598
1692132726.602,-1.331,3.095,0.688
1692132726.602,-2.475,2.946,0.987
1692132726.602,-2.505,2.886,0.725
1692132726.660,-2.176,2.557,0.538
1692132726.660,-1.914,2.916,0.456
1692132726.660,-1.914,3.245,0.202
1692132726.721,-1.211,3.813,0.037
1692132726.721,-1.675,3.514,0.621
1692132726.721,-1.757,3.342,0.807
1692132726.780,-1.510,3.095,0.882
1692132726.780,-1.368,3.424,0.837
1692132726.780,-1.428,4.008,0.613
1692132726.828,-1.092,4.733,0.523
1692132726.828,-0.658,5.211,0.381
1692132726.828,-0.942,5.316,0.314
1692132726.885,-1.406,3.955,0.658
1692132726.885,-1.936,3.245,0.598
1692132726.885,-1.824,3.133,0.538
1692132726.945,-1.473,3.088,0.710
1692132726.945,-1.301,3.058,0.568
1692132726.945,-1.555,3.208,0.329
1692132727.007,-1.892,2.983,0.441
1692132727.007,-2.108,3.163,0.381
1692132727.007,-2.041,3.544,0.508
1692132727.050,-1.660,3.619,0.336
1692132727.050,-1.832,3.611,0.336
1692132727.050,-1.765,3.806,0.598
1692132727.125,-1.518,3.955,1.099
1692132727.125,-1.667,3.701,1.099
1692132727.125,-1.787,3.821,0.935
1692132727.170,-2.071,3.985,0.456
1692132727.170,-1.854,3.783,0.307
1692132727.170,-1.645,3.985,-0.269
1692132727.230,-1.809,3.551,-0.314
1692132727.230,-1.667,2.976,-0.292
1692132727.230,-2.108,2.849,-0.329
1692132727.290,-1.899,3.051,0.082
1692132727.290,-1.794,3.215,0.112
1692132727.290,-1.331,3.297,-0.007
1692132727.335,-1.570,3.611,0.299
1692132727.335,-1.824,3.671,0.284
1692132727.335,-2.011,3.551,0.262
1692132727.398,-1.914,3.477,0.374
1692132727.398,-2.161,3.327,0.217
1692132727.398,-1.892,3.297,0.172
1692132727.455,-1.525,3.215,0.194
1692132727.455,-1.331,3.110,0.224
1692132727.455,-1.495,3.148,0.322
1692132727.530,-1.824,3.110,0.598
1692132727.530,-1.802,2.871,0.763
1692132727.530,-1.555,2.826,0.867
1692132727.561,-1.907,2.938,1.017
1692132727.561,-1.981,3.028,1.136
1692132727.561,-1.742,3.073,1.009
1692132727.638,-2.288,3.140,0.778
1692132727.638,-2.400,3.297,0.636
1692132727.638,-2.482,3.178,-0.052
1692132727.681,-2.400,3.237,-0.493
1692132727.681,-2.527,3.604,-0.292
1692132727.681,-2.766,3.574,-0.501
1692132727.740,-2.796,3.439,-1.144
1692132727.740,-2.557,3.551,-1.189
1692132727.740,-2.176,3.873,-0.770
1692132727.800,-2.370,4.142,-0.576
1692132727.800,-2.206,4.082,-0.329
1692132727.800,-1.802,3.948,-0.187
1692132727.847,-1.675,3.843,0.523
1692132727.847,-1.742,3.267,0.748
1692132727.847,-1.892,2.886,0.935
1692132727.908,-1.981,2.639,1.159
1692132727.908,-1.966,2.699,0.897
1692132727.908,-1.907,2.916,0.972
1692132727.965,-1.660,3.058,0.755
1692132727.965,-1.622,2.938,0.725
1692132727.965,-1.824,2.908,0.695
1692132728.025,-1.869,3.140,0.897
