timestamps,X,Y,Z
1687265849.166,-0.276,0.023,0.956
1687265849.166,-0.275,0.025,0.958
1687265849.166,-0.278,0.021,0.965
1687265849.212,-0.281,0.024,0.966
1687265849.212,-0.286,0.024,0.961
1687265849.212,-0.281,0.028,0.966
1687265849.271,-0.278,0.029,0.967
1687265849.271,-0.281,0.030,0.962
1687265849.271,-0.285,0.031,0.968
1687265849.335,-0.290,0.032,0.964
1687265849.335,-0.294,0.030,0.954
1687265849.335,-0.299,0.030,0.957
1687265849.382,-0.297,0.027,0.953
1687265849.382,-0.297,0.030,0.964
1687265849.382,-0.294,0.031,0.961
1687265849.437,-0.295,0.030,0.963
1687265849.437,-0.296,0.026,0.959
1687265849.437,-0.292,0.024,0.957
1687265849.499,-0.291,0.022,0.951
1687265849.499,-0.292,0.020,0.959
1687265849.499,-0.285,0.018,0.955
1687265849.557,-0.283,0.025,0.957
1687265849.557,-0.286,0.023,0.958
1687265849.557,-0.285,0.026,0.962
1687265849.620,-0.288,0.029,0.966
1687265849.620,-0.286,0.028,0.968
1687265849.620,-0.284,0.028,0.966
1687265849.666,-0.287,0.031,0.962
1687265849.666,-0.291,0.030,0.961
1687265849.666,-0.292,0.028,0.959
1687265849.724,-0.293,0.030,0.961
1687265849.724,-0.292,0.027,0.956
1687265849.724,-0.289,0.032,0.954
1687265849.782,-0.287,0.029,0.955
1687265849.782,-0.289,0.031,0.959
1687265849.782,-0.290,0.027,0.959
1687265849.841,-0.286,0.028,0.960
1687265849.841,-0.279,0.035,0.961
1687265849.841,-0.282,0.029,0.963
1687265849.890,-0.285,0.032,0.965
1687265849.890,-0.283,0.033,0.964
1687265849.890,-0.283,0.034,0.960
1687265849.949,-0.279,0.034,0.960
1687265849.949,-0.282,0.035,0.958
1687265849.949,-0.284,0.034,0.958
1687265850.007,-0.287,0.034,0.963
1687265850.007,-0.289,0.038,0.960
1687265850.007,-0.289,0.040,0.967
1687265850.066,-0.288,0.039,0.963
1687265850.066,-0.291,0.040,0.966
1687265850.066,-0.290,0.041,0.963
1687265850.126,-0.290,0.031,0.959
1687265850.126,-0.290,0.033,0.958
1687265850.126,-0.289,0.033,0.960
1687265850.175,-0.284,0.029,0.955
1687265850.175,-0.280,0.032,0.965
1687265850.175,-0.281,0.032,0.965
1687265850.237,-0.281,0.030,0.962
1687265850.237,-0.277,0.035,0.964
1687265850.237,-0.276,0.031,0.956
1687265850.291,-0.277,0.031,0.959
1687265850.291,-0.278,0.030,0.957
1687265850.291,-0.279,0.031,0.961
1687265850.351,-0.277,0.031,0.961
1687265850.351,-0.279,0.032,0.966
1687265850.351,-0.285,0.031,0.969
1687265850.443,-0.285,0.031,0.966
1687265850.443,-0.284,0.035,0.966
1687265850.443,-0.281,0.035,0.964
1687265850.457,-0.284,0.040,0.959
1687265850.457,-0.286,0.037,0.961
1687265850.457,-0.287,0.038,0.964
1687265850.517,-0.287,0.037,0.961
1687265850.517,-0.285,0.035,0.959
1687265850.517,-0.287,0.036,0.959
1687265850.577,-0.288,0.034,0.956
1687265850.577,-0.284,0.028,0.962
1687265850.577,-0.281,0.027,0.964
1687265850.636,-0.282,0.027,0.963
1687265850.636,-0.280,0.029,0.964
1687265850.636,-0.279,0.025,0.961
1687265850.696,-0.280,0.026,0.964
1687265850.696,-0.281,0.025,0.963
1687265850.696,-0.285,0.020,0.961
1687265850.743,-0.281,0.021,0.961
1687265850.743,-0.278,0.024,0.960
1687265850.743,-0.280,0.025,0.957
1687265850.802,-0.276,0.024,0.961
1687265850.802,-0.279,0.029,0.965
1687265850.802,-0.281,0.029,0.966
1687265850.861,-0.280,0.028,0.962
1687265850.861,-0.281,0.032,0.964
1687265850.861,-0.279,0.029,0.970
1687265850.921,-0.276,0.026,0.959
1687265850.921,-0.278,0.028,0.963
1687265850.921,-0.276,0.026,0.963
1687265850.981,-0.269,0.027,0.960
1687265850.981,-0.270,0.029,0.966
1687265850.981,-0.272,0.029,0.970
1687265851.026,-0.271,0.031,0.969
1687265851.026,-0.272,0.031,0.966
1687265851.026,-0.271,0.033,0.957
1687265851.087,-0.275,0.029,0.962
1687265851.087,-0.276,0.030,0.961
1687265851.087,-0.277,0.031,0.963
1687265851.146,-0.279,0.031,0.963
1687265851.146,-0.281,0.036,0.963
1687265851.146,-0.290,0.035,0.963
1687265851.191,-0.296,0.037,0.968
1687265851.191,-0.294,0.035,0.958
1687265851.191,-0.293,0.035,0.956
1687265851.269,-0.297,0.035,0.951
1687265851.269,-0.298,0.034,0.958
1687265851.269,-0.291,0.030,0.956
1687265851.312,-0.289,0.029,0.958
1687265851.312,-0.288,0.032,0.959
1687265851.312,-0.285,0.031,0.967
1687265851.372,-0.284,0.029,0.961
1687265851.372,-0.282,0.034,0.962
1687265851.372,-0.285,0.033,0.959
1687265851.417,-0.290,0.031,0.960
1687265851.417,-0.291,0.031,0.960
1687265851.417,-0.297,0.028,0.965
1687265851.476,-0.297,0.028,0.966
1687265851.476,-0.289,0.029,0.965
1687265851.476,-0.286,0.024,0.958
1687265851.541,-0.288,0.024,0.959
1687265851.541,-0.285,0.023,0.954
1687265851.541,-0.282,0.026,0.952
1687265851.585,-0.279,0.025,0.958
1687265851.585,-0.281,0.031,0.959
1687265851.585,-0.279,0.029,0.965
1687265851.642,-0.278,0.030,0.959
1687265851.642,-0.276,0.034,0.965
1687265851.642,-0.273,0.032,0.963
1687265851.702,-0.273,0.034,0.961
1687265851.702,-0.274,0.036,0.958
1687265851.702,-0.281,0.037,0.960
1687265851.761,-0.286,0.035,0.960
1687265851.761,-0.281,0.040,0.957
