timestamps,PPG1,PPG2,PPG3
1689610074.979,727.000,122688.000,62591.000
1689610074.979,726.000,122668.000,62626.000
1689610074.979,726.000,122679.000,62628.000
1689610074.979,728.000,122732.000,62627.000
1689610074.979,726.000,122675.000,62623.000
1689610074.979,728.000,122753.000,62637.000
1689610075.069,728.000,122757.000,62653.000
1689610075.069,728.000,122821.000,62663.000
1689610075.069,727.000,122804.000,62654.000
1689610075.069,727.000,122859.000,62692.000
1689610075.069,728.000,122872.000,62670.000
1689610075.069,729.000,122935.000,62677.000
1689610075.174,730.000,122912.000,62686.000
1689610075.174,729.000,122968.000,62677.000
1689610075.174,730.000,122987.000,62717.000
1689610075.174,730.000,122983.000,62721.000
1689610075.174,729.000,123014.000,62713.000
1689610075.174,729.000,123087.000,62733.000
1689610075.264,730.000,123084.000,62730.000
1689610075.264,731.000,123180.000,62761.000
1689610075.264,731.000,123170.000,62732.000
1689610075.264,729.000,123210.000,62759.000
1689610075.264,730.000,123256.000,62773.000
1689610075.264,733.000,123221.000,62777.000
1689610075.372,731.000,123267.000,62765.000
1689610075.372,734.000,123330.000,62773.000
1689610075.372,731.000,123312.000,62738.000
1689610075.372,731.000,123258.000,62718.000
1689610075.372,730.000,123125.000,62686.000
1689610075.372,730.000,123028.000,62636.000
1689610075.444,726.000,122848.000,62627.000
1689610075.444,728.000,122791.000,62587.000
1689610075.444,727.000,122758.000,62594.000
1689610075.444,725.000,122726.000,62579.000
1689610075.444,727.000,122678.000,62579.000
1689610075.444,727.000,122698.000,62558.000
1689610075.549,726.000,122679.000,62545.000
1689610075.549,727.000,122723.000,62571.000
1689610075.549,728.000,122727.000,62565.000
1689610075.549,727.000,122747.000,62590.000
1689610075.549,726.000,122764.000,62573.000
1689610075.549,727.000,122800.000,62567.000
1689610075.639,728.000,122801.000,62587.000
1689610075.639,729.000,122794.000,62607.000
1689610075.639,728.000,122804.000,62581.000
1689610075.639,729.000,122794.000,62567.000
1689610075.639,730.000,122753.000,62579.000
1689610075.639,730.000,122714.000,62559.000
1689610075.729,730.000,122718.000,62554.000
1689610075.729,728.000,122717.000,62546.000
1689610075.729,729.000,122757.000,62555.000
1689610075.729,730.000,122718.000,62544.000
1689610075.729,731.000,122700.000,62547.000
1689610075.729,729.000,122740.000,62563.000
1689610075.819,728.000,122757.000,62535.000
1689610075.819,730.000,122816.000,62553.000
1689610075.819,728.000,122850.000,62574.000
1689610075.819,729.000,122858.000,62545.000
1689610075.819,728.000,122885.000,62576.000
1689610075.819,731.000,122829.000,62587.000
1689610075.924,730.000,122952.000,62598.000
1689610075.924,731.000,122949.000,62587.000
1689610075.924,732.000,123010.000,62574.000
1689610075.924,730.000,123061.000,62601.000
1689610075.924,733.000,123045.000,62620.000
1689610075.924,734.000,123101.000,62622.000
1689610076.014,733.000,123144.000,62626.000
1689610076.014,734.000,123164.000,62627.000
1689610076.014,734.000,123150.000,62639.000
1689610076.014,733.000,123185.000,62632.000
1689610076.014,733.000,123239.000,62657.000
1689610076.014,734.000,123253.000,62655.000
1689610076.104,734.000,123269.000,62657.000
1689610076.104,734.000,123279.000,62652.000
1689610076.104,734.000,123260.000,62625.000
1689610076.104,732.000,123142.000,62613.000
1689610076.104,733.000,123061.000,62561.000
1689610076.104,730.000,122884.000,62491.000
1689610076.195,731.000,122794.000,62471.000
1689610076.195,730.000,122680.000,62434.000
1689610076.195,729.000,122604.000,62389.000
1689610076.195,729.000,122559.000,62404.000
1689610076.195,726.000,122526.000,62404.000
1689610076.195,728.000,122480.000,62392.000
1689610076.299,726.000,122506.000,62371.000
1689610076.299,725.000,122512.000,62362.000
1689610076.299,727.000,122502.000,62381.000
1689610076.299,726.000,122481.000,62388.000
1689610076.299,729.000,122506.000,62406.000
1689610076.299,728.000,122523.000,62389.000
1689610076.389,726.000,122514.000,62381.000
1689610076.389,725.000,122524.000,62385.000
1689610076.389,728.000,122488.000,62388.000
1689610076.389,725.000,122445.000,62370.000
1689610076.389,726.000,122441.000,62364.000
1689610076.389,728.000,122446.000,62343.000
1689610076.480,725.000,122348.000,62337.000
1689610076.480,725.000,122354.000,62336.000
1689610076.480,725.000,122335.000,62323.000
1689610076.480,725.000,122345.000,62334.000
1689610076.480,724.000,122352.000,62328.000
1689610076.480,726.000,122372.000,62333.000
1689610076.569,727.000,122386.000,62346.000
1689610076.569,724.000,122361.000,62314.000
1689610076.569,726.000,122408.000,62340.000
1689610076.569,725.000,122396.000,62352.000
1689610076.569,724.000,122433.000,62354.000
1689610076.569,727.000,122460.000,62365.000
1689610076.674,727.000,122455.000,62346.000
1689610076.674,727.000,122499.000,62356.000
