timestamps,X,Y,Z
1692210896.091,-2.049,3.402,1.787
1692210896.091,-2.422,3.223,2.071
1692210896.091,-1.974,3.282,1.981
1692210896.149,-1.966,3.312,1.383
1692210896.149,-2.019,2.938,1.151
1692210896.149,-1.996,2.946,1.047
1692210896.211,-2.056,2.886,0.979
1692210896.211,-2.243,2.894,1.077
1692210896.211,-2.116,2.722,1.032
1692210896.270,-1.779,2.602,0.807
1692210896.270,-2.071,2.699,1.219
1692210896.270,-1.907,2.699,1.293
1692210896.314,-2.079,2.916,1.353
1692210896.314,-2.236,3.237,1.316
1692210896.314,-2.079,3.140,1.428
1692210896.361,-2.034,3.163,1.271
1692210896.361,-1.907,3.073,0.673
1692210896.361,-2.251,3.267,0.583
1692210896.420,-2.108,3.432,0.493
1692210896.420,-2.086,3.155,0.523
1692210896.420,-2.228,3.163,0.441
1692210896.498,-3.514,3.761,0.411
1692210896.498,-3.649,3.566,0.553
1692210896.498,-3.551,3.424,1.069
1692210896.539,-3.043,3.125,1.189
1692210896.539,-2.789,2.781,1.443
1692210896.539,-2.437,2.325,1.697
1692210896.600,-2.707,2.415,1.779
1692210896.600,-2.714,2.265,1.645
1692210896.600,-2.288,2.527,1.630
1692210896.646,-1.832,2.572,1.465
1692210896.646,-1.548,2.437,0.972
1692210896.646,-1.002,2.482,0.815
1692210896.719,-1.159,2.692,0.650
1692210896.719,-1.174,2.565,0.628
1692210896.719,-1.398,2.520,0.897
1692210896.768,-1.750,2.385,1.024
1692210896.768,-1.974,2.647,1.480
1692210896.768,-2.079,2.976,1.510
1692210896.824,-1.839,3.013,0.778
1692210896.824,-2.011,2.894,0.508
1692210896.824,-1.981,2.819,0.441
1692210896.870,-1.981,2.707,0.307
1692210896.870,-1.690,2.520,0.538
1692210896.870,-1.667,2.871,0.740
1692210896.931,-1.951,2.819,1.077
1692210896.931,-2.019,3.439,1.488
1692210896.931,-2.288,3.880,1.705
1692210896.989,-2.138,3.851,1.421
1692210896.989,-2.094,3.656,1.361
1692210896.989,-2.370,3.686,1.279
1692210897.052,-2.602,3.753,1.136
1692210897.052,-3.058,3.566,1.069
1692210897.052,-2.445,3.454,0.890
1692210897.098,-2.460,3.432,0.920
1692210897.098,-2.505,3.170,1.002
1692210897.098,-2.333,2.946,0.965
1692210897.154,-2.303,3.103,0.972
1692210897.154,-2.400,3.058,1.279
1692210897.154,-2.273,3.140,1.458
1692210897.231,-2.004,3.170,1.630
1692210897.231,-1.884,3.402,1.772
1692210897.231,-1.966,2.991,1.742
1692210897.274,-2.288,2.931,1.436
1692210897.274,-2.138,2.968,1.376
1692210897.274,-1.869,2.789,1.353
1692210897.336,-1.421,2.871,1.353
1692210897.336,-1.495,3.006,1.219
1692210897.336,-1.652,2.931,1.293
1692210897.380,-1.727,3.095,1.600
1692210897.380,-1.809,3.118,1.824
1692210897.380,-1.750,3.267,1.779
1692210897.454,-1.705,3.327,1.578
1692210897.454,-1.839,3.447,2.026
1692210897.454,-2.273,3.492,2.452
1692210897.501,-2.729,3.925,2.535
1692210897.501,-2.737,4.359,2.632
1692210897.501,-2.251,4.314,2.871
1692210897.559,-2.348,3.970,3.163
1692210897.559,-2.049,3.581,2.609
1692210897.559,-2.213,3.365,2.310
1692210897.608,-1.862,3.036,1.951
1692210897.608,-1.817,2.714,1.316
1692210897.608,-1.652,2.737,1.039
1692210897.664,-1.824,2.579,0.867
1692210897.664,-1.727,2.550,0.284
1692210897.664,-1.936,2.550,0.434
1692210897.725,-2.138,2.512,0.606
1692210897.725,-2.243,2.393,1.009
1692210897.725,-2.325,2.565,0.950
1692210897.785,-2.273,2.699,0.845
1692210897.785,-2.056,2.609,0.935
1692210897.785,-1.981,2.781,0.763
1692210897.862,-1.959,2.879,0.755
1692210897.862,-1.690,2.841,0.785
1692210897.862,-2.026,2.916,0.718
1692210897.893,-2.258,2.774,0.837
1692210897.893,-2.408,2.804,0.927
1692210897.893,-2.370,2.751,0.979
1692210897.964,-2.378,2.759,0.920
1692210897.964,-2.221,2.535,0.621
1692210897.964,-2.056,2.654,0.322
1692210898.009,-1.794,2.565,0.508
1692210898.009,-1.548,2.572,0.658
1692210898.009,-1.518,2.714,0.613
1692210898.070,-1.765,2.886,0.957
1692210898.070,-1.914,2.946,1.069
1692210898.070,-2.071,2.991,1.271
1692210898.131,-1.518,2.759,1.054
1692210898.131,-1.765,2.565,0.837
1692210898.131,-1.996,2.535,0.837
1692210898.176,-1.951,2.901,0.778
1692210898.176,-2.071,2.781,0.471
1692210898.176,-1.914,2.729,0.179
1692210898.234,-1.548,2.557,-0.067
1692210898.234,-1.712,2.400,0.015
1692210898.234,-1.944,2.198,0.344
1692210898.295,-1.922,2.161,0.531
1692210898.295,-2.579,2.176,0.822
1692210898.295,-2.639,2.273,0.621
1692210898.354,-2.572,2.505,0.703
1692210898.354,-2.191,2.699,0.553
1692210898.354,-1.735,2.744,0.224
1692210898.403,-1.936,2.774,0.262
1692210898.403,-2.108,3.036,0.531
1692210898.403,-1.899,2.729,0.411
1692210898.459,-1.637,2.520,0.606
1692210898.459,-1.712,2.624,1.002
1692210898.459,-1.884,2.594,1.525
1692210898.519,-2.071,2.654,1.495
1692210898.519,-2.026,2.677,0.979
1692210898.519,-2.123,2.804,1.039
1692210898.579,-2.161,2.737,0.800
1692210898.579,-1.936,2.550,0.733
1692210898.579,-2.004,2.579,0.508
1692210898.625,-1.907,2.699,0.441
1692210898.625,-1.735,2.849,0.508
1692210898.625,-1.854,2.923,0.778
1692210898.688,-1.996,2.991,0.770
1692210898.688,-2.019,3.335,0.845
1692210898.688,-2.064,3.327,0.695
1692210898.744,-2.071,3.208,0.576
1692210898.744,-2.490,3.043,0.867
1692210898.744,-2.467,2.669,0.665
1692210898.806,-1.959,2.505,0.501
1692210898.806,-2.049,2.557,0.710
1692210898.806,-2.019,2.355,0.501
1692210898.850,-1.510,2.355,0.456
1692210898.850,-1.862,2.437,0.434
1692210898.850,-2.034,2.609,0.778
1692210898.909,-1.966,2.751,0.695
1692210898.909,-1.600,2.886,0.628
1692210898.909,-1.862,3.260,0.837
1692210898.987,-1.765,3.357,0.523
1692210898.987,-1.981,3.327,0.359
1692210898.987,-2.086,3.118,0.322
1692210899.029,-2.131,3.185,0.120
1692210899.029,-1.869,3.065,-0.090
1692210899.029,-1.428,3.193,-0.135
1692210899.090,-1.323,3.260,-0.217
1692210899.090,-1.406,3.028,-0.142
1692210899.090,-1.765,3.245,0.000
1692210899.134,-1.735,3.178,0.441
1692210899.134,-1.772,2.766,0.778
1692210899.134,-2.303,1.936,0.994
1692210899.194,-2.751,2.034,1.136
1692210899.194,-2.527,2.505,1.249
1692210899.194,-2.243,2.624,0.972
1692210899.255,-2.034,2.714,0.740
1692210899.255,-1.727,2.849,0.456
1692210899.255,-1.637,2.983,0.568
1692210899.314,-1.525,2.781,0.493
1692210899.314,-1.480,2.998,0.890
1692210899.314,-2.064,3.058,1.159
1692210899.362,-2.408,3.043,1.548
1692210899.362,-1.854,3.118,1.144
1692210899.362,-1.922,3.118,0.987
1692210899.419,-2.019,3.110,0.800
1692210899.419,-2.034,3.013,0.531
1692210899.419,-2.064,2.976,0.366
1692210899.483,-2.400,2.961,0.292
1692210899.483,-2.445,3.275,0.404
1692210899.483,-2.116,3.170,0.351
1692210899.541,-1.877,3.282,0.695
1692210899.541,-1.847,3.529,1.122
1692210899.541,-1.802,3.469,1.002
1692210899.585,-1.936,3.290,1.099
1692210899.585,-2.101,3.290,1.077
1692210899.585,-2.131,3.208,0.718
1692210899.647,-2.004,3.065,0.755
1692210899.647,-1.705,2.894,0.755
1692210899.647,-1.705,2.744,0.905
1692210899.704,-2.026,2.834,0.942
1692210899.704,-2.408,2.849,0.822
1692210899.704,-2.228,2.811,0.994
1692210899.768,-1.974,3.223,1.129
1692210899.768,-1.832,3.320,1.062
1692210899.768,-1.899,3.611,1.166
1692210899.813,-2.049,3.380,1.009
1692210899.813,-2.385,3.439,1.189
1692210899.813,-2.094,3.544,0.979
1692210899.869,-2.086,3.551,0.531
1692210899.869,-2.108,3.394,0.501
1692210899.869,-1.996,3.537,0.389
1692210899.931,-1.757,3.499,0.613
1692210899.931,-1.854,3.043,0.860
1692210899.931,-1.690,3.103,1.181
1692210899.989,-1.899,3.230,1.308
1692210899.989,-2.221,2.901,0.875
1692210899.989,-2.781,3.036,0.987
1692210900.053,-2.722,3.065,0.972
1692210900.053,-2.325,3.245,0.703
1692210900.053,-2.146,3.417,0.411
1692210900.097,-2.236,3.409,0.553
1692210900.097,-1.989,3.275,0.307
1692210900.097,-2.138,3.223,0.576
1692210900.154,-2.101,3.208,0.583
1692210900.154,-2.228,3.006,1.099
1692210900.154,-1.892,2.886,1.316
1692210900.229,-2.176,2.819,1.413
1692210900.229,-2.221,3.080,0.987
1692210900.229,-2.191,3.237,0.778
1692210900.275,-2.131,3.178,0.501
1692210900.275,-1.899,3.013,0.718
1692210900.275,-1.914,2.781,0.695
1692210900.338,-1.869,3.080,1.032
1692210900.338,-1.563,3.402,0.957
1692210900.338,-1.465,3.275,1.062
1692210900.396,-1.667,3.350,1.525
1692210900.396,-1.981,3.372,1.630
1692210900.396,-2.019,3.178,1.622
1692210900.439,-2.071,3.335,1.615
1692210900.439,-1.922,3.215,1.114
1692210900.439,-2.153,3.133,0.845
1692210900.502,-1.944,3.110,0.830
1692210900.502,-2.041,2.908,0.875
1692210900.502,-1.892,2.841,0.890
1692210900.560,-1.809,2.946,0.793
1692210900.560,-1.959,3.036,1.077
1692210900.560,-2.176,3.193,1.204
1692210900.608,-2.333,3.282,1.054
1692210900.608,-2.146,3.312,0.807
1692210900.608,-1.974,3.118,0.658
1692210900.664,-1.974,3.237,0.628
1692210900.664,-2.258,3.350,0.972
1692210900.664,-1.832,3.282,0.927
1692210900.724,-1.907,2.931,0.479
1692210900.724,-2.064,2.991,0.486
1692210900.724,-2.437,3.275,0.591
1692210900.784,-2.325,3.006,0.778
1692210900.784,-2.751,2.804,0.538
1692210900.784,-2.781,3.237,0.389
1692210900.830,-2.639,3.365,0.531
1692210900.830,-2.168,3.626,0.501
1692210900.830,-2.236,3.402,0.449
1692210900.893,-1.869,3.245,0.583
1692210900.893,-1.884,3.073,0.576
1692210900.893,-2.198,2.938,0.763
1692210900.949,-2.273,2.961,0.875
1692210900.949,-2.348,2.968,1.249
1692210900.949,-2.355,2.811,1.406
1692210901.009,-2.258,3.036,1.084
1692210901.009,-1.765,2.864,0.665
1692210901.009,-1.877,2.609,0.456
1692210901.070,-2.011,2.520,0.351
1692210901.070,-2.153,2.849,0.411
1692210901.070,-2.026,3.200,0.381
1692210901.130,-1.974,3.380,0.680
1692210901.130,-2.101,3.230,0.875
1692210901.130,-2.004,3.380,0.927
1692210901.176,-1.959,3.305,1.062
1692210901.176,-1.959,3.110,0.905
