timestamps,X,Y,Z
1692124042.455,-0.144,0.108,0.985
1692124042.455,-0.141,0.107,0.985
1692124042.455,-0.139,0.112,0.987
1692124042.515,-0.139,0.106,0.985
1692124042.515,-0.140,0.110,0.989
1692124042.515,-0.141,0.107,0.987
1692124042.575,-0.143,0.108,0.989
1692124042.575,-0.143,0.106,0.987
1692124042.575,-0.144,0.106,0.983
1692124042.622,-0.150,0.107,0.984
1692124042.622,-0.153,0.110,0.983
1692124042.622,-0.153,0.105,0.982
1692124042.680,-0.150,0.106,0.982
1692124042.680,-0.150,0.109,0.985
1692124042.680,-0.149,0.113,0.982
1692124042.740,-0.147,0.110,0.985
1692124042.740,-0.149,0.112,0.982
1692124042.740,-0.146,0.111,0.987
1692124042.800,-0.148,0.114,0.988
1692124042.800,-0.145,0.120,0.987
1692124042.800,-0.145,0.118,0.983
1692124042.848,-0.146,0.114,0.984
1692124042.848,-0.149,0.114,0.985
1692124042.848,-0.148,0.113,0.983
1692124042.905,-0.149,0.115,0.982
1692124042.905,-0.153,0.117,0.986
1692124042.905,-0.152,0.115,0.983
1692124042.965,-0.149,0.117,0.986
1692124042.965,-0.153,0.115,0.987
1692124042.965,-0.150,0.117,0.985
1692124043.025,-0.150,0.116,0.980
1692124043.025,-0.155,0.111,0.986
1692124043.025,-0.153,0.112,0.984
1692124043.088,-0.153,0.114,0.987
1692124043.088,-0.155,0.112,0.987
1692124043.088,-0.152,0.113,0.987
1692124043.134,-0.150,0.116,0.984
1692124043.134,-0.151,0.109,0.984
1692124043.134,-0.149,0.109,0.984
1692124043.205,-0.146,0.107,0.984
1692124043.205,-0.145,0.114,0.984
1692124043.205,-0.146,0.114,0.982
1692124043.250,-0.144,0.112,0.984
1692124043.250,-0.145,0.113,0.986
1692124043.250,-0.148,0.109,0.987
1692124043.310,-0.151,0.108,0.989
1692124043.310,-0.152,0.109,0.984
1692124043.310,-0.151,0.108,0.985
1692124043.371,-0.150,0.106,0.987
1692124043.371,-0.149,0.110,0.984
1692124043.371,-0.146,0.110,0.984
1692124043.416,-0.148,0.110,0.987
1692124043.416,-0.148,0.113,0.990
1692124043.416,-0.150,0.105,0.985
1692124043.475,-0.151,0.107,0.987
1692124043.475,-0.151,0.105,0.984
1692124043.475,-0.150,0.107,0.988
1692124043.535,-0.150,0.105,0.984
1692124043.535,-0.148,0.110,0.985
1692124043.535,-0.148,0.109,0.988
1692124043.595,-0.147,0.111,0.990
1692124043.595,-0.147,0.112,0.986
1692124043.595,-0.149,0.111,0.983
1692124043.655,-0.149,0.109,0.983
1692124043.655,-0.155,0.108,0.984
1692124043.655,-0.157,0.114,0.982
1692124043.717,-0.154,0.110,0.983
1692124043.717,-0.152,0.111,0.983
1692124043.717,-0.150,0.107,0.986
1692124043.760,-0.149,0.112,0.986
1692124043.760,-0.149,0.115,0.988
1692124043.760,-0.154,0.113,0.986
1692124043.820,-0.151,0.110,0.980
1692124043.820,-0.150,0.111,0.985
1692124043.820,-0.149,0.114,0.988
1692124043.865,-0.155,0.110,0.986
1692124043.865,-0.155,0.111,0.986
1692124043.865,-0.153,0.108,0.983
1692124043.931,-0.151,0.108,0.982
1692124043.931,-0.152,0.110,0.983
1692124043.931,-0.151,0.112,0.987
1692124043.985,-0.146,0.112,0.983
1692124043.985,-0.146,0.112,0.982
1692124043.985,-0.146,0.114,0.982
1692124044.045,-0.144,0.117,0.984
1692124044.045,-0.137,0.119,0.984
1692124044.045,-0.131,0.119,0.985
1692124044.105,-0.127,0.123,0.995
1692124044.105,-0.131,0.121,0.990
1692124044.105,-0.140,0.116,0.987
1692124044.150,-0.149,0.113,0.979
1692124044.150,-0.153,0.115,0.978
1692124044.150,-0.158,0.108,0.978
1692124044.242,-0.165,0.111,0.980
1692124044.242,-0.165,0.110,0.983
1692124044.242,-0.162,0.115,0.984
1692124044.270,-0.163,0.115,0.986
1692124044.270,-0.160,0.114,0.983
1692124044.270,-0.164,0.115,0.987
1692124044.330,-0.162,0.119,0.978
1692124044.330,-0.161,0.115,0.980
1692124044.330,-0.156,0.117,0.984
1692124044.375,-0.157,0.121,0.988
1692124044.375,-0.150,0.120,0.984
1692124044.375,-0.153,0.119,0.988
1692124044.435,-0.158,0.117,0.987
1692124044.435,-0.166,0.115,0.986
1692124044.435,-0.180,0.108,0.982
1692124044.497,-0.187,0.108,0.974
1692124044.497,-0.194,0.109,0.969
1692124044.497,-0.201,0.105,0.971
1692124044.555,-0.207,0.106,0.973
1692124044.555,-0.206,0.105,0.973
1692124044.555,-0.200,0.106,0.977
1692124044.600,-0.196,0.109,0.978
1692124044.600,-0.188,0.109,0.973
1692124044.600,-0.184,0.112,0.976
1692124044.660,-0.178,0.116,0.982
1692124044.660,-0.178,0.118,0.983
1692124044.660,-0.175,0.116,0.982
1692124044.724,-0.167,0.113,0.981
1692124044.724,-0.166,0.121,0.982
1692124044.724,-0.166,0.119,0.983
1692124044.780,-0.169,0.117,0.981
1692124044.780,-0.175,0.109,0.979
1692124044.780,-0.182,0.112,0.978
1692124044.840,-0.186,0.112,0.977
1692124044.840,-0.188,0.113,0.983
1692124044.840,-0.187,0.121,0.978
1692124044.885,-0.188,0.115,0.980
1692124044.885,-0.189,0.115,0.979
1692124044.885,-0.188,0.112,0.978
1692124044.945,-0.189,0.112,0.977
1692124044.945,-0.188,0.113,0.977
1692124044.945,-0.183,0.114,0.975
1692124045.008,-0.184,0.117,0.979
1692124045.008,-0.182,0.114,0.978
1692124045.008,-0.182,0.115,0.980
1692124045.069,-0.183,0.117,0.979
1692124045.069,-0.183,0.116,0.980
1692124045.069,-0.186,0.109,0.970
1692124045.110,-0.191,0.111,0.977
