timestamps,X,Y,Z
1692140810.979,3.208,-4.329,-40.330
1692140810.979,1.069,-2.953,-35.141
1692140810.979,-0.568,-1.817,-30.483
1692140811.039,-1.593,-0.822,-25.870
1692140811.039,-2.108,-0.247,-21.630
1692140811.039,-2.729,0.277,-17.264
1692140811.099,-2.699,0.658,-13.398
1692140811.099,-2.774,0.830,-9.914
1692140811.099,-2.834,1.196,-6.931
1692140811.161,-3.193,1.608,-4.845
1692140811.161,-3.581,1.779,-3.477
1692140811.161,-3.985,1.989,-2.722
1692140811.207,-4.030,2.490,-2.153
1692140811.207,-3.828,3.028,-1.301
1692140811.207,-3.716,3.350,-0.613
1692140811.264,-3.963,3.888,0.015
1692140811.264,-4.135,3.985,0.179
1692140811.264,-4.351,4.224,0.254
1692140811.325,-4.030,4.000,0.135
1692140811.325,-3.948,3.708,-0.060
1692140811.325,-3.581,3.200,0.030
1692140811.369,-3.477,2.849,0.366
1692140811.369,-3.080,2.684,0.733
1692140811.369,-2.766,2.310,0.867
1692140811.444,-2.512,2.236,1.376
1692140811.444,-2.094,2.385,1.817
1692140811.444,-1.757,2.467,2.415
1692140811.489,-1.854,2.789,2.901
1692140811.489,-1.652,2.923,3.372
1692140811.489,-1.622,3.424,3.925
1692140811.538,-1.637,4.008,3.903
1692140811.538,-1.458,4.135,4.067
1692140811.538,-1.353,4.292,3.948
1692140811.595,-1.129,4.523,3.626
1692140811.595,-1.009,4.725,3.469
1692140811.595,-0.867,4.643,3.073
1692140811.654,-0.807,4.471,2.587
1692140811.654,-0.800,4.254,2.430
1692140811.654,-0.763,4.441,2.841
1692140811.719,-0.673,4.591,2.871
1692140811.719,-0.755,4.464,2.834
1692140811.719,-0.815,4.658,2.879
1692140811.774,-0.561,4.748,3.036
1692140811.774,-0.172,4.643,3.297
1692140811.774,-0.329,4.434,3.581
1692140811.834,-0.307,4.546,3.432
1692140811.834,-0.449,4.292,3.178
1692140811.834,-0.867,4.112,3.110
1692140811.879,-0.680,3.836,3.013
1692140811.879,-0.994,3.694,3.013
1692140811.879,-1.144,3.365,2.632
1692140811.939,-1.129,2.976,1.824
1692140811.939,-1.122,2.819,1.757
1692140811.939,-1.338,2.632,1.323
1692140812.015,-1.608,3.065,1.159
1692140812.015,-1.682,2.811,0.785
1692140812.015,-2.415,2.594,0.673
1692140812.047,-2.355,2.385,0.449
1692140812.047,-2.452,2.183,0.501
1692140812.047,-2.602,2.056,0.479
1692140812.104,-2.864,2.213,0.224
1692140812.104,-2.475,2.041,0.142
1692140812.104,-2.737,2.408,-0.045
1692140812.164,-2.662,2.744,-0.209
1692140812.164,-2.415,2.841,-0.479
1692140812.164,-2.221,2.707,-0.396
1692140812.224,-2.722,2.804,-0.150
1692140812.224,-3.021,2.789,0.030
1692140812.224,-3.006,2.931,0.022
1692140812.286,-2.759,2.789,-0.150
1692140812.286,-2.766,2.759,-0.411
1692140812.286,-2.460,2.751,-0.763
1692140812.331,-2.602,2.475,-0.673
1692140812.331,-2.378,2.408,-0.688
1692140812.331,-2.497,2.408,-0.591
1692140812.389,-2.370,2.236,-0.441
1692140812.389,-2.475,2.221,-0.344
1692140812.389,-2.662,2.183,-0.037
1692140812.449,-2.310,2.236,-0.217
1692140812.449,-2.161,2.505,-0.037
1692140812.449,-2.213,2.587,0.434
1692140812.509,-2.146,2.864,0.486
1692140812.509,-2.056,2.961,0.860
1692140812.509,-2.138,2.796,1.159
1692140812.570,-2.019,2.303,1.421
1692140812.570,-2.243,1.847,1.660
1692140812.570,-2.422,1.974,1.443
1692140812.617,-2.108,1.832,1.219
