timestamps,PPG1,PPG2,PPG3
1692218537.129,496.000,115132.000,74761.000
1692218537.129,495.000,115152.000,74798.000
1692218537.129,494.000,115173.000,74765.000
1692218537.129,496.000,115158.000,74779.000
1692218537.129,494.000,115149.000,74776.000
1692218537.129,496.000,115181.000,74773.000
1692218537.233,495.000,115157.000,74791.000
1692218537.233,495.000,115159.000,74795.000
1692218537.233,495.000,115195.000,74830.000
1692218537.233,496.000,115202.000,74807.000
1692218537.233,495.000,115208.000,74832.000
1692218537.233,494.000,115277.000,74811.000
1692218537.323,495.000,115272.000,74821.000
1692218537.323,494.000,115291.000,74820.000
1692218537.323,494.000,115220.000,74807.000
1692218537.323,494.000,115239.000,74779.000
1692218537.323,494.000,115241.000,74758.000
1692218537.323,495.000,115120.000,74752.000
1692218537.414,493.000,115126.000,74733.000
1692218537.414,495.000,115174.000,74722.000
1692218537.414,494.000,115102.000,74736.000
1692218537.414,494.000,115104.000,74727.000
1692218537.414,494.000,115106.000,74737.000
1692218537.414,493.000,115088.000,74731.000
1692218537.506,494.000,115053.000,74736.000
1692218537.506,494.000,115051.000,74705.000
1692218537.506,494.000,115088.000,74718.000
1692218537.506,494.000,115093.000,74741.000
1692218537.506,495.000,115096.000,74699.000
1692218537.506,494.000,115064.000,74702.000
1692218537.608,494.000,115037.000,74715.000
1692218537.608,494.000,115099.000,74702.000
1692218537.608,493.000,115068.000,74722.000
1692218537.608,494.000,115028.000,74720.000
1692218537.608,494.000,115090.000,74689.000
1692218537.608,494.000,115055.000,74687.000
1692218537.714,494.000,115069.000,74687.000
1692218537.714,494.000,115088.000,74715.000
1692218537.714,494.000,115050.000,74717.000
1692218537.714,494.000,115131.000,74695.000
1692218537.714,494.000,115113.000,74667.000
1692218537.714,494.000,115108.000,74729.000
1692218537.788,493.000,115093.000,74709.000
1692218537.788,495.000,115126.000,74746.000
1692218537.788,494.000,115098.000,74724.000
1692218537.788,494.000,115096.000,74738.000
1692218537.788,494.000,115128.000,74767.000
1692218537.788,493.000,115159.000,74734.000
1692218537.878,496.000,115155.000,74750.000
1692218537.878,494.000,115185.000,74764.000
1692218537.878,495.000,115208.000,74782.000
1692218537.878,496.000,115176.000,74762.000
1692218537.878,493.000,115236.000,74772.000
1692218537.878,494.000,115249.000,74757.000
1692218537.984,494.000,115215.000,74760.000
1692218537.984,493.000,115223.000,74732.000
1692218537.984,494.000,115113.000,74734.000
1692218537.984,493.000,115139.000,74703.000
1692218537.984,494.000,115126.000,74712.000
1692218537.984,494.000,115100.000,74687.000
1692218538.073,494.000,115099.000,74683.000
1692218538.073,495.000,114997.000,74706.000
1692218538.073,493.000,115051.000,74693.000
1692218538.073,493.000,115045.000,74679.000
1692218538.073,493.000,115014.000,74665.000
1692218538.073,494.000,114963.000,74675.000
1692218538.163,492.000,114974.000,74660.000
1692218538.163,494.000,114989.000,74663.000
1692218538.163,493.000,115020.000,74623.000
1692218538.163,495.000,114996.000,74647.000
1692218538.163,493.000,114942.000,74654.000
1692218538.163,494.000,114930.000,74695.000
1692218538.253,494.000,114971.000,74640.000
1692218538.253,494.000,114976.000,74673.000
1692218538.253,494.000,115007.000,74648.000
1692218538.253,494.000,114974.000,74671.000
1692218538.253,494.000,114968.000,74652.000
1692218538.253,495.000,114967.000,74680.000
1692218538.358,494.000,114992.000,74670.000
1692218538.358,494.000,114989.000,74686.000
1692218538.358,493.000,115039.000,74692.000
1692218538.358,493.000,115003.000,74687.000
1692218538.358,493.000,115017.000,74660.000
1692218538.358,493.000,115009.000,74667.000
1692218538.448,492.000,114983.000,74680.000
1692218538.448,493.000,115046.000,74698.000
1692218538.448,494.000,115074.000,74717.000
1692218538.448,494.000,115045.000,74704.000
1692218538.448,493.000,115081.000,74696.000
1692218538.448,493.000,115079.000,74709.000
1692218538.553,493.000,115092.000,74731.000
1692218538.553,493.000,115147.000,74723.000
1692218538.553,495.000,115122.000,74703.000
1692218538.553,496.000,115168.000,74728.000
1692218538.553,493.000,115089.000,74709.000
1692218538.553,495.000,115092.000,74741.000
1692218538.628,495.000,115170.000,74719.000
1692218538.628,494.000,115088.000,74679.000
1692218538.628,495.000,115054.000,74699.000
1692218538.628,494.000,114989.000,74659.000
1692218538.628,493.000,115002.000,74669.000
1692218538.628,495.000,114990.000,74663.000
1692218538.733,493.000,114976.000,74675.000
1692218538.733,494.000,114895.000,74672.000
1692218538.733,493.000,114963.000,74656.000
1692218538.733,494.000,114947.000,74643.000
1692218538.733,493.000,114915.000,74627.000
1692218538.733,495.000,114909.000,74624.000
1692218538.823,492.000,114905.000,74658.000
1692218538.823,494.000,114891.000,74640.000
1692218538.823,493.000,114866.000,74629.000
1692218538.823,493.000,114843.000,74656.000
1692218538.823,494.000,114891.000,74633.000
1692218538.823,493.000,114849.000,74621.000
1692218538.913,495.000,114867.000,74651.000
1692218538.913,492.000,114842.000,74634.000
1692218538.913,494.000,114853.000,74638.000
1692218538.913,493.000,114834.000,74665.000
1692218538.913,493.000,114842.000,74653.000
1692218538.913,494.000,114909.000,74615.000
1692218539.004,494.000,114866.000,74658.000
1692218539.004,493.000,114925.000,74646.000
1692218539.004,494.000,114860.000,74670.000
1692218539.004,493.000,114882.000,74652.000
1692218539.004,494.000,114900.000,74651.000
1692218539.004,494.000,114913.000,74670.000
1692218539.108,494.000,114910.000,74673.000
1692218539.108,493.000,114981.000,74675.000
1692218539.108,494.000,114947.000,74684.000
1692218539.108,493.000,114999.000,74692.000
1692218539.108,494.000,114958.000,74695.000
1692218539.108,495.000,114968.000,74698.000
1692218539.198,494.000,115028.000,74697.000
1692218539.198,493.000,115073.000,74687.000
1692218539.198,493.000,115025.000,74721.000
1692218539.198,494.000,115048.000,74703.000
1692218539.198,494.000,115061.000,74722.000
1692218539.198,493.000,115021.000,74728.000
1692218539.289,494.000,115056.000,74678.000
1692218539.289,494.000,115044.000,74666.000
1692218539.289,494.000,114964.000,74678.000
1692218539.289,495.000,114962.000,74673.000
1692218539.289,494.000,114943.000,74663.000
1692218539.289,495.000,114873.000,74656.000
1692218539.381,494.000,114862.000,74647.000
1692218539.381,495.000,114858.000,74637.000
1692218539.381,495.000,114822.000,74634.000
1692218539.381,495.000,114860.000,74632.000
1692218539.381,495.000,114828.000,74636.000
1692218539.381,493.000,114820.000,74634.000
1692218539.483,493.000,114783.000,74646.000
1692218539.483,493.000,114845.000,74611.000
1692218539.483,493.000,114819.000,74627.000
1692218539.483,493.000,114812.000,74646.000
1692218539.483,493.000,114783.000,74673.000
1692218539.483,495.000,114796.000,74658.000
1692218539.573,495.000,114786.000,74631.000
1692218539.573,493.000,114798.000,74637.000
1692218539.573,493.000,114826.000,74626.000
1692218539.573,495.000,114825.000,74635.000
1692218539.573,493.000,114806.000,74650.000
1692218539.573,492.000,114849.000,74649.000
1692218539.663,493.000,114798.000,74665.000
1692218539.663,494.000,114863.000,74634.000
