timestamps,TP9,AF7,AF8,TP10,Right AUX
1692218537.097,7.324,-16.602,-28.809,-3.906,-222.656
1692218537.101,-17.578,-20.508,-24.902,-36.621,-157.715
1692218537.105,-7.324,-21.973,-25.391,-20.996,-82.520
1692218537.109,17.090,-15.625,-26.855,22.461,-53.711
1692218537.113,20.020,-14.160,-28.320,18.066,-79.102
1692218537.117,0.977,-15.625,-26.855,-9.277,97.168
1692218537.121,-19.531,-18.066,-24.414,-33.691,80.078
1692218537.124,-9.277,-18.555,-27.832,-17.578,-168.945
1692218537.128,19.043,-14.160,-31.250,16.602,-156.738
1692218537.132,28.809,-17.090,-28.320,23.926,85.449
1692218537.136,-0.488,-19.531,-26.855,-5.859,67.383
1692218537.140,-35.645,-15.137,-27.832,-38.574,-178.711
1692218537.156,-26.855,-17.090,-21.973,-18.066,-139.648
1692218537.160,-1.953,-19.043,-23.926,34.180,258.789
1692218537.164,4.395,-11.719,-23.926,42.480,302.734
1692218537.168,-6.348,-10.254,-22.461,6.836,-123.535
1692218537.172,-28.320,-14.160,-22.461,-27.832,-143.066
1692218537.176,-29.785,-17.578,-25.879,-20.020,81.543
1692218537.180,-1.953,-22.949,-31.250,25.879,88.867
1692218537.183,18.066,-19.531,-30.762,45.898,-87.402
1692218537.187,0.977,-15.137,-28.809,6.836,-64.941
1692218537.191,-28.320,-19.043,-24.902,-26.855,128.906
1692218537.195,-30.762,-22.461,-31.250,-26.367,-48.340
1692218537.199,-10.254,-27.832,-32.227,-5.859,-220.215
1692218537.202,1.465,-29.297,-26.367,15.625,-70.801
1692218537.206,-8.301,-24.414,-29.785,-4.395,-27.344
1692218537.210,-41.504,-27.344,-31.250,-42.969,-96.191
1692218537.214,-55.664,-26.855,-29.785,-59.082,-166.992
1692218537.218,-35.156,-22.949,-30.762,-29.785,-60.059
1692218537.222,-12.207,-25.879,-30.273,6.348,153.320
1692218537.226,-20.996,-27.832,-30.762,-14.160,139.648
1692218537.229,-48.340,-25.391,-38.086,-59.570,-61.523
1692218537.233,-47.852,-25.879,-43.457,-64.453,56.641
1692218537.237,-21.973,-26.367,-42.480,-18.555,236.328
1692218537.241,-1.953,-24.902,-32.227,13.184,-60.547
1692218537.245,-21.973,-26.367,-22.461,-12.695,-116.211
1692218537.246,-44.922,-25.391,-19.531,-50.293,-95.215
1692218537.250,-47.363,-18.555,-18.555,-48.340,-57.617
1692218537.254,-36.133,-15.625,-20.508,-17.578,-87.402
1692218537.258,-9.277,-25.391,-16.602,11.719,-139.648
1692218537.262,-5.859,-24.902,-15.137,8.789,103.516
1692218537.266,-34.668,-16.602,-26.855,-30.762,104.492
1692218537.270,-53.223,-18.066,-33.203,-50.293,-88.379
1692218537.273,-37.109,-20.508,-31.250,-21.973,-103.516
1692218537.277,-10.742,-21.484,-28.809,21.973,278.320
1692218537.281,-14.648,-22.461,-26.855,15.625,250.000
1692218537.285,-25.391,-19.043,-25.879,-15.625,-205.566
1692218537.289,-28.320,-15.137,-29.785,-32.715,-165.039
1692218537.291,-20.508,-16.113,-31.250,-17.090,-120.117
1692218537.295,-2.441,-16.602,-30.762,18.066,-147.461
1692218537.299,2.441,-13.672,-27.344,20.996,-84.473
1692218537.303,-18.066,-17.578,-29.297,-16.113,-71.289
1692218537.307,-46.387,-27.344,-33.691,-51.270,-87.402
1692218537.311,-47.852,-28.320,-31.250,-33.203,18.066
1692218537.315,-20.996,-25.879,-30.762,2.930,32.227
1692218537.318,-15.625,-33.691,-30.273,-1.953,255.859
1692218537.322,-37.598,-34.180,-31.250,-32.715,430.664
1692218537.326,-53.223,-27.832,-30.273,-61.035,-30.762
1692218537.330,-52.246,-28.809,-30.273,-58.594,-209.961
1692218537.334,-32.227,-27.832,-32.227,-25.391,-95.703
1692218537.336,-19.531,-28.320,-32.227,-17.090,-108.398
1692218537.340,-34.668,-27.344,-28.809,-41.016,-106.934
1692218537.344,-54.688,-29.785,-30.273,-68.359,-146.484
1692218537.348,-55.176,-31.250,-36.621,-62.500,-50.781
1692218537.352,-34.180,-28.809,-32.715,-25.391,-44.434
1692218537.356,-18.066,-29.297,-31.250,-5.859,-127.930
1692218537.360,-29.785,-27.344,-31.738,-31.738,-25.879
1692218537.363,-50.781,-22.949,-25.879,-62.988,201.660
1692218537.367,-50.781,-17.090,-28.320,-50.781,16.602
1692218537.371,-31.738,-22.949,-31.250,-20.996,-206.543
1692218537.375,-17.578,-31.738,-31.250,5.371,68.359
1692218537.379,-23.926,-33.203,-30.762,-3.906,64.941
1692218537.381,-44.922,-32.227,-25.879,-52.246,-158.691
1692218537.385,-51.758,-31.738,-24.902,-62.988,-208.008
