timestamps,TP9,AF7,AF8,TP10,Right AUX
1685723256.186,-31.738,-5.859,-28.320,-69.336,-143.555
1685723256.190,-19.043,-20.996,-28.809,-49.805,-66.895
1685723256.194,-15.137,-41.016,-20.020,-20.020,-80.078
1685723256.198,-11.230,-25.391,-19.043,-15.137,-33.203
1685723256.202,-6.836,-20.996,-19.531,-12.207,-36.621
1685723256.206,-12.695,-22.461,-20.020,-8.301,275.391
1685723256.210,-17.090,-12.695,-31.738,-20.508,408.691
1685723256.213,-9.277,-28.809,-30.273,-6.836,-56.152
1685723256.217,-4.883,-48.828,-26.367,5.859,-102.051
1685723256.221,-7.812,-23.438,-52.734,-2.930,150.879
1685723256.225,-23.926,-6.836,-50.293,-17.090,17.578
1685723256.229,-39.551,-25.391,-29.785,-38.086,-205.566
1685723256.232,-10.742,-20.996,-10.742,-26.855,-38.086
1685723256.236,-21.484,-20.996,-25.391,-30.273,74.219
1685723256.240,-40.039,-26.855,-47.363,-43.457,25.391
1685723256.243,-38.574,-11.230,-31.250,-49.316,-104.980
1685723256.247,-18.555,-0.488,-23.926,-54.199,-70.312
1685723256.251,-18.555,-2.930,-51.270,-55.664,-37.598
1685723256.255,-23.926,-18.555,-76.172,-59.082,-104.004
1685723256.259,-18.555,-14.160,-72.754,-61.035,-96.191
1685723256.261,-20.020,4.395,-39.551,-71.289,50.781
1685723256.265,-28.320,-3.418,-27.344,-79.590,302.246
1685723256.269,-13.184,-14.160,-32.227,-41.016,49.316
1685723256.273,-5.371,-9.766,-51.270,-16.113,-108.887
1685723256.277,-8.789,0.488,-48.340,-17.578,46.387
1685723256.281,-0.977,2.441,-26.367,-24.414,33.691
1685723256.285,-27.832,-19.043,-34.668,-49.316,-85.938
1685723256.288,-41.016,-28.809,-41.016,-59.082,-135.742
1685723256.292,-23.926,-37.598,-35.645,-40.527,71.777
1685723256.296,-9.766,-23.438,-33.203,-14.648,65.918
1685723256.300,-11.230,-9.277,-42.969,-23.926,-162.598
1685723256.304,-6.348,-15.625,-43.457,-37.109,-77.148
1685723256.307,-2.441,-5.859,-17.090,-40.039,-28.809
1685723256.311,-18.066,-15.625,-11.719,-37.109,-20.508
1685723256.315,-20.508,-29.297,-29.297,-40.039,-90.820
1685723256.319,-23.926,-34.668,-45.410,-47.363,-93.750
1685723256.323,-24.902,-41.504,-52.246,-37.109,61.035
1685723256.327,-21.484,-29.785,-35.156,-35.645,42.480
1685723256.331,-23.926,-17.578,-35.645,-35.645,-46.875
1685723256.334,-24.902,-20.020,-48.828,-24.902,23.438
1685723256.338,-24.414,-10.742,-56.152,-21.973,237.793
1685723256.342,-12.207,3.906,-31.250,-10.254,-22.461
1685723256.346,-24.414,-12.207,-13.672,-12.207,-182.129
1685723256.350,-43.457,-32.715,-21.973,-38.086,-97.168
1685723256.351,-52.734,-39.062,-34.180,-42.969,-102.051
1685723256.355,-48.340,-40.527,-43.457,-24.414,-148.926
1685723256.359,-29.297,-30.273,-36.621,-12.207,-141.113
1685723256.363,-17.090,-17.090,-26.367,-4.395,54.688
1685723256.367,-18.066,-15.137,-21.973,6.348,55.176
1685723256.371,-21.484,-20.996,-30.273,-5.859,-31.250
1685723256.375,-19.531,-19.531,-30.273,-19.531,63.965
1685723256.378,-11.230,-16.113,-13.184,-6.836,328.125
1685723256.382,-4.395,-20.996,-5.371,2.441,406.738
1685723256.386,-0.488,-25.391,-9.766,-2.441,-62.500
1685723256.390,-7.812,-24.902,-30.762,-13.184,-245.605
1685723256.394,-26.367,-26.855,-46.875,-28.809,-157.227
1685723256.397,-33.203,-26.855,-40.527,-27.832,-184.570
1685723256.401,-29.297,-36.621,-28.320,-19.043,-154.297
1685723256.405,-18.555,-32.227,-33.203,-20.020,-120.605
1685723256.409,-14.648,-14.160,-28.809,-15.137,-94.727
1685723256.413,-17.578,-18.555,-14.648,-16.602,-63.477
1685723256.417,-25.391,-28.320,-25.391,-27.832,-71.289
1685723256.421,-26.367,-31.738,-21.973,-26.367,64.941
1685723256.424,-21.484,-27.344,-13.672,-8.789,430.176
1685723256.428,-19.043,-16.602,-23.926,-9.766,119.141
1685723256.432,-16.602,-15.137,-56.152,-28.320,-184.570
1685723256.436,-20.508,-14.648,-42.480,-41.992,-50.781
1685723256.440,-24.414,-10.254,-15.625,-46.875,-49.805
1685723256.441,-20.996,-7.812,-24.902,-37.109,-96.191
1685723256.445,-15.137,-0.977,-27.832,-28.320,-90.332
1685723256.449,-19.043,2.441,-26.367,-33.203,13.184
1685723256.453,-20.996,-3.418,-20.996,-34.668,87.891
1685723256.457,-24.414,-24.414,-29.297,-36.133,-19.043
1685723256.461,-23.926,-12.207,-45.898,-31.738,-68.359
1685723256.465,-18.066,0.000,-42.969,-18.555,188.477
1685723256.468,-25.391,-16.113,-38.086,-18.555,196.289
1685723256.472,-22.461,-23.926,-32.715,-24.902,-64.941
1685723256.476,-17.578,-15.625,-22.461,-22.949,-54.199
1685723256.480,-16.113,-18.066,-23.438,-18.066,179.688
1685723256.484,-12.695,-34.180,-22.461,-23.438,134.277
1685723256.487,-28.320,-41.504,-24.902,-33.203,-196.777
1685723256.491,-27.344,-25.391,-36.621,-31.250,-208.008
1685723256.495,-19.043,-5.859,-33.691,-28.809,-123.535
1685723256.499,-11.719,-8.789,-21.484,-28.320,-170.410
1685723256.503,-4.883,-13.672,1.465,-18.555,-178.223
1685723256.507,-8.789,-18.555,-3.418,-26.855,-39.062
1685723256.511,-20.020,-22.949,-21.484,-35.645,45.410
1685723256.514,-24.414,-21.484,-41.504,-31.738,-57.617
1685723256.518,-21.484,-27.344,-32.715,-34.668,-126.465
1685723256.522,-18.066,-37.598,-11.719,-31.250,-43.945
1685723256.526,-19.531,-29.297,-42.969,-23.438,63.965
1685723256.530,-19.531,-23.438,-51.270,-21.973,5.859
1685723256.532,-13.184,-17.578,-21.973,-12.695,-96.191
1685723256.536,-19.043,-20.508,-8.789,-11.230,15.625
1685723256.540,-19.531,-30.762,-17.578,-18.066,66.895
1685723256.544,-14.648,-35.156,-24.414,-9.277,-55.664
1685723256.548,-8.789,-30.762,-20.020,0.000,-76.660
1685723256.552,-1.465,-14.648,-29.297,-2.441,272.949
1685723256.556,-10.742,-6.836,-39.062,-3.418,362.305
1685723256.559,-1.465,-6.836,-24.902,-8.789,-97.168
1685723256.563,19.043,4.395,-10.742,18.555,-183.105
1685723256.567,10.742,-8.301,-23.926,25.391,-19.043
1685723256.571,-17.090,-37.109,-35.645,-23.438,-152.832
1685723256.575,-27.344,-49.316,-34.668,-21.973,-203.125
1685723256.579,-13.672,-41.016,-39.551,-4.395,-120.117
1685723256.583,-13.184,-18.066,-45.410,-14.648,-47.852
1685723256.587,-27.344,-11.719,-47.852,-29.785,-12.695
1685723256.591,-17.090,-5.371,-31.250,-34.180,-138.672
1685723256.595,-16.602,-8.789,-28.320,-27.832,-36.133
1685723256.599,-26.367,-26.855,-39.062,-29.785,280.273
