timestamps,PPG1,PPG2,PPG3
1692044838.498,486.000,121938.000,77919.000
1692044838.498,485.000,121901.000,77923.000
1692044838.498,486.000,121861.000,77932.000
1692044838.498,485.000,121868.000,77914.000
1692044838.498,485.000,121811.000,77915.000
1692044838.498,486.000,121784.000,77897.000
1692044838.587,484.000,121817.000,77905.000
1692044838.587,484.000,121796.000,77866.000
1692044838.587,485.000,121791.000,77891.000
1692044838.587,484.000,121812.000,77885.000
1692044838.587,485.000,121793.000,77864.000
1692044838.587,484.000,121795.000,77869.000
1692044838.677,484.000,121808.000,77864.000
1692044838.677,485.000,121778.000,77873.000
1692044838.677,485.000,121792.000,77856.000
1692044838.677,484.000,121788.000,77859.000
1692044838.677,484.000,121831.000,77863.000
1692044838.677,485.000,121840.000,77851.000
1692044838.782,484.000,121852.000,77854.000
1692044838.782,485.000,121821.000,77826.000
1692044838.782,485.000,121820.000,77842.000
1692044838.782,485.000,121797.000,77872.000
1692044838.782,485.000,121861.000,77858.000
1692044838.782,486.000,121873.000,77866.000
1692044838.872,483.000,121886.000,77843.000
1692044838.872,486.000,121822.000,77868.000
1692044838.872,486.000,121833.000,77865.000
1692044838.872,485.000,121849.000,77864.000
1692044838.872,486.000,121878.000,77831.000
1692044838.872,486.000,121865.000,77866.000
1692044838.961,486.000,121970.000,77875.000
1692044838.961,486.000,121894.000,77880.000
1692044838.961,486.000,121903.000,77886.000
1692044838.961,486.000,122025.000,77901.000
1692044838.961,485.000,121967.000,77873.000
1692044838.961,485.000,121989.000,77883.000
1692044839.053,486.000,121994.000,77903.000
1692044839.053,486.000,122048.000,77898.000
1692044839.053,486.000,122056.000,77901.000
1692044839.053,486.000,122074.000,77885.000
1692044839.053,485.000,122096.000,77876.000
1692044839.053,485.000,122072.000,77886.000
1692044839.157,485.000,122077.000,77884.000
1692044839.157,486.000,121998.000,77888.000
1692044839.157,487.000,121983.000,77904.000
1692044839.157,486.000,122031.000,77870.000
1692044839.157,485.000,122034.000,77864.000
1692044839.157,485.000,122010.000,77867.000
1692044839.247,485.000,121976.000,77901.000
1692044839.247,486.000,121921.000,77874.000
1692044839.247,486.000,121944.000,77874.000
1692044839.247,486.000,121941.000,77888.000
1692044839.247,486.000,121885.000,77863.000
1692044839.247,486.000,121916.000,77854.000
1692044839.338,486.000,121895.000,77840.000
1692044839.338,485.000,121929.000,77874.000
1692044839.338,486.000,121958.000,77889.000
1692044839.338,484.000,121955.000,77868.000
1692044839.338,485.000,121928.000,77861.000
1692044839.338,485.000,121900.000,77856.000
1692044839.427,485.000,121980.000,77835.000
1692044839.427,485.000,121938.000,77836.000
1692044839.427,485.000,121898.000,77874.000
1692044839.427,484.000,122006.000,77873.000
1692044839.427,470.000,121990.000,77809.000
1692044839.427,470.000,122000.000,77863.000
1692044839.531,469.000,121999.000,77843.000
1692044839.531,469.000,121983.000,77859.000
1692044839.531,469.000,122054.000,77855.000
1692044839.531,468.000,122030.000,77819.000
1692044839.531,469.000,122065.000,77841.000
1692044839.531,471.000,122045.000,77882.000
1692044839.621,469.000,122089.000,77845.000
1692044839.621,468.000,122078.000,77879.000
1692044839.621,469.000,122047.000,77882.000
1692044839.621,469.000,122145.000,77857.000
1692044839.621,468.000,122150.000,77896.000
1692044839.621,469.000,122117.000,77886.000
1692044839.711,470.000,122170.000,77885.000
1692044839.711,469.000,122183.000,77911.000
1692044839.711,469.000,122151.000,77890.000
1692044839.711,470.000,122139.000,77894.000
1692044839.711,469.000,122218.000,77920.000
1692044839.711,469.000,122149.000,77909.000
1692044839.802,470.000,122163.000,77846.000
1692044839.802,470.000,122111.000,77884.000
1692044839.802,470.000,122084.000,77882.000
1692044839.802,469.000,122059.000,77852.000
1692044839.802,468.000,122027.000,77884.000
1692044839.802,470.000,122044.000,77839.000
1692044839.906,470.000,121944.000,77860.000
1692044839.906,468.000,122016.000,77833.000
1692044839.906,468.000,121998.000,77840.000
