timestamps,TP9,AF7,AF8,TP10,Right AUX
1687267703.385,-26.855,-163.086,-60.059,-20.020,-28.320
1687267703.389,-34.668,-167.480,-72.754,-26.855,-144.531
1687267703.393,-39.551,-166.504,-73.242,-31.250,-201.172
1687267703.397,-40.527,-159.668,-58.594,-28.809,-149.902
1687267703.401,-33.691,-160.645,-54.688,-24.414,-72.266
1687267703.405,-29.785,-162.109,-60.059,-29.785,-36.621
1687267703.409,-32.715,-153.320,-65.918,-32.715,-35.645
1687267703.412,-43.945,-150.391,-62.500,-41.992,-35.645
1687267703.416,-40.527,-145.996,-49.805,-41.504,191.895
1687267703.420,-24.902,-125.000,-43.457,-34.668,102.051
1687267703.424,-26.367,-116.699,-38.086,-40.039,-167.969
1687267703.428,-28.320,-120.117,-34.180,-46.875,-20.020
1687267703.430,-41.992,-116.699,-34.668,-42.969,263.672
1687267703.434,-53.223,-109.863,-34.668,-44.922,-36.621
1687267703.438,-32.715,-106.445,-33.203,-47.363,-204.102
1687267703.442,-27.344,-104.980,-32.715,-40.527,-86.914
1687267703.446,-37.109,-106.934,-33.691,-41.016,-138.672
1687267703.450,-37.109,-100.098,-32.227,-29.785,-162.109
1687267703.454,-32.227,-100.098,-34.668,-21.973,-85.938
1687267703.457,-17.578,-111.328,-35.156,-21.973,116.211
1687267703.461,-20.996,-107.422,-40.527,-21.973,153.320
1687267703.465,-39.551,-101.562,-49.805,-30.762,-122.559
1687267703.469,-39.062,-100.098,-63.477,-25.879,-188.477
1687267703.473,-37.598,-94.727,-59.082,-15.137,-135.254
1687267703.490,-24.902,-104.492,-48.340,-15.137,-114.746
1687267703.494,-20.996,-117.188,-50.293,-21.484,-114.746
1687267703.498,-23.926,-107.910,-45.410,-15.625,-117.676
1687267703.502,-24.414,-97.168,-39.062,-13.672,28.320
1687267703.506,-23.438,-97.168,-37.109,-17.090,-63.965
1687267703.510,-15.625,-92.285,-33.203,-9.277,-79.590
1687267703.514,-11.719,-80.566,-31.250,-7.812,102.051
1687267703.517,-16.113,-70.801,-24.414,-12.207,284.180
1687267703.521,-36.133,-62.988,-35.645,-38.574,68.848
1687267703.525,-41.016,-62.500,-49.316,-46.875,-174.805
1687267703.529,-18.555,-64.453,-45.410,-25.879,-17.090
1687267703.533,-17.090,-74.219,-46.875,-37.109,108.887
1687267703.520,-28.320,-82.520,-53.223,-44.434,-106.445
1687267703.524,-34.668,-76.660,-46.875,-35.645,-209.473
1687267703.528,-33.691,-72.754,-41.992,-41.016,-156.250
1687267703.532,-25.391,-76.172,-38.574,-43.945,-31.738
1687267703.536,-20.508,-75.684,-37.109,-43.945,-74.219
1687267703.540,-20.020,-73.242,-39.062,-43.945,-114.746
1687267703.544,-36.621,-78.613,-41.504,-43.945,129.883
1687267703.547,-45.410,-81.055,-42.969,-43.945,64.941
1687267703.551,-36.621,-81.055,-37.109,-41.016,-177.734
1687267703.555,-18.066,-90.332,-23.438,-25.391,-165.039
1687267703.559,-22.461,-94.238,-21.484,-14.160,95.215
1687267703.563,-24.414,-99.121,-25.391,-16.602,126.465
1687267703.565,-17.578,-103.027,-28.320,-22.461,-143.555
1687267703.569,-13.184,-104.004,-34.668,-34.668,-82.031
1687267703.573,-21.484,-107.910,-39.551,-45.410,46.387
1687267703.577,-31.250,-90.820,-39.551,-49.805,-30.762
1687267703.581,-40.039,-73.730,-40.527,-48.340,-129.395
1687267703.585,-48.340,-76.660,-47.852,-53.711,-31.250
1687267703.589,-41.992,-76.660,-44.434,-53.223,272.461
1687267703.592,-28.320,-74.219,-43.945,-45.898,172.852
1687267703.596,-23.438,-72.754,-44.922,-42.969,-125.488
1687267703.600,-34.668,-81.055,-39.062,-38.086,-68.848
1687267703.604,-43.945,-80.078,-38.086,-27.832,351.074
1687267703.608,-48.828,-63.477,-40.039,-33.203,172.363
1687267703.625,-34.180,-72.754,-36.133,-36.133,-152.344
1687267703.629,-20.020,-92.773,-26.855,-30.273,-89.844
1687267703.633,-39.062,-90.332,-30.273,-35.645,-102.539
1687267703.637,-49.805,-83.496,-28.809,-43.457,-166.992
1687267703.641,-53.711,-81.543,-26.855,-48.828,-151.855
1687267703.645,-50.293,-79.102,-39.062,-52.734,-54.688
1687267703.649,-37.598,-69.336,-34.668,-47.852,6.348
1687267703.652,-31.738,-63.477,-25.879,-37.109,-14.648
1687267703.656,-33.691,-75.195,-31.250,-37.109,-60.547
1687267703.660,-37.598,-84.961,-34.180,-22.949,136.230
1687267703.664,-30.273,-86.426,-39.062,-28.809,226.562
1687267703.668,-27.344,-85.449,-40.039,-42.480,-125.977
1687267703.670,-26.367,-89.844,-35.156,-33.691,-187.988
1687267703.674,-33.691,-92.773,-34.180,-30.762,-3.906
1687267703.678,-37.598,-94.238,-40.527,-32.715,-79.590
1687267703.682,-28.809,-85.449,-41.016,-34.180,-190.918
1687267703.686,-19.531,-87.402,-37.109,-31.738,-127.930
1687267703.690,-31.738,-90.332,-30.273,-34.668,11.719
1687267703.694,-44.922,-83.008,-28.809,-42.969,-2.441
1687267703.697,-46.387,-84.961,-40.039,-44.434,-178.223
1687267703.701,-42.969,-93.750,-46.875,-38.574,-153.809
1687267703.705,-30.273,-99.609,-53.223,-35.156,199.707
1687267703.709,-29.297,-95.215,-57.617,-34.668,84.961
1687267703.713,-50.293,-86.426,-42.969,-36.133,-164.551
1687267703.729,-53.711,-87.891,-44.434,-37.109,-24.902
1687267703.733,-41.992,-96.191,-41.016,-22.949,235.840
1687267703.737,-37.598,-90.820,-32.227,-27.832,-15.625
1687267703.741,-31.250,-88.379,-41.016,-33.203,-190.918
1687267703.745,-34.668,-96.680,-37.109,-33.203,-103.516
1687267703.749,-42.969,-95.215,-39.062,-37.598,-95.703
1687267703.753,-41.016,-96.191,-49.805,-38.574,1.953
1687267703.756,-32.227,-99.609,-41.992,-38.574,-31.738
1687267703.760,-24.902,-101.074,-23.926,-29.297,86.914
1687267703.764,-47.363,-96.680,-25.391,-34.180,157.715
1687267703.768,-59.570,-80.566,-34.180,-42.969,-143.555
1687267703.772,-41.992,-76.660,-25.879,-36.133,-194.336
1687267703.761,-29.297,-77.148,-19.043,-38.574,-71.777
1687267703.765,-34.668,-69.824,-18.066,-41.016,-22.949
1687267703.769,-41.016,-61.035,-16.602,-35.645,-84.961
1687267703.773,-46.387,-54.199,-16.602,-31.250,-95.215
1687267703.777,-55.176,-47.363,-21.973,-27.832,55.176
1687267703.781,-41.016,-51.758,-25.391,-24.902,19.531
1687267703.785,-32.715,-63.965,-31.250,-27.344,-21.973
1687267703.788,-41.016,-69.824,-34.668,-40.039,-22.949
1687267703.792,-43.945,-73.730,-28.809,-41.992,-36.621
1687267703.796,-43.457,-72.754,-23.438,-39.062,-126.953
1687267703.800,-32.715,-69.336,-23.926,-38.574,-147.949
1687267703.804,-8.789,-71.289,-25.879,-27.344,-44.922
1687267703.805,-10.254,-83.008,-20.996,-22.461,306.152
1687267703.809,-32.715,-84.473,-26.367,-26.367,134.277
1687267703.813,-36.621,-84.961,-35.645,-35.156,-225.586
1687267703.817,-31.250,-91.797,-36.621,-33.691,-65.430
1687267703.821,-39.062,-87.891,-42.969,-34.180,-50.781
1687267703.825,-41.992,-83.984,-49.805,-39.062,-113.770
1687267703.829,-35.645,-86.426,-42.969,-38.574,-118.164
1687267703.832,-30.762,-80.566,-27.344,-33.203,88.867
1687267703.836,-21.973,-62.012,-26.855,-28.320,379.395
1687267703.840,-15.625,-30.762,-34.180,-34.668,11.719
1687267703.844,-19.043,-20.020,-30.273,-32.715,-164.551
1687267703.848,-28.809,-26.855,-23.438,-26.367,-50.781
1687267703.850,-34.180,-31.738,-26.367,-27.832,-156.250
1687267703.854,-24.414,-34.668,-28.320,-28.320,-204.102
1687267703.858,-12.207,-27.344,-31.250,-21.973,-114.258
1687267703.862,-14.648,-26.367,-41.016,-30.273,22.461
1687267703.866,-29.785,-28.320,-45.898,-35.645,-90.332
1687267703.870,-37.109,-26.367,-41.992,-39.551,-156.738
1687267703.874,-27.832,-22.461,-37.109,-38.574,11.230
1687267703.877,-29.785,-29.785,-42.480,-40.039,375.977
1687267703.881,-38.574,-32.227,-41.504,-52.734,258.789
1687267703.885,-35.156,-23.438,-37.598,-48.340,-180.176
1687267703.889,-31.738,-31.250,-35.156,-31.250,-39.551
1687267703.893,-24.902,-35.156,-33.203,-19.531,262.695
1687267703.895,-16.602,-28.809,-45.898,-33.203,-6.836
1687267703.899,-10.742,-32.227,-42.969,-36.133,-204.102
1687267703.903,-20.020,-32.227,-33.691,-31.250,-142.090
1687267703.907,-28.320,-30.762,-41.504,-31.738,-132.324
1687267703.911,-25.879,-37.598,-49.805,-31.250,-152.832
1687267703.915,-25.879,-37.109,-39.062,-26.367,-119.629
1687267703.919,-19.043,-41.016,-28.320,-18.555,180.176
1687267703.922,-25.879,-51.270,-37.598,-24.414,207.520
1687267703.926,-36.621,-56.152,-37.598,-28.320,-117.188
1687267703.930,-36.133,-49.316,-28.320,-20.508,-130.859
1687267703.934,-23.438,-44.922,-33.203,-8.789,33.203
1687267703.938,-9.277,-50.293,-35.645,-17.578,-58.105
1687267703.942,-16.602,-46.875,-35.156,-28.320,-230.957
1687267703.946,-21.973,-44.434,-44.922,-28.320,-163.086
1687267703.950,-25.391,-43.945,-41.992,-28.320,-76.660
1687267703.954,-27.832,-55.664,-39.062,-24.902,-99.121
1687267703.958,-28.809,-66.895,-41.992,-20.508,-145.020
1687267703.962,-35.645,-68.848,-36.621,-22.949,13.184
1687267703.966,-39.551,-72.754,-38.574,-27.344,289.062
1687267703.969,-44.922,-74.707,-43.457,-41.992,77.148
1687267703.973,-36.133,-78.613,-47.852,-43.457,-179.199
1687267703.977,-27.344,-74.219,-55.664,-36.621,-51.270
1687267703.981,-31.250,-61.523,-60.547,-36.133,236.328
1687267703.985,-39.551,-47.852,-62.500,-40.039,47.852
1687267703.986,-43.457,-46.875,-58.105,-43.945,-169.922
1687267703.990,-43.945,-54.199,-57.129,-41.992,-83.984
1687267703.994,-39.062,-58.594,-49.805,-39.062,-28.320
1687267703.998,-35.645,-63.477,-40.527,-37.109,-162.598
1687267704.002,-43.457,-67.383,-40.527,-36.133,-235.352
1687267704.006,-29.785,-62.500,-34.180,-23.926,18.066
1687267704.010,-15.137,-58.105,-32.715,-13.672,452.148
1687267704.013,-16.113,-53.223,-37.109,-27.344,166.504
1687267704.017,-3.906,-49.805,-29.785,-23.926,-172.363
1687267704.021,-15.625,-58.594,-34.180,-20.508,-105.957
1687267704.025,-31.250,-59.570,-37.598,-29.297,-176.270
1687267704.029,-21.973,-56.152,-30.273,-29.297,-233.887
1687267704.045,-16.602,-62.012,-33.203,-20.996,-169.434
1687267704.049,-21.973,-65.430,-39.551,-23.438,-51.758
1687267704.053,-37.598,-61.035,-37.598,-35.645,-81.543
1687267704.057,-45.898,-62.500,-34.668,-31.250,-185.547
1687267704.061,-36.621,-71.289,-39.062,-30.273,-122.070
1687267704.065,-22.461,-75.684,-32.227,-25.879,267.090
1687267704.069,-20.508,-68.848,-33.203,-25.879,247.559
1687267704.072,-30.273,-64.941,-36.621,-36.133,-56.641
1687267704.076,-40.527,-76.172,-27.832,-35.645,-77.637
1687267704.080,-34.180,-83.496,-34.668,-30.762,62.012
1687267704.084,-25.879,-80.566,-44.922,-32.227,-96.680
1687267704.088,-31.250,-84.961,-42.480,-27.832,-227.051
1687267704.090,-37.109,-90.820,-39.551,-19.043,-65.430
1687267704.094,-42.480,-81.543,-33.203,-22.949,7.324
1687267704.098,-38.086,-75.195,-37.598,-34.668,-143.066
1687267704.102,-21.484,-74.219,-40.527,-32.227,-188.965
1687267704.106,0.000,-74.707,-41.016,-21.484,-29.297
1687267704.110,-13.672,-82.520,-44.434,-14.160,40.527
1687267704.114,-28.809,-95.215,-44.922,-11.230,-78.613
1687267704.117,-45.898,-92.285,-47.852,-41.016,-151.367
1687267704.121,-55.176,-83.008,-43.457,-57.129,48.828
1687267704.125,-40.527,-80.078,-48.340,-44.434,267.090
1687267704.129,-56.152,-72.266,-54.199,-63.477,-36.621
1687267704.133,-70.312,-65.430,-57.617,-72.266,-164.062
1687267704.135,-66.406,-56.641,-57.129,-63.477,-61.523
1687267704.139,-63.477,-56.641,-59.082,-69.824,-81.543
1687267704.143,-62.012,-49.805,-57.129,-68.848,-119.629
1687267704.147,-61.523,-41.016,-59.570,-67.383,-103.027
1687267704.151,-68.848,-45.410,-63.477,-69.824,-55.664
1687267704.155,-71.777,-52.246,-66.895,-68.848,-54.199
1687267704.159,-63.965,-61.035,-68.848,-69.336,-62.012
1687267704.162,-56.152,-64.941,-57.617,-66.895,27.832
1687267704.166,-53.711,-66.895,-55.664,-61.035,310.547
1687267704.170,-66.895,-61.523,-65.918,-64.941,239.746
1687267704.174,-62.500,-55.176,-67.383,-71.289,-119.629
1687267704.178,-41.992,-48.828,-65.918,-64.453,-92.285
1687267704.180,-30.762,-45.410,-69.824,-53.223,103.516
1687267704.184,-41.992,-49.805,-78.125,-54.688,-85.938
