timestamps,TP9,AF7,AF8,TP10,Right AUX
1692123096.735,-22.461,-29.297,-43.457,-16.602,-112.793
1692123096.739,-21.973,-36.621,-34.180,-20.508,-64.453
1692123096.743,-22.461,-26.367,-29.297,-22.949,-141.113
1692123096.747,-32.715,-31.738,-29.785,-40.527,-166.504
1692123096.751,-41.016,-44.434,-39.062,-42.480,12.695
1692123096.755,-35.156,-45.898,-41.016,-41.504,169.434
1692123096.759,-31.250,-37.598,-38.086,-48.340,64.453
1692123096.762,-30.273,-26.855,-37.598,-43.457,-75.195
1692123096.766,-36.133,-36.133,-31.738,-34.180,6.348
1692123096.770,-25.391,-33.203,-30.273,-18.066,212.402
1692123096.774,-21.484,-23.438,-31.738,-16.113,-5.859
1692123096.778,-36.133,-35.645,-34.180,-29.297,-107.422
1692123096.781,-36.621,-48.340,-36.133,-47.852,-10.742
1692123096.785,-38.574,-35.156,-35.156,-54.199,-76.172
1692123096.789,-37.109,-28.320,-32.227,-31.250,-193.359
1692123096.793,-27.344,-37.109,-25.391,-17.578,-129.395
1692123096.797,-25.879,-32.715,-28.809,-19.531,-46.875
1692123096.801,-31.738,-33.203,-37.598,-19.531,-26.367
1692123096.805,-36.621,-38.574,-41.992,-22.949,-50.781
1692123096.808,-31.738,-34.668,-38.086,-24.414,-71.777
1692123096.812,-21.973,-33.691,-30.762,-20.996,-28.809
1692123096.816,-25.391,-32.227,-33.691,-27.344,-75.684
1692123096.820,-30.762,-26.367,-41.504,-35.645,-158.691
1692123096.824,-27.832,-24.902,-35.645,-35.156,-70.312
1692123096.811,-28.320,-22.461,-30.762,-24.902,224.609
1692123096.815,-27.344,-22.949,-41.992,-30.762,174.805
1692123096.819,-26.855,-37.109,-43.945,-39.062,-48.828
1692123096.823,-34.180,-48.828,-42.480,-39.062,18.555
1692123096.827,-34.668,-39.062,-41.016,-36.621,88.379
1692123096.831,-29.785,-36.133,-40.039,-35.645,-55.176
1692123096.835,-31.250,-35.645,-38.574,-27.832,1.953
1692123096.838,-29.785,-32.227,-32.715,-15.137,154.297
1692123096.842,-30.762,-34.180,-28.809,-22.949,87.891
1692123096.846,-37.598,-38.574,-33.691,-41.504,-114.258
1692123096.850,-29.297,-42.480,-29.785,-35.156,-216.797
1692123096.854,-17.090,-41.016,-30.273,-24.414,-3.906
1692123096.857,-27.344,-34.668,-45.410,-37.109,283.203
1692123096.861,-40.527,-25.879,-41.504,-44.922,-29.297
1692123096.865,-38.574,-18.066,-29.785,-37.109,-256.348
1692123096.869,-40.527,-34.668,-30.273,-41.016,-154.297
1692123096.873,-38.574,-47.363,-39.551,-41.016,-61.523
1692123096.877,-27.832,-44.922,-41.504,-22.949,1.953
1692123096.881,-27.832,-37.598,-34.180,-17.578,-39.551
1692123096.884,-27.832,-29.297,-35.645,-26.367,169.434
1692123096.888,-26.855,-40.039,-39.062,-31.738,254.395
1692123096.892,-21.484,-42.969,-37.598,-18.066,-126.953
1692123096.896,-14.648,-38.086,-30.762,-6.836,-126.465
1692123096.900,-9.766,-31.738,-30.273,-7.324,-81.543
1692123096.900,-21.973,-31.738,-35.156,-17.578,-163.574
1692123096.904,-36.133,-33.203,-34.180,-24.414,-148.438
1692123096.908,-26.855,-23.438,-28.809,-16.113,-73.730
1692123096.912,-16.113,-16.602,-29.785,-12.207,-35.645
1692123096.916,-15.137,-26.367,-32.227,-16.113,-54.199
1692123096.920,-17.090,-34.180,-29.785,-22.461,-62.988
1692123096.924,-22.949,-32.715,-31.250,-30.762,114.258
1692123096.927,-34.668,-26.855,-37.109,-26.367,570.801
1692123096.931,-31.738,-18.066,-37.598,-19.043,452.148
1692123096.935,-20.508,-17.578,-38.574,-27.832,-96.680
1692123096.939,-31.250,-27.832,-37.109,-43.457,-170.898
1692123096.943,-41.016,-37.109,-32.227,-43.945,-158.691
1692123096.947,-28.809,-40.039,-28.809,-30.762,-187.500
1692123096.951,-22.949,-36.133,-32.227,-25.391,-190.430
1692123096.955,-37.598,-36.621,-38.086,-30.273,-145.508
1692123096.959,-39.551,-42.480,-33.691,-38.574,-152.832
1692123096.963,-39.551,-39.551,-33.203,-41.016,-177.246
1692123096.967,-46.875,-31.250,-36.621,-41.992,-130.859
1692123096.971,-39.551,-35.156,-34.668,-29.297,239.746
1692123096.974,-34.180,-32.227,-36.133,-29.297,279.785
1692123096.978,-39.062,-26.855,-37.598,-42.969,-120.117
1692123096.982,-39.062,-28.320,-35.156,-40.527,-96.680
1692123096.986,-27.344,-10.742,-29.785,-25.391,-23.438
1692123096.990,-25.391,-14.160,-27.832,-18.066,-119.629
1692123096.990,-24.414,-34.668,-33.691,-22.461,-193.359
1692123096.994,-22.461,-36.621,-36.621,-19.531,-111.328
1692123096.998,-31.738,-34.180,-41.504,-26.367,-66.895
