timestamps,PPG1,PPG2,PPG3
1687267169.489,638.000,116172.000,73919.000
1687267169.489,638.000,116123.000,73911.000
1687267169.489,637.000,116147.000,73905.000
1687267169.489,640.000,116140.000,73942.000
1687267169.489,639.000,116158.000,73932.000
1687267169.489,639.000,116099.000,73929.000
1687267169.577,639.000,116049.000,73923.000
1687267169.577,640.000,116044.000,73906.000
1687267169.577,637.000,116042.000,73880.000
1687267169.577,639.000,115953.000,73888.000
1687267169.577,638.000,115968.000,73892.000
1687267169.577,637.000,115965.000,73873.000
1687267169.669,638.000,115938.000,73877.000
1687267169.669,636.000,115905.000,73865.000
1687267169.669,638.000,115887.000,73871.000
1687267169.669,637.000,115860.000,73841.000
1687267169.669,637.000,115871.000,73862.000
1687267169.669,636.000,115877.000,73849.000
1687267169.761,637.000,115807.000,73871.000
1687267169.761,636.000,115795.000,73826.000
1687267169.761,637.000,115836.000,73830.000
1687267169.761,637.000,115861.000,73807.000
1687267169.761,636.000,115843.000,73842.000
1687267169.761,636.000,115838.000,73827.000
1687267169.850,636.000,115891.000,73818.000
1687267169.850,635.000,115869.000,73813.000
1687267169.850,634.000,115836.000,73884.000
1687267169.850,634.000,115853.000,73940.000
1687267169.850,633.000,115851.000,73940.000
1687267169.850,633.000,115816.000,73922.000
1687267169.955,635.000,115814.000,73929.000
1687267169.955,632.000,115904.000,73925.000
1687267169.955,634.000,115873.000,73878.000
1687267169.955,634.000,115901.000,73857.000
1687267169.955,631.000,115877.000,73894.000
1687267169.955,634.000,115869.000,73900.000
1687267170.044,634.000,115911.000,73897.000
1687267170.044,632.000,115874.000,73882.000
1687267170.044,634.000,115953.000,73884.000
1687267170.044,634.000,115945.000,73883.000
1687267170.044,634.000,115950.000,73894.000
1687267170.044,634.000,115970.000,73894.000
1687267170.135,633.000,115960.000,73907.000
1687267170.135,633.000,115959.000,73894.000
1687267170.135,633.000,116050.000,73892.000
1687267170.135,635.000,116071.000,73890.000
1687267170.135,631.000,116063.000,73872.000
1687267170.135,632.000,116027.000,73882.000
1687267170.240,633.000,116051.000,73904.000
1687267170.240,633.000,116084.000,73907.000
1687267170.240,634.000,116138.000,73907.000
1687267170.240,632.000,116170.000,73881.000
1687267170.240,634.000,116160.000,73893.000
1687267170.240,632.000,116167.000,73905.000
1687267170.327,633.000,116225.000,73883.000
1687267170.327,632.000,116171.000,73900.000
1687267170.327,631.000,116213.000,73886.000
1687267170.327,633.000,116237.000,73869.000
1687267170.327,631.000,116277.000,73867.000
1687267170.327,632.000,116242.000,73852.000
1687267170.419,633.000,116231.000,73875.000
1687267170.419,631.000,116158.000,73850.000
1687267170.419,631.000,116122.000,73816.000
1687267170.419,631.000,116165.000,73850.000
1687267170.419,631.000,116103.000,73825.000
1687267170.419,630.000,116092.000,73823.000
1687267170.510,631.000,116100.000,73819.000
1687267170.510,631.000,116057.000,73789.000
1687267170.510,629.000,116040.000,73805.000
1687267170.510,630.000,116029.000,73814.000
1687267170.510,629.000,115978.000,73760.000
1687267170.510,631.000,116058.000,73772.000
1687267170.613,630.000,115954.000,73758.000
1687267170.613,629.000,116027.000,73760.000
1687267170.613,630.000,116016.000,73771.000
1687267170.613,630.000,116050.000,73738.000
1687267170.613,630.000,116047.000,73743.000
1687267170.613,629.000,116046.000,73696.000
1687267170.701,631.000,116048.000,73676.000
1687267170.701,629.000,116059.000,73703.000
1687267170.701,628.000,115982.000,73722.000
1687267170.701,630.000,116012.000,73705.000
1687267170.701,630.000,116036.000,73669.000
1687267170.701,631.000,116030.000,73691.000
1687267170.796,631.000,116080.000,73663.000
1687267170.796,630.000,116053.000,73628.000
1687267170.796,630.000,116013.000,73662.000
1687267170.796,630.000,116046.000,73644.000
1687267170.796,631.000,116026.000,73671.000
1687267170.796,631.000,116037.000,73657.000
1687267170.885,632.000,116055.000,73642.000
1687267170.885,631.000,116087.000,73623.000
1687267170.885,632.000,116100.000,73643.000
1687267170.885,631.000,116142.000,73616.000
1687267170.885,632.000,116102.000,73639.000
1687267170.885,632.000,116154.000,73631.000
1687267170.975,632.000,116172.000,73617.000
1687267170.975,633.000,116215.000,73643.000
1687267170.975,632.000,116200.000,73621.000
1687267170.975,634.000,116219.000,73629.000
1687267170.975,633.000,116201.000,73626.000
1687267170.975,634.000,116234.000,73600.000
1687267171.077,635.000,116219.000,73651.000
1687267171.077,634.000,116229.000,73632.000
1687267171.077,635.000,116318.000,73627.000
1687267171.077,635.000,116253.000,73629.000
1687267171.077,637.000,116317.000,73641.000
1687267171.077,637.000,116366.000,73626.000
1687267171.169,637.000,116361.000,73639.000
1687267171.169,637.000,116362.000,73610.000
1687267171.169,637.000,116394.000,73655.000
1687267171.169,638.000,116392.000,73626.000
1687267171.169,639.000,116397.000,73656.000
1687267171.169,640.000,116405.000,73637.000
1687267171.273,640.000,116425.000,73599.000
1687267171.273,640.000,116470.000,73674.000
1687267171.273,640.000,116490.000,73641.000
1687267171.273,640.000,116392.000,73639.000
1687267171.273,640.000,116384.000,73638.000
1687267171.273,641.000,116377.000,73629.000
1687267171.350,640.000,116283.000,73661.000
1687267171.350,639.000,116249.000,73623.000
1687267171.350,640.000,116252.000,73626.000
1687267171.350,641.000,116238.000,73607.000
1687267171.350,641.000,116263.000,73638.000
1687267171.350,642.000,116203.000,73651.000
1687267171.451,642.000,116221.000,73624.000
1687267171.451,641.000,116224.000,73623.000
1687267171.451,642.000,116158.000,73630.000
1687267171.451,642.000,116206.000,73610.000
1687267171.451,643.000,116204.000,73616.000
