timestamps,TP9,AF7,AF8,TP10,Right AUX
1685720785.204,-64.941,-28.320,-31.738,-45.410,-34.180
1685720785.208,-63.965,-30.273,-31.738,-41.016,284.180
1685720785.212,-61.035,-35.645,-35.156,-30.273,198.730
1685720785.216,-64.453,-36.621,-33.203,-55.176,-211.914
1685720785.220,-54.199,-42.969,-25.391,-47.363,-59.570
1685720785.224,-35.645,-45.898,-26.367,-21.484,144.531
1685720785.228,-52.734,-30.762,-34.180,-49.805,16.602
1685720785.231,-75.684,-30.273,-39.062,-83.984,-117.676
1685720785.235,-65.918,-30.273,-39.551,-72.266,-64.453
1685720785.239,-51.758,-28.320,-34.180,-40.039,304.688
1685720785.243,-44.922,-25.879,-33.203,-29.785,194.824
1685720785.247,-55.176,-23.926,-34.180,-49.805,-130.859
1685720785.249,-71.289,-29.785,-29.785,-53.223,34.180
1685720785.253,-59.570,-31.250,-30.762,-34.180,27.832
1685720785.257,-47.852,-29.297,-36.621,-34.180,-176.758
1685720785.261,-52.246,-27.832,-40.527,-30.762,-184.570
1685720785.265,-56.641,-34.668,-41.016,-43.945,-22.949
1685720785.269,-67.871,-44.434,-38.574,-72.754,-12.207
1685720785.273,-69.824,-45.410,-40.527,-66.895,-108.887
1685720785.276,-67.871,-44.434,-41.016,-67.871,-180.176
1685720785.280,-66.895,-47.363,-38.086,-61.035,139.648
1685720785.284,-65.430,-45.410,-36.133,-56.152,319.336
1685720785.288,-68.359,-44.922,-38.086,-67.871,-72.266
1685720785.292,-68.359,-43.945,-37.109,-61.523,-217.773
1685720785.296,-62.500,-40.039,-29.785,-59.082,-97.168
1685720785.300,-59.570,-35.645,-28.320,-52.734,-41.504
1685720785.304,-61.035,-38.574,-27.832,-48.828,-142.578
1685720785.308,-59.082,-58.594,-25.391,-53.711,-163.086
1685720785.312,-59.082,-44.922,-30.273,-52.734,-146.484
1685720785.316,-51.270,-18.555,-33.203,-42.969,-153.320
1685720785.320,-48.340,-19.043,-25.879,-36.133,-41.504
1685720785.323,-50.781,-24.902,-24.902,-38.086,153.809
1685720785.327,-52.246,-30.762,-25.879,-40.527,268.066
1685720785.331,-56.641,-32.227,-24.902,-45.410,-20.508
1685720785.335,-53.223,-30.762,-26.367,-50.781,-254.883
1685720785.339,-57.129,-38.086,-30.762,-59.570,51.270
1685720785.340,-48.340,-37.109,-34.180,-59.082,175.781
1685720785.344,-51.758,-31.250,-38.086,-59.082,-130.371
1685720785.348,-60.059,-37.109,-39.062,-65.430,-262.695
1685720785.352,-55.664,-39.551,-39.551,-59.082,-163.086
1685720785.356,-62.500,-38.086,-46.387,-63.477,-62.012
1685720785.360,-61.523,-26.367,-47.363,-62.500,0.977
1685720785.364,-64.453,-20.996,-44.922,-61.523,-13.672
1685720785.367,-62.500,-21.973,-44.434,-71.289,49.316
1685720785.371,-56.641,-19.531,-46.875,-67.383,221.680
1685720785.375,-60.547,-30.273,-44.434,-59.082,-20.020
1685720785.379,-55.176,-38.086,-39.062,-55.176,-130.859
1685720785.383,-52.246,-36.621,-40.527,-62.988,-110.352
