timestamps,X,Y,Z
1690984771.941,-0.003,-0.023,1.000
1690984771.941,0.010,-0.018,0.973
1690984771.941,-0.010,-0.027,1.008
1690984771.989,-0.005,-0.020,1.004
1690984771.989,-0.010,-0.024,1.006
1690984771.989,-0.008,-0.022,1.001
1690984772.045,-0.006,-0.023,0.999
1690984772.045,-0.010,-0.023,1.000
1690984772.045,-0.011,-0.024,1.002
1690984772.090,-0.014,-0.025,0.999
1690984772.090,-0.011,-0.023,1.000
1690984772.090,-0.012,-0.024,0.999
1690984772.150,-0.013,-0.027,1.000
1690984772.150,-0.019,-0.019,0.997
1690984772.150,-0.025,-0.018,0.998
1690984772.211,-0.030,-0.014,0.997
1690984772.211,-0.036,-0.012,0.999
1690984772.211,-0.046,-0.007,1.004
1690984772.257,-0.049,-0.005,1.002
1690984772.257,-0.054,0.003,1.002
1690984772.257,-0.059,0.003,1.002
1690984772.315,-0.062,0.011,1.002
1690984772.315,-0.067,0.011,0.994
1690984772.315,-0.074,0.015,1.001
1690984772.375,-0.083,0.016,0.997
1690984772.375,-0.084,0.017,0.995
1690984772.375,-0.088,0.020,0.996
1690984772.434,-0.094,0.017,0.995
1690984772.434,-0.091,0.023,0.995
1690984772.434,-0.093,0.018,0.991
1690984772.511,-0.095,0.020,0.991
1690984772.511,-0.093,0.024,0.994
1690984772.511,-0.090,0.023,0.991
1690984772.540,-0.091,0.026,0.991
1690984772.540,-0.088,0.029,0.994
1690984772.540,-0.084,0.029,0.992
1690984772.615,-0.085,0.033,0.996
1690984772.615,-0.084,0.039,0.993
1690984772.615,-0.077,0.039,0.998
1690984772.660,-0.063,0.049,1.008
1690984772.660,-0.025,0.061,1.019
1690984772.660,-0.010,0.063,1.022
1690984772.705,-0.009,0.062,1.026
1690984772.705,-0.019,0.056,1.020
1690984772.705,-0.043,0.051,1.013
1690984772.771,-0.057,0.046,1.008
1690984772.771,-0.073,0.038,0.995
1690984772.771,-0.083,0.028,0.990
1690984772.825,-0.086,0.028,0.980
1690984772.825,-0.095,0.019,0.992
1690984772.825,-0.087,0.016,0.988
1690984772.885,-0.080,0.014,0.988
1690984772.885,-0.081,0.017,0.986
1690984772.885,-0.092,0.030,0.998
1690984772.930,-0.107,0.050,1.008
1690984772.930,-0.113,0.087,0.996
1690984772.930,-0.113,0.120,0.980
1690984772.990,-0.132,0.145,0.989
1690984772.990,-0.160,0.153,1.009
1690984772.990,-0.193,0.146,1.024
1690984773.065,-0.214,0.140,1.027
1690984773.065,-0.221,0.136,1.025
1690984773.065,-0.213,0.136,1.007
1690984773.110,-0.199,0.134,0.993
1690984773.110,-0.181,0.123,0.985
1690984773.110,-0.158,0.115,0.996
1690984773.170,-0.146,0.106,1.002
1690984773.170,-0.129,0.108,0.991
1690984773.170,-0.118,0.097,0.996
1690984773.216,-0.116,0.086,1.017
1690984773.216,-0.112,0.078,1.017
1690984773.216,-0.109,0.063,1.016
1690984773.275,-0.109,0.042,1.002
1690984773.275,-0.113,0.027,0.993
1690984773.275,-0.119,-0.003,0.996
1690984773.338,-0.126,-0.026,0.986
1690984773.338,-0.130,-0.041,0.977
1690984773.338,-0.132,-0.055,0.981
1690984773.382,-0.142,-0.072,0.989
1690984773.382,-0.150,-0.089,0.982
1690984773.382,-0.142,-0.103,0.975
1690984773.445,-0.135,-0.116,0.976
1690984773.445,-0.128,-0.124,0.974
1690984773.445,-0.125,-0.128,0.977
1690984773.502,-0.135,-0.138,0.969
1690984773.502,-0.153,-0.146,0.967
1690984773.502,-0.177,-0.151,0.962
1690984773.563,-0.199,-0.150,0.951
1690984773.563,-0.222,-0.156,0.947
1690984773.563,-0.237,-0.160,0.943
1690984773.626,-0.255,-0.160,0.947
1690984773.626,-0.266,-0.166,0.947
1690984773.626,-0.277,-0.167,0.941
1690984773.684,-0.280,-0.169,0.935
1690984773.684,-0.285,-0.172,0.935
1690984773.684,-0.283,-0.174,0.937
1690984773.725,-0.281,-0.168,0.934
1690984773.725,-0.276,-0.168,0.945
1690984773.725,-0.262,-0.166,0.949
1690984773.785,-0.251,-0.165,0.947
1690984773.785,-0.239,-0.157,0.958
1690984773.785,-0.227,-0.148,0.959
1690984773.845,-0.217,-0.144,0.969
1690984773.845,-0.203,-0.137,0.978
1690984773.845,-0.194,-0.130,0.981
1690984773.905,-0.185,-0.123,0.983
1690984773.905,-0.185,-0.119,0.997
1690984773.905,-0.189,-0.126,1.003
1690984773.953,-0.193,-0.123,1.004
1690984773.953,-0.196,-0.122,0.997
1690984773.953,-0.203,-0.128,0.988
1690984774.010,-0.209,-0.136,0.986
1690984774.010,-0.211,-0.144,0.984
1690984774.010,-0.207,-0.150,0.981
1690984774.070,-0.213,-0.158,0.978
1690984774.070,-0.210,-0.167,0.978
1690984774.070,-0.202,-0.177,0.971
1690984774.130,-0.202,-0.187,0.968
1690984774.130,-0.196,-0.194,0.967
1690984774.130,-0.195,-0.206,0.968
1690984774.194,-0.186,-0.211,0.967
1690984774.194,-0.177,-0.221,0.956
1690984774.194,-0.174,-0.225,0.961
1690984774.235,-0.167,-0.234,0.953
1690984774.235,-0.159,-0.244,0.948
1690984774.235,-0.151,-0.247,0.958
1690984774.296,-0.141,-0.251,0.954
1690984774.296,-0.136,-0.252,0.954
1690984774.296,-0.138,-0.262,0.951
1690984774.355,-0.133,-0.265,0.953
1690984774.355,-0.130,-0.273,0.949
1690984774.355,-0.126,-0.266,0.948
1690984774.402,-0.130,-0.268,0.945
1690984774.402,-0.128,-0.270,0.948
