timestamps,X,Y,Z
1688304376.470,0.094,0.055,0.990
1688304376.470,0.098,0.053,0.992
1688304376.470,0.100,0.052,0.991
1688304376.534,0.102,0.058,0.992
1688304376.534,0.104,0.056,0.992
1688304376.534,0.106,0.061,0.988
1688304376.575,0.107,0.060,0.988
1688304376.575,0.109,0.066,0.991
1688304376.575,0.106,0.072,0.992
1688304376.635,0.101,0.071,0.997
1688304376.635,0.103,0.071,0.993
1688304376.635,0.103,0.074,0.994
1688304376.695,0.103,0.079,0.991
1688304376.695,0.103,0.076,0.990
1688304376.695,0.103,0.075,0.988
1688304376.755,0.097,0.080,0.991
1688304376.755,0.096,0.078,0.994
1688304376.755,0.097,0.079,0.994
1688304376.815,0.096,0.081,0.993
1688304376.815,0.102,0.080,0.992
1688304376.815,0.108,0.083,0.992
1688304376.861,0.108,0.076,0.997
1688304376.861,0.110,0.076,0.996
1688304376.861,0.110,0.077,0.995
1688304376.920,0.111,0.070,0.996
1688304376.920,0.104,0.070,0.995
1688304376.920,0.102,0.067,0.995
1688304376.980,0.106,0.064,0.989
1688304376.980,0.105,0.057,0.984
1688304376.980,0.102,0.062,0.983
1688304377.025,0.096,0.058,0.990
1688304377.025,0.092,0.060,0.991
1688304377.025,0.096,0.063,0.992
1688304377.089,0.096,0.060,0.987
1688304377.089,0.098,0.063,0.991
1688304377.089,0.100,0.066,0.990
1688304377.148,0.101,0.066,0.993
1688304377.148,0.102,0.067,0.995
1688304377.148,0.109,0.066,0.998
1688304377.205,0.117,0.065,0.993
1688304377.205,0.116,0.059,0.996
1688304377.205,0.117,0.059,0.990
1688304377.250,0.117,0.058,0.993
1688304377.250,0.112,0.054,0.985
1688304377.250,0.109,0.057,0.986
1688304377.310,0.102,0.060,0.991
1688304377.310,0.099,0.064,0.996
1688304377.310,0.098,0.063,0.995
1688304377.370,0.102,0.064,0.988
1688304377.370,0.108,0.066,0.985
1688304377.370,0.105,0.072,0.987
1688304377.430,0.104,0.077,0.992
1688304377.430,0.100,0.074,0.998
1688304377.430,0.098,0.077,0.998
1688304377.505,0.098,0.080,0.992
1688304377.505,0.103,0.078,0.991
1688304377.505,0.102,0.078,0.990
1688304377.537,0.102,0.084,0.991
1688304377.537,0.101,0.081,0.997
1688304377.537,0.101,0.081,0.996
1688304377.612,0.094,0.081,0.991
1688304377.612,0.094,0.078,0.989
1688304377.612,0.095,0.077,0.988
1688304377.656,0.093,0.078,0.988
1688304377.656,0.093,0.077,0.994
1688304377.656,0.090,0.080,0.993
1688304377.730,0.092,0.081,0.991
1688304377.730,0.094,0.080,0.992
1688304377.730,0.098,0.078,0.995
1688304377.760,0.099,0.084,0.994
1688304377.760,0.094,0.082,0.997
1688304377.760,0.093,0.081,0.990
1688304377.822,0.089,0.083,0.991
1688304377.822,0.088,0.078,0.986
1688304377.822,0.092,0.086,0.992
1688304377.897,0.091,0.088,1.000
1688304377.897,0.093,0.083,0.998
1688304377.897,0.097,0.088,0.993
1688304377.929,0.093,0.081,0.993
1688304377.929,0.091,0.079,0.989
1688304377.929,0.091,0.082,0.988
1688304377.985,0.089,0.081,0.990
1688304377.985,0.090,0.081,0.991
1688304377.985,0.090,0.082,0.990
1688304378.045,0.088,0.082,0.995
1688304378.045,0.085,0.083,0.993
1688304378.045,0.085,0.084,0.996
1688304378.107,0.074,0.084,0.995
1688304378.107,0.061,0.090,0.996
1688304378.107,0.050,0.089,1.008
1688304378.168,0.047,0.090,1.007
1688304378.168,0.019,0.086,1.008
1688304378.168,-0.005,0.081,1.009
1688304378.212,0.003,0.091,0.986
1688304378.212,0.010,0.095,0.976
1688304378.212,0.017,0.104,0.970
1688304378.270,0.019,0.110,0.981
1688304378.270,0.027,0.126,0.993
1688304378.270,0.037,0.134,0.994
1688304378.330,0.040,0.134,0.989
1688304378.330,0.044,0.137,0.991
1688304378.330,0.037,0.138,1.001
1688304378.390,0.032,0.135,1.007
1688304378.390,0.026,0.126,1.004
1688304378.390,0.024,0.118,1.003
1688304378.450,0.023,0.110,0.999
1688304378.450,0.019,0.102,0.996
1688304378.450,0.017,0.093,1.002
1688304378.495,0.019,0.086,0.998
1688304378.495,0.024,0.076,0.993
1688304378.495,0.030,0.065,0.987
1688304378.555,0.032,0.056,0.991
1688304378.555,0.037,0.047,0.992
1688304378.555,0.039,0.036,0.998
1688304378.615,0.037,0.030,0.996
1688304378.615,0.035,0.019,0.994
1688304378.615,0.038,0.006,0.987
1688304378.675,0.035,0.002,0.995
1688304378.675,0.033,0.000,0.993
1688304378.675,0.040,-0.004,0.989
1688304378.724,0.043,-0.007,0.994
1688304378.724,0.050,-0.014,0.994
1688304378.724,0.054,-0.011,0.993
1688304378.780,0.055,-0.017,0.996
1688304378.780,0.063,-0.014,0.991
1688304378.780,0.057,-0.006,0.992
1688304378.840,0.057,-0.004,0.996
1688304378.840,0.058,-0.000,1.000
1688304378.840,0.055,0.001,1.004
1688304378.900,0.054,0.006,1.004
1688304378.900,0.051,0.009,1.000
1688304378.900,0.046,0.013,1.004
