timestamps,X,Y,Z
1692219145.617,-0.255,-0.021,0.972
1692219145.617,-0.258,-0.021,0.972
1692219145.617,-0.257,-0.019,0.969
1692219145.662,-0.258,-0.018,0.971
1692219145.662,-0.255,-0.019,0.970
1692219145.662,-0.258,-0.020,0.969
1692219145.722,-0.258,-0.021,0.970
1692219145.722,-0.260,-0.023,0.973
1692219145.722,-0.255,-0.019,0.972
1692219145.784,-0.252,-0.020,0.974
1692219145.784,-0.249,-0.017,0.973
1692219145.784,-0.248,-0.017,0.975
1692219145.842,-0.248,-0.014,0.971
1692219145.842,-0.251,-0.012,0.973
1692219145.842,-0.256,-0.018,0.970
1692219145.902,-0.258,-0.019,0.973
1692219145.902,-0.263,-0.015,0.970
1692219145.902,-0.258,-0.016,0.974
1692219145.947,-0.260,-0.017,0.971
1692219145.947,-0.254,-0.019,0.973
1692219145.947,-0.259,-0.016,0.974
1692219146.022,-0.253,-0.022,0.968
1692219146.022,-0.258,-0.021,0.974
1692219146.022,-0.258,-0.023,0.973
1692219146.067,-0.258,-0.025,0.965
1692219146.067,-0.255,-0.022,0.966
1692219146.067,-0.258,-0.021,0.975
1692219146.142,-0.252,-0.021,0.975
1692219146.142,-0.252,-0.019,0.971
1692219146.142,-0.257,-0.018,0.973
1692219146.172,-0.255,-0.019,0.972
1692219146.172,-0.258,-0.023,0.971
1692219146.172,-0.257,-0.020,0.972
1692219146.234,-0.261,-0.021,0.974
1692219146.234,-0.259,-0.019,0.973
1692219146.234,-0.256,-0.017,0.972
1692219146.296,-0.262,-0.014,0.974
1692219146.296,-0.257,-0.015,0.975
1692219146.296,-0.257,-0.020,0.972
1692219146.341,-0.257,-0.018,0.973
1692219146.341,-0.258,-0.020,0.973
1692219146.341,-0.258,-0.022,0.971
1692219146.401,-0.259,-0.021,0.970
1692219146.401,-0.256,-0.024,0.972
1692219146.401,-0.256,-0.024,0.969
1692219146.457,-0.255,-0.020,0.973
1692219146.457,-0.252,-0.022,0.977
1692219146.457,-0.252,-0.018,0.973
1692219146.519,-0.256,-0.021,0.976
1692219146.519,-0.258,-0.020,0.971
1692219146.519,-0.257,-0.020,0.970
1692219146.580,-0.258,-0.020,0.969
1692219146.580,-0.260,-0.021,0.972
1692219146.580,-0.261,-0.020,0.972
1692219146.624,-0.258,-0.021,0.970
1692219146.624,-0.257,-0.018,0.973
1692219146.624,-0.260,-0.021,0.973
1692219146.682,-0.260,-0.021,0.971
1692219146.682,-0.259,-0.021,0.969
1692219146.682,-0.264,-0.025,0.973
1692219146.742,-0.260,-0.020,0.972
1692219146.742,-0.259,-0.023,0.968
1692219146.742,-0.259,-0.021,0.978
1692219146.803,-0.261,-0.019,0.978
1692219146.803,-0.261,-0.017,0.970
1692219146.803,-0.261,-0.017,0.970
1692219146.863,-0.260,-0.021,0.970
1692219146.863,-0.260,-0.021,0.970
1692219146.863,-0.260,-0.024,0.969
1692219146.922,-0.258,-0.018,0.971
1692219146.922,-0.255,-0.018,0.971
1692219146.922,-0.257,-0.018,0.973
1692219146.970,-0.253,-0.023,0.973
1692219146.970,-0.256,-0.023,0.971
1692219146.970,-0.258,-0.021,0.974
1692219147.027,-0.255,-0.019,0.970
1692219147.027,-0.260,-0.018,0.973
1692219147.027,-0.256,-0.016,0.970
1692219147.089,-0.258,-0.016,0.970
1692219147.089,-0.257,-0.018,0.974
1692219147.089,-0.253,-0.012,0.970
1692219147.136,-0.251,-0.015,0.972
1692219147.136,-0.251,-0.011,0.978
1692219147.136,-0.250,-0.010,0.978
1692219147.192,-0.250,-0.015,0.976
1692219147.192,-0.253,-0.016,0.973
1692219147.192,-0.253,-0.016,0.974
1692219147.252,-0.256,-0.013,0.975
1692219147.252,-0.256,-0.017,0.973
1692219147.252,-0.260,-0.018,0.970
1692219147.312,-0.260,-0.020,0.973
1692219147.312,-0.257,-0.019,0.968
1692219147.312,-0.256,-0.019,0.970
1692219147.359,-0.258,-0.016,0.974
1692219147.359,-0.253,-0.015,0.968
1692219147.359,-0.256,-0.017,0.970
1692219147.420,-0.257,-0.024,0.978
1692219147.420,-0.257,-0.023,0.972
1692219147.420,-0.251,-0.018,0.969
1692219147.477,-0.253,-0.016,0.975
1692219147.477,-0.253,-0.013,0.977
1692219147.477,-0.255,-0.013,0.972
1692219147.537,-0.253,-0.009,0.971
1692219147.537,-0.257,-0.013,0.971
1692219147.537,-0.257,-0.009,0.975
1692219147.597,-0.258,-0.010,0.974
1692219147.597,-0.262,-0.010,0.973
1692219147.597,-0.258,-0.011,0.974
1692219147.644,-0.258,-0.008,0.973
1692219147.644,-0.259,-0.012,0.974
1692219147.644,-0.261,-0.013,0.971
1692219147.705,-0.260,-0.008,0.971
1692219147.705,-0.257,-0.012,0.971
1692219147.705,-0.254,-0.012,0.974
1692219147.762,-0.254,-0.010,0.973
1692219147.762,-0.254,-0.010,0.972
1692219147.762,-0.251,-0.009,0.974
1692219147.822,-0.252,-0.012,0.971
1692219147.822,-0.249,-0.009,0.974
1692219147.822,-0.249,-0.011,0.973
1692219147.881,-0.249,-0.007,0.975
1692219147.881,-0.250,-0.012,0.977
1692219147.881,-0.255,-0.011,0.976
1692219147.932,-0.251,-0.011,0.975
1692219147.932,-0.252,-0.012,0.969
1692219147.932,-0.256,-0.014,0.972
1692219147.987,-0.258,-0.010,0.971
1692219147.987,-0.259,-0.013,0.971
1692219147.987,-0.258,-0.012,0.971
1692219148.038,-0.261,-0.010,0.973
1692219148.038,-0.257,-0.011,0.969
1692219148.038,-0.263,-0.010,0.973
1692219148.106,-0.264,-0.010,0.969
1692219148.106,-0.261,-0.010,0.966
1692219148.106,-0.260,-0.006,0.971
1692219148.152,-0.264,-0.006,0.979
1692219148.152,-0.261,-0.005,0.976
1692219148.152,-0.256,-0.005,0.970
1692219148.216,-0.257,-0.007,0.969
1692219148.216,-0.251,-0.010,0.973
1692219148.216,-0.248,-0.011,0.975
1692219148.272,-0.250,-0.011,0.972
1692219148.272,-0.252,-0.015,0.977
1692219148.272,-0.254,-0.015,0.974
1692219148.321,-0.258,-0.009,0.971
1692219148.321,-0.261,-0.013,0.973
1692219148.321,-0.268,-0.007,0.973
1692219148.392,-0.269,-0.005,0.966
1692219148.392,-0.269,-0.005,0.972
1692219148.392,-0.272,-0.002,0.973
1692219148.437,-0.266,-0.004,0.974
1692219148.437,-0.264,-0.008,0.970
1692219148.437,-0.260,-0.010,0.972
1692219148.500,-0.257,-0.011,0.968
1692219148.500,-0.255,-0.001,0.968
1692219148.500,-0.253,-0.001,0.968
1692219148.557,-0.256,0.001,0.976
1692219148.557,-0.264,0.003,0.977
1692219148.557,-0.262,0.002,0.974
1692219148.617,-0.262,0.004,0.966
1692219148.617,-0.267,0.001,0.968
1692219148.617,-0.279,-0.003,0.972
1692219148.676,-0.276,-0.006,0.971
1692219148.676,-0.273,-0.010,0.972
1692219148.676,-0.269,-0.008,0.975
1692219148.722,-0.266,-0.010,0.964
1692219148.722,-0.268,-0.007,0.965
1692219148.722,-0.272,-0.003,0.968
1692219148.783,-0.274,-0.007,0.967
1692219148.783,-0.263,-0.006,0.961
1692219148.783,-0.265,-0.001,0.967
1692219148.830,-0.264,-0.001,0.972
1692219148.830,-0.264,-0.000,0.974
1692219148.830,-0.268,0.000,0.970
1692219148.887,-0.271,-0.002,0.967
1692219148.887,-0.276,-0.005,0.972
1692219148.887,-0.279,-0.007,0.966
1692219148.947,-0.280,-0.010,0.967
1692219148.947,-0.278,-0.009,0.969
1692219148.947,-0.276,-0.014,0.969
1692219149.007,-0.274,-0.011,0.969
1692219149.007,-0.270,-0.009,0.970
1692219149.007,-0.265,-0.012,0.969
1692219149.057,-0.266,-0.013,0.968
1692219149.057,-0.262,-0.013,0.969
1692219149.057,-0.266,-0.014,0.970
1692219149.127,-0.264,-0.015,0.970
1692219149.127,-0.260,-0.013,0.972
1692219149.127,-0.259,-0.016,0.969
1692219149.172,-0.260,-0.020,0.967
1692219149.172,-0.256,-0.015,0.964
1692219149.172,-0.257,-0.016,0.968
1692219149.232,-0.260,-0.013,0.964
1692219149.232,-0.252,-0.013,0.962
1692219149.232,-0.254,-0.010,0.963
1692219149.292,-0.253,0.003,0.969
1692219149.292,-0.258,0.009,0.978
1692219149.292,-0.270,0.012,0.982
1692219149.341,-0.280,0.010,0.992
1692219149.341,-0.290,0.005,0.990
1692219149.341,-0.286,0.004,0.968
1692219149.397,-0.289,-0.002,0.963
1692219149.397,-0.285,-0.010,0.958
1692219149.397,-0.285,-0.020,0.952
1692219149.457,-0.279,-0.025,0.947
1692219149.457,-0.274,-0.030,0.961
1692219149.457,-0.275,-0.031,0.970
1692219149.519,-0.274,-0.027,0.969
1692219149.519,-0.272,-0.024,0.974
1692219149.519,-0.268,-0.016,0.974
1692219149.580,-0.269,-0.019,0.977
1692219149.580,-0.266,-0.014,0.976
1692219149.580,-0.263,-0.010,0.971
1692219149.637,-0.258,-0.010,0.965
1692219149.637,-0.257,-0.006,0.965
1692219149.637,-0.249,-0.007,0.962
1692219149.684,-0.248,-0.005,0.965
1692219149.684,-0.249,-0.003,0.966
1692219149.684,-0.249,-0.005,0.977
1692219149.742,-0.248,0.001,0.986
1692219149.742,-0.255,-0.002,0.982
1692219149.742,-0.260,-0.005,0.981
1692219149.804,-0.264,-0.009,0.975
1692219149.804,-0.267,-0.009,0.975
1692219149.804,-0.276,-0.014,0.962
1692219149.862,-0.281,-0.017,0.965
1692219149.862,-0.291,-0.014,0.965
1692219149.862,-0.295,-0.019,0.966
1692219149.907,-0.299,-0.018,0.962
1692219149.907,-0.297,-0.015,0.964
1692219149.907,-0.288,-0.019,0.958
1692219149.967,-0.276,-0.013,0.967
