timestamps,TP9,AF7,AF8,TP10,Right AUX
1689804994.828,-43.457,-19.043,-43.457,-94.238,-230.469
1689804994.832,-24.414,-12.695,-40.527,-3.418,-123.047
1689804994.836,-21.973,-17.090,-42.480,32.715,-78.125
1689804994.840,-20.020,-19.043,-48.828,-13.672,-105.469
1689804994.844,-30.273,-17.090,-46.387,-96.191,-149.414
1689804994.848,-41.992,-13.184,-43.457,-107.910,-87.891
1689804994.852,-22.949,-12.207,-45.898,-21.973,2.930
1689804994.855,-4.883,-16.602,-46.875,30.273,20.996
1689804994.859,-17.090,-22.461,-42.969,-4.883,98.145
1689804994.863,-31.738,-22.949,-37.598,-78.125,276.855
1689804994.867,-34.180,-12.207,-33.203,-90.332,-41.016
1689804994.871,-20.508,-17.090,-33.203,-11.719,-172.852
1689804994.873,-11.230,-23.438,-35.156,49.805,11.230
1689804994.877,-19.531,-22.949,-35.645,18.555,16.602
1689804994.881,-32.715,-23.926,-35.645,-66.895,-73.242
1689804994.885,-44.922,-27.344,-34.668,-105.469,-181.152
1689804994.889,-38.574,-29.785,-29.785,-40.039,66.895
1689804994.893,-29.297,-18.555,-25.391,33.203,96.680
1689804994.897,-32.715,-19.043,-25.879,10.742,-62.012
1689804994.900,-43.945,-28.809,-29.785,-76.172,-57.617
1689804994.904,-47.852,-30.762,-35.156,-118.164,71.289
1689804994.908,-40.039,-26.855,-39.062,-67.383,2.441
1689804994.912,-25.879,-19.043,-34.180,9.766,-49.316
1689804994.916,-16.113,-13.184,-36.133,7.324,-8.301
1689804994.918,-28.320,-12.695,-45.410,-71.777,-90.332
1689804994.922,-41.016,-13.184,-43.457,-125.000,-230.469
1689804994.926,-38.574,-12.695,-31.738,-82.520,-250.488
1689804994.930,-20.508,-11.719,-21.484,-2.930,-80.078
1689804994.934,-16.113,-12.207,-26.367,12.207,50.781
1689804994.938,-35.156,-13.184,-21.973,-51.758,22.949
1689804994.942,-39.062,-16.113,-7.812,-98.145,-46.387
1689804994.945,-33.691,-20.020,-9.766,-57.129,34.668
1689804994.949,-20.996,-18.555,-9.766,25.879,230.469
1689804994.953,-13.184,-15.137,-21.484,35.645,48.340
1689804994.957,-24.414,-16.602,-20.020,-34.180,-139.648
1689804994.961,-40.039,-19.531,-4.395,-102.051,-107.422
1689804994.978,-43.945,-14.648,-12.695,-96.191,-79.102
1689804994.982,-13.672,-7.324,-21.973,-1.465,-74.219
1689804994.986,21.973,-20.996,-19.531,71.777,57.129
1689804994.990,17.578,-41.504,-10.254,30.273,235.352
1689804994.994,-13.184,-36.133,-10.254,-62.012,97.168
1689804994.998,-37.109,-30.273,-20.508,-82.031,-104.004
1689804995.002,-42.480,-33.691,-27.344,-11.230,-48.828
1689804995.005,-30.273,-39.062,-22.461,47.852,212.891
1689804995.009,-39.551,-39.551,-8.301,-4.395,78.125
1689804995.013,-62.500,-41.992,4.883,-94.238,-315.918
1689804995.017,-61.523,-41.016,6.836,-92.773,-284.668
1689804995.021,-59.082,-34.668,1.465,-17.090,-128.906
1689804995.009,-60.059,-35.156,-3.906,30.762,-111.328
1689804995.013,-51.758,-39.062,-2.930,-0.488,-170.898
1689804995.017,-43.457,-45.410,-8.789,-62.988,-139.160
1689804995.021,-31.738,-38.574,-18.555,-70.801,-112.793
1689804995.025,-17.578,-30.273,-20.996,5.859,-129.883
1689804995.029,-10.742,-33.691,-21.973,67.871,27.832
1689804995.033,-11.230,-33.203,-22.461,34.180,202.148
1689804995.036,-20.020,-35.645,-17.090,-43.945,10.742
1689804995.040,-23.438,-33.203,-14.648,-75.195,-206.055
1689804995.044,-16.113,-27.832,-20.508,-16.602,-223.633
1689804995.048,-9.766,-26.855,-22.461,50.293,70.801
1689804995.052,-11.230,-28.320,-20.508,26.367,310.059
1689804995.053,-23.438,-30.762,-22.949,-62.012,-104.492
1689804995.057,-37.598,-35.156,-22.461,-96.191,-256.348
1689804995.061,-30.273,-36.133,-19.043,-36.133,91.797
1689804995.065,-19.043,-35.645,-24.414,38.086,88.379
1689804995.069,-16.113,-34.668,-26.367,37.109,-133.789
1689804995.073,-18.066,-38.574,-30.273,-27.832,-147.949
1689804995.077,-27.832,-42.969,-36.133,-74.219,163.086
1689804995.080,-23.926,-33.203,-28.809,-30.762,237.793
1689804995.084,-3.906,-24.414,-25.391,61.523,-113.281
1689804995.088,4.395,-24.414,-33.691,70.312,-108.398
1689804995.092,-6.836,-22.461,-33.203,-19.043,14.160
1689804995.096,-11.230,-18.555,-38.086,-75.195,-121.582
1689804995.100,-11.719,-23.926,-47.363,-41.504,-182.617
1689804995.104,-23.438,-38.086,-35.645,34.180,-86.914
1689804995.108,-22.461,-36.133,-20.996,51.270,-41.992
1689804995.112,-20.020,-34.180,-22.949,-13.672,-141.113
1689804995.116,-26.367,-40.039,-32.227,-73.730,-249.023
1689804995.120,-23.926,-33.203,-44.434,-55.176,-105.469
1689804995.124,-15.137,-23.438,-43.945,17.578,81.055
1689804995.127,-13.184,-21.973,-32.715,41.504,50.293
1689804995.131,-8.789,-23.438,-22.461,-16.113,-49.805
1689804995.135,-13.184,-24.902,-18.066,-73.242,2.441
1689804995.139,-23.438,-25.879,-21.973,-59.570,87.402
1689804995.143,-9.277,-25.879,-26.367,14.160,-115.234
1689804995.158,6.348,-27.344,-35.645,64.941,-82.031
