timestamps,TP9,AF7,AF8,TP10,Right AUX
1689623878.762,-31.738,-43.457,-32.227,-41.992,-223.145
1689623878.766,-34.180,-41.992,-33.203,-45.410,82.031
1689623878.770,-37.598,-47.363,-27.832,-26.855,323.242
1689623878.774,-32.227,-53.223,-34.668,-18.066,0.977
1689623878.778,-24.902,-47.363,-30.273,-29.785,-104.492
1689623878.782,-31.250,-46.387,-26.367,-34.180,-30.273
1689623878.786,-41.504,-44.434,-25.879,-44.434,19.043
1689623878.789,-40.527,-32.715,-26.367,-30.762,-45.898
1689623878.793,-25.391,-34.180,-31.738,-7.812,14.160
1689623878.797,-19.531,-40.527,-34.668,-7.324,199.219
1689623878.801,-25.879,-41.504,-30.273,-28.809,-66.406
1689623878.805,-41.016,-48.828,-28.809,-47.852,-253.418
1689623878.807,-52.246,-49.805,-26.367,-37.598,-30.762
1689623878.811,-31.738,-45.898,-25.879,-21.973,35.156
1689623878.815,-8.789,-32.715,-29.297,-13.184,-113.770
1689623878.819,-14.160,-31.250,-30.273,-24.414,-174.316
1689623878.823,-23.926,-41.504,-29.785,-35.156,-136.230
1689623878.827,-19.043,-46.875,-36.133,-25.391,-55.664
1689623878.831,-3.906,-46.875,-31.250,-9.766,-5.859
1689623878.834,4.395,-43.945,-29.785,-12.207,20.020
1689623878.838,-8.301,-41.016,-37.109,-37.598,110.352
1689623878.842,-26.855,-34.180,-33.691,-38.574,-1.465
1689623878.846,-22.949,-31.250,-34.180,-22.949,-220.215
1689623878.850,-23.438,-35.645,-35.156,-12.695,-161.621
1689623878.854,-28.809,-42.480,-30.762,-14.160,206.055
1689623878.858,-16.113,-43.457,-34.180,-37.109,196.777
1689623878.862,-16.113,-44.434,-41.016,-47.363,-166.992
1689623878.866,-17.090,-44.922,-35.156,-31.738,-94.238
1689623878.870,-12.207,-44.922,-33.691,-17.090,75.195
1689623878.874,-23.438,-55.176,-33.691,-27.344,15.137
1689623878.878,-26.367,-49.805,-29.785,-42.969,-61.035
1689623878.881,-26.367,-46.875,-30.762,-59.082,22.461
1689623878.885,-29.297,-51.758,-32.227,-55.664,77.148
1689623878.889,-32.715,-44.434,-32.227,-36.621,-70.801
1689623878.893,-46.875,-47.363,-34.180,-38.574,-137.207
1689623878.897,-44.434,-52.246,-36.133,-53.711,22.461
1689623878.897,-27.344,-45.410,-28.809,-55.664,72.266
1689623878.901,-39.551,-39.551,-20.508,-59.082,-163.086
1689623878.905,-40.039,-42.480,-30.273,-52.734,-128.906
1689623878.909,-29.785,-41.016,-34.180,-33.203,-22.461
1689623878.913,-31.250,-31.738,-33.691,-43.945,7.812
1689623878.917,-44.922,-42.969,-41.016,-77.637,-2.930
1689623878.921,-54.199,-49.316,-36.621,-75.195,-54.199
1689623878.924,-41.992,-47.363,-35.645,-42.969,208.008
1689623878.928,-26.855,-47.852,-32.715,-30.273,574.707
1689623878.932,-29.785,-41.504,-30.273,-54.688,221.191
1689623878.936,-41.016,-44.434,-35.156,-66.406,-180.176
1689623878.940,-36.621,-51.758,-39.551,-53.711,-174.316
1689623878.943,-20.996,-49.805,-40.039,-38.574,-212.891
1689623878.947,-19.531,-43.457,-34.180,-22.461,-195.801
1689623878.951,-26.855,-42.480,-34.668,-22.949,-125.000
1689623878.955,-25.879,-40.527,-41.504,-33.203,-83.984
1689623878.959,-34.668,-43.457,-35.645,-41.504,-150.879
1689623878.963,-27.344,-45.898,-38.574,-18.066,-94.238
1689623878.967,3.418,-44.922,-35.645,31.738,121.582
1689623878.970,-21.973,-53.223,-20.996,-0.488,456.543
1689623878.974,-67.383,-56.152,-14.648,-71.289,199.707
1689623878.978,-44.922,-55.664,-17.578,-71.777,-288.086
1689623878.982,-25.391,-58.594,-25.879,-38.086,-207.520
1689623878.986,-46.875,-55.176,-27.344,-29.297,-95.215
1689623878.988,-42.969,-46.875,-34.180,-42.969,-121.582
1689623878.992,-29.785,-39.062,-39.062,-51.270,-175.781
1689623878.996,-46.875,-46.875,-38.574,-63.477,-156.250
1689623879.000,-46.875,-45.898,-34.180,-43.945,-96.191
1689623879.004,-31.738,-35.645,-27.344,-19.043,-76.172
1689623879.008,-27.344,-46.875,-31.738,-29.297,-123.535
1689623879.012,-30.273,-55.176,-33.203,-39.551,199.219
1689623879.015,-38.086,-53.223,-35.645,-48.340,354.004
1689623879.019,-37.109,-52.734,-43.457,-40.039,-13.672
1689623879.023,-30.273,-49.805,-36.133,-26.367,-74.707
1689623879.027,-37.598,-47.852,-37.598,-33.203,198.730
1689623879.031,-36.621,-35.645,-34.668,-41.992,172.363
1689623879.033,-33.691,-36.133,-32.715,-43.457,-233.887
1689623879.037,-35.156,-40.039,-39.062,-39.062,-247.559
1689623879.041,-30.762,-37.598,-33.691,-29.785,-99.121
1689623879.045,-29.785,-50.781,-35.645,-27.344,-103.516
1689623879.049,-36.621,-52.734,-37.598,-43.457,-190.918
1689623879.053,-41.992,-44.922,-32.227,-54.688,-39.551
1689623879.057,-38.086,-43.457,-32.227,-44.434,208.008
1689623879.060,-35.156,-42.480,-30.762,-27.832,-23.926
1689623879.064,-33.203,-39.551,-33.691,-31.738,-228.027
1689623879.068,-34.180,-45.410,-37.109,-35.156,-56.152
1689623879.072,-40.527,-53.711,-35.156,-53.711,-22.949
1689623879.076,-46.875,-47.363,-37.109,-50.781,-105.957
1689623879.079,-38.574,-40.039,-30.762,-20.996,-94.727
1689623879.083,-20.020,-43.945,-24.414,-20.508,42.480
1689623879.087,-30.273,-41.504,-24.414,-38.086,106.445
1689623879.091,-45.410,-38.086,-23.926,-51.270,-166.992
1689623879.095,-51.758,-43.457,-26.367,-50.781,-211.914
1689623879.099,-45.898,-46.875,-26.855,-36.133,-65.918
1689623879.103,-32.227,-49.316,-28.320,-26.855,83.496
1689623879.106,-34.180,-52.734,-37.109,-41.992,109.863
1689623879.110,-38.574,-44.922,-35.156,-61.035,-87.891
1689623879.114,-49.316,-42.480,-29.297,-52.246,83.984
1689623879.118,-45.898,-42.969,-27.344,-33.203,304.199
1689623879.122,-28.809,-40.039,-20.020,-26.855,-37.109
1689623879.139,-23.438,-39.551,-18.555,-35.156,-133.301
1689623879.143,-22.461,-38.086,-26.367,-52.246,-121.094
1689623879.147,-26.855,-44.434,-27.832,-57.129,-115.723
1689623879.151,-35.156,-38.574,-25.391,-41.504,-161.133
1689623879.155,-32.227,-28.809,-30.762,-28.320,-42.969
1689623879.159,-26.855,-44.434,-27.832,-30.762,275.879
1689623879.163,-38.574,-51.270,-25.879,-42.480,67.871
1689623879.166,-41.504,-41.504,-30.273,-57.617,-200.684
1689623879.170,-36.133,-37.598,-23.438,-43.457,-90.332
1689623879.174,-32.227,-38.574,-22.461,-26.367,178.223
1689623879.178,-28.320,-28.320,-31.250,-35.645,27.344
1689623879.182,-25.879,-30.762,-33.203,-45.410,-160.156
1689623879.183,-40.039,-39.551,-31.738,-56.152,-76.660
1689623879.187,-43.457,-33.691,-31.250,-49.805,-95.703
1689623879.191,-31.738,-40.527,-27.344,-36.621,-106.934
1689623879.195,-40.527,-51.758,-28.320,-50.293,-114.258
1689623879.199,-48.340,-54.688,-40.039,-67.383,-7.812
1689623879.203,-45.898,-52.246,-40.527,-72.266,33.203
1689623879.207,-42.480,-49.805,-33.691,-56.152,-43.457
1689623879.210,-34.668,-44.434,-39.062,-31.738,4.395
1689623879.214,-30.762,-41.504,-39.551,-23.438,173.828
1689623879.218,-30.273,-46.387,-32.715,-33.691,427.246
1689623879.222,-36.133,-37.598,-30.762,-45.898,85.938
1689623879.226,-41.016,-35.156,-29.297,-37.109,-265.625
1689623879.228,-36.133,-45.898,-29.297,-35.156,-141.113
1689623879.232,-35.645,-59.570,-27.832,-47.363,-83.008
