timestamps,X,Y,Z
1690054054.436,-1.809,2.265,0.725
1690054054.436,-2.079,2.236,0.359
1690054054.436,-2.318,2.617,0.157
1690054054.484,-2.310,2.796,0.239
1690054054.484,-2.146,2.759,0.336
1690054054.484,-1.391,2.288,0.351
1690054054.531,-1.525,1.615,0.501
1690054054.531,-1.892,1.458,0.538
1690054054.531,-2.183,2.079,1.032
1690054054.586,-2.273,2.751,1.406
1690054054.586,-1.951,3.484,1.316
1690054054.586,-1.847,3.574,1.062
1690054054.646,-1.787,3.462,0.905
1690054054.646,-2.191,3.716,0.890
1690054054.646,-2.213,3.566,0.643
1690054054.721,-2.400,3.851,0.920
1690054054.721,-1.929,3.731,1.024
1690054054.721,-1.555,2.908,1.338
1690054054.768,-2.011,2.430,1.047
1690054054.768,-2.333,2.811,0.920
1690054054.768,-2.363,3.858,1.234
1690054054.828,-2.505,4.621,1.495
1690054054.828,-2.460,4.867,1.742
1690054054.828,-2.116,4.523,2.019
1690054054.870,-1.555,3.851,1.540
1690054054.870,-1.772,3.544,1.099
1690054054.870,-1.959,3.110,0.710
1690054054.931,-2.153,3.208,0.665
1690054054.931,-2.146,3.125,0.972
1690054054.931,-2.408,3.417,1.361
1690054054.991,-2.243,3.155,1.712
1690054054.991,-2.512,2.834,2.049
1690054054.991,-2.774,2.856,1.802
1690054055.051,-3.043,2.841,1.548
1690054055.051,-2.722,2.908,1.608
1690054055.051,-2.064,2.953,2.056
1690054055.096,-1.817,2.991,2.213
1690054055.096,-1.884,3.140,1.809
1690054055.096,-2.370,3.021,1.383
1690054055.156,-2.056,2.923,0.994
1690054055.156,-1.936,3.282,1.062
1690054055.156,-2.026,3.365,1.077
1690054055.216,-1.951,3.267,1.136
1690054055.216,-1.981,3.200,1.391
1690054055.216,-2.101,2.946,1.488
1690054055.277,-2.079,2.415,1.353
1690054055.277,-2.071,2.004,1.361
1690054055.277,-2.236,2.213,1.817
1690054055.324,-2.609,2.325,2.198
1690054055.324,-2.901,2.273,2.213
1690054055.324,-2.886,2.206,1.847
1690054055.381,-2.737,2.707,1.600
1690054055.381,-2.430,3.387,1.465
1690054055.381,-2.437,4.082,1.705
1690054055.441,-2.168,4.538,1.809
1690054055.441,-1.884,4.636,1.899
1690054055.441,-1.563,4.613,1.832
1690054055.501,-0.942,4.643,1.750
1690054055.501,-0.935,4.239,1.914
1690054055.501,-1.854,3.873,1.981
1690054055.561,-2.819,3.910,1.323
1690054055.561,-3.933,3.768,1.548
1690054055.561,-4.254,4.000,2.011
1690054055.609,-4.023,4.209,2.609
1690054055.609,-3.245,4.464,2.774
1690054055.609,-3.095,3.910,2.385
1690054055.666,-2.714,3.170,1.996
1690054055.666,-1.944,2.280,1.353
1690054055.666,-1.548,2.251,1.144
1690054055.726,-1.421,2.609,0.748
1690054055.726,-1.436,3.140,0.538
1690054055.726,-1.899,3.260,0.733
1690054055.786,-2.041,2.938,0.860
1690054055.786,-2.056,2.370,0.785
1690054055.786,-2.654,2.108,0.232
1690054055.876,-2.871,2.310,0.374
1690054055.876,-2.991,2.475,0.793
1690054055.876,-2.550,2.826,1.002
1690054055.891,-2.131,3.118,0.890
1690054055.891,-2.280,3.357,0.875
1690054055.891,-2.116,3.454,0.650
1690054055.951,-1.779,3.335,0.307
1690054055.951,-2.049,3.417,0.097
1690054055.951,-2.138,3.522,0.090
1690054056.011,-2.408,3.581,0.344
1690054056.011,-2.236,2.901,0.815
1690054056.011,-1.705,2.213,0.965
1690054056.056,-1.772,1.802,1.241
1690054056.056,-2.236,1.637,1.645
1690054056.056,-2.280,1.757,1.353
1690054056.121,-2.198,1.966,1.196
1690054056.121,-2.079,2.393,0.979
1690054056.121,-2.086,2.961,0.643
1690054056.176,-2.393,3.731,0.531
1690054056.176,-2.714,4.247,0.568
1690054056.176,-2.789,4.419,0.606
1690054056.236,-2.901,4.733,0.920
1690054056.236,-2.879,4.456,1.144
1690054056.236,-2.856,3.955,1.391
1690054056.297,-2.639,3.813,1.854
1690054056.297,-2.019,3.342,2.393
1690054056.297,-1.712,2.796,2.400
1690054056.341,-2.086,2.774,2.041
1690054056.341,-2.520,3.387,1.974
1690054056.341,-2.333,3.880,2.056
1690054056.406,-2.019,4.023,2.168
1690054056.406,-1.750,4.374,1.936
1690054056.406,-1.637,4.733,1.488
1690054056.460,-1.615,4.509,1.047
1690054056.460,-1.510,3.940,1.024
1690054056.460,-1.181,3.237,1.136
1690054056.521,-1.353,2.864,0.994
1690054056.521,-1.712,2.617,0.994
1690054056.521,-1.914,2.879,1.144
1690054056.566,-2.236,3.297,1.084
1690054056.566,-2.288,3.335,1.039
1690054056.566,-2.505,3.178,0.897
1690054056.626,-3.110,3.290,0.710
1690054056.626,-2.983,3.282,0.561
1690054056.626,-2.176,3.223,0.366
1690054056.689,-1.936,3.559,0.598
1690054056.689,-1.712,3.417,0.389
1690054056.689,-2.071,3.626,0.359
1690054056.745,-2.168,3.679,0.135
1690054056.745,-2.288,3.888,0.209
1690054056.745,-2.333,4.052,0.576
1690054056.791,-2.191,4.023,-0.030
1690054056.791,-2.280,3.551,-0.292
1690054056.791,-2.108,3.409,-0.322
1690054056.851,-2.101,3.245,0.217
1690054056.851,-2.236,3.155,0.269
1690054056.851,-2.176,3.095,0.411
1690054056.911,-2.131,3.469,0.867
1690054056.911,-2.385,3.514,1.032
1690054056.911,-2.505,3.821,0.852
1690054056.974,-2.445,4.015,0.553
1690054056.974,-2.273,4.112,0.568
1690054056.974,-2.280,4.165,0.471
1690054057.031,-2.228,4.396,0.351
1690054057.031,-2.168,3.873,-0.052
1690054057.031,-1.929,3.641,-0.090
1690054057.090,-1.742,3.432,-0.351
1690054057.090,-1.630,3.065,-0.785
1690054057.090,-2.026,2.677,-0.695
1690054057.135,-2.026,2.228,-0.561
1690054057.135,-1.922,1.682,-0.135
1690054057.135,-2.146,1.391,0.381
1690054057.211,-2.318,0.942,0.516
1690054057.211,-2.744,1.159,0.090
1690054057.211,-3.297,2.131,0.194
1690054057.246,-2.841,2.684,0.344
1690054057.246,-1.936,3.305,0.307
1690054057.246,-1.622,3.701,0.336
1690054057.300,-1.279,3.686,0.127
1690054057.300,-1.413,3.581,0.277
1690054057.300,-1.503,3.080,-0.052
1690054057.361,-1.570,2.849,0.164
1690054057.361,-1.630,2.826,0.217
1690054057.361,-1.667,2.542,0.142
1690054057.421,-2.019,2.363,0.606
1690054057.421,-2.370,2.213,0.665
1690054057.421,-2.475,1.996,0.920
1690054057.484,-2.647,1.914,0.785
1690054057.484,-2.901,2.333,0.673
1690054057.484,-2.654,2.938,0.950
1690054057.531,-2.116,3.095,1.338
1690054057.531,-1.600,3.484,1.914
1690054057.531,-1.585,3.753,1.540
1690054057.585,-1.802,3.798,0.927
1690054057.585,-1.630,3.679,0.292
1690054057.585,-1.735,3.529,0.187
1690054057.646,-1.742,3.581,0.269
1690054057.646,-1.966,3.335,0.247
1690054057.646,-1.787,2.983,0.336
1690054057.706,-1.981,2.968,0.381
1690054057.706,-2.041,2.871,0.366
1690054057.706,-1.914,3.028,0.366
1690054057.768,-1.854,3.230,0.329
1690054057.768,-2.123,3.350,0.060
1690054057.768,-1.757,3.544,-0.082
1690054057.814,-1.690,3.619,-0.232
1690054057.814,-1.391,3.679,-0.090
1690054057.814,-1.421,4.075,0.396
1690054057.889,-1.398,4.187,0.770
1690054057.889,-1.652,4.217,1.264
1690054057.889,-2.116,4.090,1.540
1690054057.931,-1.899,3.708,1.353
1690054057.931,-1.951,3.821,1.436
1690054057.931,-2.183,3.529,1.024
1690054057.991,-1.974,3.118,0.912
1690054057.991,-2.011,2.707,0.942
1690054057.991,-2.131,2.737,0.710
1690054058.050,-2.138,2.781,1.009
1690054058.050,-2.123,2.280,1.144
1690054058.050,-2.422,2.318,0.680
1690054058.097,-3.013,2.609,0.247
1690054058.097,-2.908,3.701,0.322
1690054058.097,-2.565,4.486,1.107
1690054058.155,-2.138,4.778,1.488
1690054058.155,-1.922,4.464,1.682
1690054058.155,-2.161,3.708,1.069
1690054058.216,-2.251,3.118,0.807
1690054058.216,-2.303,3.193,0.695
1690054058.216,-2.370,3.424,0.688
1690054058.276,-2.437,3.252,0.658
1690054058.276,-2.475,3.140,0.471
1690054058.276,-2.273,3.118,0.516
1690054058.324,-2.318,2.707,0.538
1690054058.324,-2.766,2.662,0.643
1690054058.324,-2.617,2.527,0.411
1690054058.380,-2.198,2.542,0.845
1690054058.380,-1.540,2.789,1.017
1690054058.380,-1.181,2.579,0.837
1690054058.440,-1.480,2.953,1.122
1690054058.440,-1.742,2.886,0.942
1690054058.440,-2.079,3.058,0.897
1690054058.501,-2.034,3.080,0.755
1690054058.501,-1.922,2.879,0.665
1690054058.501,-2.295,3.245,0.733
1690054058.561,-2.437,2.864,0.374
1690054058.561,-2.086,3.051,0.254
1690054058.561,-1.772,3.185,-0.082
1690054058.609,-1.406,3.245,-0.299
1690054058.609,-1.413,3.454,-0.209
1690054058.609,-1.705,3.611,0.112
1690054058.665,-1.765,4.142,0.703
1690054058.665,-2.019,4.307,1.122
1690054058.665,-1.742,4.613,1.279
1690054058.725,-2.034,4.688,1.107
1690054058.725,-2.422,4.673,1.099
1690054058.725,-2.086,4.000,0.875
1690054058.771,-2.041,3.813,1.174
1690054058.771,-2.094,3.514,1.398
1690054058.771,-2.213,3.537,1.578
1690054058.832,-2.041,3.484,1.615
1690054058.832,-1.705,3.163,1.533
1690054058.832,-1.817,2.864,1.600
1690054058.908,-1.989,2.647,1.353
1690054058.908,-2.019,2.408,1.563
1690054058.908,-1.966,2.138,1.877
1690054058.950,-2.280,2.609,1.548
1690054058.950,-2.542,3.335,1.465
1690054058.950,-2.677,4.008,1.301
1690054058.996,-2.437,4.426,1.211
1690054058.996,-2.019,4.277,0.927
1690054058.996,-1.922,4.396,0.972
1690054059.055,-1.690,4.030,0.875
1690054059.055,-1.570,3.753,0.523
1690054059.055,-1.750,3.656,0.561
1690054059.121,-1.727,3.282,0.479
1690054059.121,-2.071,2.789,0.284
1690054059.121,-2.228,2.617,0.628
