timestamps,X,Y,Z
1692032795.985,-0.174,0.048,0.983
1692032795.985,-0.176,0.050,0.983
1692032795.985,-0.180,0.049,0.987
1692032796.030,-0.179,0.048,0.986
1692032796.030,-0.180,0.046,0.990
1692032796.030,-0.180,0.049,0.986
1692032796.090,-0.178,0.048,0.984
1692032796.090,-0.177,0.047,0.986
1692032796.090,-0.174,0.046,0.987
1692032796.151,-0.173,0.045,0.991
1692032796.151,-0.172,0.051,0.986
1692032796.151,-0.174,0.050,0.990
1692032796.211,-0.174,0.050,0.988
1692032796.211,-0.175,0.046,0.986
1692032796.211,-0.177,0.048,0.987
1692032796.255,-0.176,0.050,0.985
1692032796.255,-0.180,0.048,0.982
1692032796.255,-0.177,0.047,0.984
1692032796.315,-0.180,0.046,0.989
1692032796.315,-0.177,0.048,0.984
1692032796.315,-0.174,0.044,0.986
1692032796.375,-0.176,0.045,0.984
1692032796.375,-0.175,0.050,0.986
1692032796.375,-0.172,0.048,0.986
1692032796.434,-0.174,0.052,0.992
1692032796.434,-0.173,0.045,0.984
1692032796.434,-0.175,0.045,0.983
1692032796.481,-0.178,0.049,0.987
1692032796.481,-0.180,0.050,0.984
1692032796.481,-0.176,0.046,0.983
1692032796.540,-0.177,0.048,0.986
1692032796.540,-0.177,0.055,0.991
1692032796.540,-0.176,0.050,0.985
1692032796.600,-0.178,0.052,0.982
1692032796.600,-0.179,0.049,0.986
1692032796.600,-0.180,0.051,0.986
1692032796.659,-0.178,0.051,0.986
1692032796.659,-0.180,0.049,0.982
1692032796.659,-0.180,0.048,0.984
1692032796.710,-0.177,0.050,0.987
1692032796.710,-0.177,0.049,0.990
1692032796.710,-0.177,0.049,0.989
1692032796.765,-0.178,0.051,0.986
1692032796.765,-0.177,0.048,0.983
1692032796.765,-0.178,0.048,0.989
1692032796.825,-0.178,0.048,0.986
1692032796.825,-0.181,0.049,0.987
1692032796.825,-0.179,0.048,0.985
1692032796.885,-0.180,0.049,0.985
1692032796.885,-0.178,0.045,0.985
1692032796.885,-0.175,0.048,0.982
1692032796.948,-0.177,0.047,0.986
1692032796.948,-0.175,0.050,0.987
1692032796.948,-0.173,0.048,0.989
1692032796.994,-0.174,0.053,0.988
1692032796.994,-0.176,0.053,0.988
1692032796.994,-0.175,0.053,0.986
1692032797.050,-0.177,0.053,0.988
1692032797.050,-0.179,0.053,0.987
1692032797.050,-0.180,0.050,0.986
1692032797.110,-0.181,0.051,0.985
1692032797.110,-0.177,0.052,0.982
1692032797.110,-0.176,0.050,0.985
1692032797.185,-0.179,0.052,0.988
1692032797.185,-0.178,0.049,0.988
1692032797.185,-0.178,0.051,0.985
1692032797.231,-0.179,0.050,0.987
1692032797.231,-0.178,0.050,0.982
1692032797.231,-0.177,0.051,0.987
1692032797.291,-0.173,0.053,0.990
1692032797.291,-0.168,0.053,0.986
1692032797.291,-0.171,0.051,0.985
1692032797.337,-0.177,0.047,0.990
1692032797.337,-0.180,0.047,0.985
1692032797.337,-0.189,0.047,0.985
1692032797.411,-0.192,0.045,0.981
1692032797.411,-0.195,0.044,0.985
1692032797.411,-0.197,0.039,0.983
1692032797.456,-0.195,0.041,0.979
1692032797.456,-0.194,0.039,0.980
1692032797.456,-0.193,0.045,0.984
1692032797.515,-0.190,0.043,0.986
1692032797.515,-0.186,0.051,0.988
1692032797.515,-0.186,0.046,0.988
1692032797.578,-0.188,0.050,0.987
1692032797.578,-0.188,0.048,0.986
1692032797.578,-0.188,0.049,0.986
1692032797.620,-0.189,0.051,0.985
1692032797.620,-0.191,0.049,0.984
1692032797.620,-0.188,0.047,0.986
1692032797.680,-0.187,0.046,0.983
1692032797.680,-0.189,0.047,0.979
1692032797.680,-0.187,0.043,0.981
1692032797.725,-0.203,0.039,0.970
1692032797.725,-0.204,0.040,0.976
1692032797.725,-0.205,0.044,0.982
1692032797.785,-0.197,0.053,0.982
1692032797.785,-0.192,0.055,0.985
1692032797.785,-0.192,0.053,0.982
1692032797.848,-0.192,0.057,0.982
1692032797.848,-0.195,0.055,0.982
1692032797.848,-0.191,0.055,0.983
1692032797.893,-0.190,0.057,0.985
1692032797.893,-0.190,0.057,0.980
1692032797.893,-0.186,0.062,0.980
1692032797.950,-0.179,0.063,0.988
1692032797.950,-0.173,0.068,0.990
1692032797.950,-0.179,0.070,0.989
1692032798.025,-0.177,0.068,0.991
1692032798.025,-0.173,0.068,0.991
1692032798.025,-0.169,0.068,0.984
1692032798.070,-0.174,0.068,0.990
1692032798.070,-0.176,0.069,0.986
1692032798.070,-0.178,0.064,0.986
1692032798.130,-0.174,0.074,0.986
1692032798.130,-0.177,0.076,0.986
1692032798.130,-0.179,0.074,0.994
1692032798.190,-0.178,0.067,0.988
1692032798.190,-0.187,0.070,0.987
1692032798.190,-0.187,0.071,0.987
1692032798.237,-0.194,0.067,0.983
1692032798.237,-0.190,0.067,0.980
1692032798.237,-0.195,0.065,0.981
1692032798.297,-0.194,0.063,0.978
1692032798.297,-0.193,0.064,0.985
1692032798.297,-0.192,0.063,0.984
1692032798.355,-0.192,0.062,0.986
1692032798.355,-0.189,0.061,0.984
1692032798.355,-0.182,0.060,0.980
1692032798.414,-0.180,0.059,0.986
1692032798.414,-0.178,0.061,0.989
1692032798.414,-0.181,0.061,0.989
1692032798.463,-0.180,0.060,0.985
1692032798.463,-0.181,0.057,0.983
1692032798.463,-0.182,0.056,0.982
1692032798.520,-0.181,0.056,0.982
1692032798.520,-0.186,0.051,0.983
1692032798.520,-0.188,0.051,0.982
1692032798.582,-0.191,0.055,0.978
1692032798.582,-0.191,0.059,0.982
1692032798.582,-0.191,0.054,0.985
1692032798.640,-0.192,0.055,0.985
1692032798.640,-0.188,0.056,0.984
1692032798.640,-0.187,0.058,0.986
1692032798.699,-0.188,0.057,0.985
1692032798.699,-0.188,0.060,0.986
1692032798.699,-0.189,0.061,0.983
1692032798.748,-0.187,0.057,0.982
1692032798.748,-0.186,0.057,0.983
1692032798.748,-0.186,0.061,0.985
1692032798.805,-0.187,0.055,0.984
1692032798.805,-0.189,0.057,0.978
1692032798.805,-0.188,0.056,0.986
1692032798.867,-0.191,0.055,0.982
1692032798.867,-0.190,0.058,0.978
1692032798.867,-0.187,0.056,0.979
1692032798.940,-0.188,0.062,0.987
1692032798.940,-0.188,0.062,0.984
1692032798.940,-0.188,0.059,0.983
1692032798.988,-0.188,0.059,0.980
1692032798.988,-0.189,0.063,0.985
1692032798.988,-0.186,0.063,0.985
1692032799.047,-0.187,0.061,0.986
1692032799.047,-0.190,0.059,0.982
1692032799.047,-0.185,0.061,0.984
1692032799.105,-0.188,0.062,0.981
1692032799.105,-0.191,0.057,0.983
1692032799.105,-0.189,0.058,0.980
1692032799.165,-0.192,0.055,0.982
1692032799.165,-0.192,0.059,0.981
1692032799.165,-0.191,0.055,0.982
1692032799.240,-0.192,0.061,0.984
