timestamps,TP9,AF7,AF8,TP10,Right AUX
1685724202.977,-57.617,-30.762,-28.809,-63.477,-240.234
1685724202.981,-42.480,-47.852,-35.156,-44.922,-57.129
1685724202.985,-10.254,-39.551,-30.273,-24.902,-58.105
1685724202.989,-20.508,-24.414,-9.766,-35.156,-188.477
1685724202.993,-23.926,-51.270,-14.648,-28.320,-197.266
1685724202.997,-31.250,-59.570,-16.602,-5.371,115.234
1685724203.001,-41.992,-52.734,-20.020,-6.836,170.898
1685724203.004,-3.418,-56.641,-44.434,-8.789,-61.035
1685724203.008,7.324,-50.293,-39.551,0.488,-152.344
1685724203.012,-4.883,-46.387,-22.949,20.020,97.168
1685724203.016,15.625,-51.758,-59.570,17.090,113.770
1685724203.020,13.184,-50.781,-74.219,8.789,5.859
1685724203.021,-3.906,-39.551,-33.691,26.855,63.965
1685724203.025,-0.488,-45.410,-9.766,34.668,215.820
1685724203.029,-1.465,-55.664,-42.969,16.602,-3.418
1685724203.033,-1.953,-52.246,-45.898,32.227,-260.254
1685724203.037,31.738,-45.410,-29.297,49.316,-149.902
1685724203.041,21.973,-27.832,-41.016,31.738,-58.594
1685724203.045,14.160,-8.301,-38.086,13.672,-73.242
1685724203.048,-6.836,-27.832,-39.551,-8.789,-228.027
1685724203.052,-20.020,-47.363,-34.668,-9.766,-128.418
1685724203.056,27.344,-26.855,-13.672,24.414,262.695
1685724203.060,7.324,-26.855,-27.832,8.301,46.387
1685724203.064,7.812,-28.320,-38.086,-3.906,-184.570
1685724203.067,38.086,-20.020,-29.785,15.137,-125.488
1685724203.071,34.668,-36.621,-25.879,25.879,-116.699
1685724203.075,2.441,-34.180,-29.297,47.363,-64.453
1685724203.079,-17.578,-23.438,-33.203,47.363,-38.574
1685724203.083,0.977,-21.484,-32.227,17.090,45.410
1685724203.087,-8.301,-15.625,-41.992,-10.254,15.137
1685724203.091,-20.020,-21.973,-50.781,3.418,-115.723
1685724203.094,4.395,-22.461,-30.762,11.719,-91.797
1685724203.098,28.320,-15.137,-19.531,0.000,201.660
1685724203.102,4.395,-18.066,-19.531,12.695,199.707
1685724203.106,-29.297,-15.625,-4.883,14.160,-174.316
1685724203.110,-12.695,-18.066,-1.465,-6.836,-137.695
1685724203.112,20.020,-22.949,-18.066,20.996,117.676
1685724203.116,5.371,-17.090,-27.344,32.715,18.555
1685724203.120,-21.973,-15.625,-27.832,1.465,-141.602
1685724203.124,-14.160,-18.066,-37.109,-22.949,-135.742
1685724203.128,0.977,-13.184,-30.273,-7.324,5.371
1685724203.132,-2.930,-17.578,-29.297,-4.395,54.688
1685724203.136,1.465,-30.273,-54.199,-40.039,-5.859
1685724203.139,-0.977,-42.480,-51.758,-30.273,-40.039
1685724203.143,-27.344,-41.992,-39.551,-15.625,223.633
1685724203.147,-25.879,-22.949,-25.879,0.000,71.777
1685724203.151,-44.434,-12.207,-7.812,12.207,-192.383
1685724203.155,-30.762,-10.742,-6.348,31.738,-61.035
1685724203.156,-5.859,-4.883,-7.812,17.578,-44.434
1685724203.160,-13.672,-19.531,-22.949,-5.859,-148.438
1685724203.164,-13.184,-37.109,-35.156,5.859,-181.641
1685724203.168,3.906,-28.320,-34.180,5.859,-98.633
1685724203.172,8.789,-13.672,-23.926,9.277,-12.207
1685724203.176,-5.371,-12.207,-14.160,-0.488,48.828
1685724203.180,-22.461,-20.996,-16.602,-13.672,1.465
1685724203.183,-27.344,-30.273,-20.996,-25.391,241.699
1685724203.187,6.348,-23.438,-19.043,0.977,392.578
1685724203.191,11.230,-14.160,-8.301,33.691,-1.953
1685724203.195,-44.434,-26.367,-22.461,3.418,-137.207
1685724203.199,-51.758,-35.156,-36.621,-22.461,-69.824
1685724203.201,-5.859,-32.227,-40.039,-18.066,-95.703
1685724203.205,-3.418,-30.273,-34.668,10.254,-175.293
1685724203.209,-20.020,-24.902,-22.949,-4.883,-97.656
1685724203.213,-14.160,-11.230,-27.832,-33.203,116.699
1685724203.217,-4.883,-11.230,-28.809,-29.297,-65.918
1685724203.221,-41.016,-30.273,-26.855,-26.367,-207.031
1685724203.225,-46.387,-26.855,-23.926,-2.930,-28.809
1685724203.228,3.906,-20.020,-24.414,-13.672,279.785
1685724203.232,-21.484,-23.926,-26.367,-23.438,67.871
1685724203.236,-28.809,-26.367,-31.738,5.371,-161.133
1685724203.240,-0.488,-20.020,-41.016,8.789,-88.867
1685724203.244,-14.648,-11.230,-38.086,3.906,-106.934
1685724203.261,-31.250,-10.742,-20.508,5.859,-160.156
1685724203.265,-38.574,-22.461,-7.812,-11.719,-115.234
1685724203.269,-46.387,-35.156,-16.113,-54.688,-78.613
1685724203.273,-52.246,-41.016,-19.531,-49.805,-142.578
1685724203.277,-52.246,-44.434,-20.996,-16.113,-241.699
1685724203.281,-55.176,-40.039,-19.531,-12.207,-136.230
1685724203.285,-43.945,-27.344,-19.531,-12.207,275.879
1685724203.288,-28.809,-20.996,-18.555,-27.344,227.539
1685724203.292,-19.531,-32.715,-7.812,-38.086,-207.031
1685724203.296,2.930,-41.504,-12.207,-31.738,-181.641
1685724203.300,-6.836,-24.902,-12.695,-7.324,-42.480
1685724203.304,-38.086,-20.020,-11.719,-8.789,6.348
1685724203.293,-29.785,-23.438,-22.949,-33.203,6.348
1685724203.297,-36.621,-20.508,-33.203,-28.320,-25.879
1685724203.301,-27.344,-24.414,-24.414,-16.602,201.660
1685724203.305,-19.043,-31.250,-25.879,-33.691,96.191
1685724203.309,-30.762,-42.969,-42.480,-20.996,-111.816
1685724203.313,-28.320,-51.270,-36.133,-9.766,-10.254
1685724203.317,-33.691,-43.457,-27.832,-26.367,48.340
1685724203.320,-21.973,-22.461,-22.949,-32.227,-83.496
1685724203.324,-10.254,-1.465,-16.602,-15.625,-178.223
1685724203.328,-16.602,-3.418,-18.555,0.488,3.906
1685724203.332,12.207,0.488,-17.090,5.859,325.195
