timestamps,X,Y,Z
1692141283.335,-0.132,0.061,0.975
1692141283.335,-0.128,0.058,0.979
1692141283.335,-0.123,0.065,0.982
1692141283.395,-0.119,0.064,0.986
1692141283.395,-0.116,0.064,0.990
1692141283.395,-0.114,0.062,1.000
1692141283.441,-0.116,0.058,1.002
1692141283.441,-0.112,0.056,1.006
1692141283.441,-0.113,0.050,1.007
1692141283.517,-0.106,0.052,1.006
1692141283.517,-0.106,0.050,0.999
1692141283.517,-0.107,0.044,1.001
1692141283.561,-0.106,0.043,0.995
1692141283.561,-0.107,0.043,0.989
1692141283.561,-0.107,0.046,0.994
1692141283.620,-0.106,0.046,0.985
1692141283.620,-0.110,0.050,0.988
1692141283.620,-0.109,0.051,0.985
1692141283.681,-0.113,0.049,0.989
1692141283.681,-0.114,0.055,0.995
1692141283.681,-0.122,0.056,0.999
1692141283.726,-0.120,0.058,0.994
1692141283.726,-0.122,0.062,0.994
1692141283.726,-0.123,0.067,0.992
1692141283.786,-0.125,0.066,0.996
1692141283.786,-0.123,0.067,0.991
1692141283.786,-0.121,0.065,0.992
1692141283.845,-0.120,0.067,0.998
1692141283.845,-0.121,0.065,0.993
1692141283.845,-0.118,0.065,0.994
1692141283.935,-0.112,0.062,0.999
1692141283.935,-0.110,0.064,1.004
1692141283.935,-0.107,0.061,1.002
1692141283.951,-0.107,0.057,1.003
1692141283.951,-0.110,0.055,1.001
1692141283.951,-0.108,0.054,0.997
1692141284.011,-0.108,0.053,0.993
1692141284.011,-0.110,0.051,1.003
1692141284.011,-0.109,0.052,1.002
1692141284.071,-0.107,0.051,0.999
1692141284.071,-0.106,0.047,0.994
1692141284.071,-0.108,0.045,0.992
1692141284.130,-0.107,0.044,0.998
1692141284.130,-0.108,0.045,0.998
1692141284.130,-0.110,0.036,0.993
1692141284.191,-0.105,0.037,0.996
1692141284.191,-0.103,0.040,0.991
1692141284.191,-0.100,0.035,0.992
1692141284.237,-0.096,0.035,0.997
1692141284.237,-0.091,0.038,0.997
1692141284.237,-0.090,0.037,0.994
1692141284.296,-0.089,0.037,0.998
1692141284.296,-0.091,0.039,0.996
1692141284.296,-0.091,0.039,0.998
1692141284.370,-0.095,0.038,0.996
1692141284.370,-0.094,0.039,0.997
1692141284.370,-0.101,0.043,0.995
1692141284.401,-0.100,0.040,0.996
