timestamps,TP9,AF7,AF8,TP10,Right AUX
1690121966.433,-39.062,-58.594,-43.945,65.430,-34.668
1690121966.437,-33.691,-45.410,-42.969,139.648,118.652
1690121966.441,-7.324,-51.758,-36.133,-65.430,-67.383
1690121966.445,-95.215,-55.664,-36.133,-244.629,-160.645
1690121966.449,-47.363,-45.898,-40.527,-179.199,-175.293
1690121966.453,-0.977,-42.480,-36.133,57.129,-65.430
1690121966.457,-18.555,-59.570,-44.922,174.316,190.430
1690121966.460,-0.488,-79.102,-46.875,-11.230,284.668
1690121966.464,-86.914,-72.266,-62.988,-235.352,93.262
1690121966.468,-72.754,-51.758,-83.496,-224.121,-364.258
1690121966.472,-21.973,-55.664,-60.547,5.859,-248.047
1690121966.476,-36.621,-67.871,-46.875,159.180,127.441
1690121966.479,-14.160,-72.266,-53.223,-12.207,48.340
1690121966.483,-90.820,-65.430,-45.410,-228.516,-230.469
1690121966.487,-73.730,-56.641,-37.598,-203.613,-239.746
1690121966.491,-24.414,-44.434,-38.086,-3.418,52.734
1690121966.495,-54.199,-37.109,-48.340,166.016,225.586
1690121966.499,0.977,-47.363,-56.152,44.434,80.078
1690121966.503,-52.734,-58.105,-48.828,-188.477,-16.113
1690121966.506,-77.637,-56.152,-44.434,-210.938,41.504
1690121966.510,-43.945,-43.945,-59.082,-52.734,-29.297
1690121966.514,-54.199,-33.203,-51.758,150.391,23.926
1690121966.518,11.719,-49.805,-38.086,83.984,148.926
1690121966.522,-47.363,-66.406,-45.410,-186.523,19.043
1690121966.523,-100.586,-59.570,-63.477,-267.578,-348.145
1690121966.527,-32.715,-60.547,-58.594,-79.590,-348.145
1690121966.531,-49.316,-66.406,-49.805,142.578,22.949
1690121966.535,-10.254,-63.477,-55.664,89.844,111.816
1690121966.539,-47.852,-53.711,-56.152,-160.645,-154.297
1690121966.543,-110.352,-49.316,-50.781,-254.395,-272.461
1690121966.547,-50.293,-58.594,-43.457,-102.539,125.488
1690121966.550,-69.824,-59.082,-47.363,112.305,404.297
1690121966.554,-28.809,-48.828,-55.664,92.285,187.500
1690121966.558,-34.668,-56.152,-54.688,-146.484,-113.281
1690121966.562,-119.141,-63.965,-60.059,-268.066,-243.164
1690121966.566,-55.176,-54.199,-56.152,-139.648,-183.105
1690121966.569,-42.480,-42.969,-41.992,95.215,-53.223
1690121966.573,-32.715,-60.059,-37.598,134.766,116.211
1690121966.577,-35.156,-63.965,-47.363,-97.656,94.727
1690121966.581,-118.164,-42.480,-49.316,-277.344,-251.953
1690121966.585,-66.406,-36.621,-36.621,-153.809,-384.277
1690121966.589,-36.133,-46.875,-29.297,109.863,89.844
