timestamps,TP9,AF7,AF8,TP10,Right AUX
1689802302.584,-4.395,-21.484,-41.016,-3.906,-176.270
1689802302.588,-2.930,-25.391,-37.109,4.883,-152.344
1689802302.592,1.953,-25.391,-32.715,3.906,-122.559
1689802302.596,2.441,-24.414,-38.086,-12.207,-135.254
1689802302.600,6.836,-28.809,-45.410,-18.555,-165.527
1689802302.604,9.766,-33.203,-42.969,-3.906,-57.129
1689802302.608,-1.953,-36.133,-50.293,10.254,112.305
1689802302.611,0.000,-35.645,-53.223,11.719,430.664
1689802302.615,0.488,-37.109,-43.945,-14.648,200.195
1689802302.619,-7.324,-36.133,-34.668,-28.809,-203.125
1689802302.623,-10.742,-35.645,-39.062,-8.789,-27.344
1689802302.627,-16.113,-45.898,-50.781,6.836,80.078
1689802302.629,-17.578,-50.781,-50.293,8.301,-77.148
1689802302.633,-12.207,-48.828,-43.457,-14.160,-119.629
1689802302.637,-7.324,-46.875,-40.527,-30.762,-56.152
1689802302.641,-17.090,-51.758,-42.969,-20.508,-56.152
1689802302.645,-26.855,-57.129,-39.062,-7.324,-116.211
1689802302.649,-20.508,-52.734,-42.969,-7.812,-86.426
1689802302.653,-12.695,-50.781,-46.875,-18.555,136.719
1689802302.656,-27.344,-54.199,-47.363,-36.621,128.418
1689802302.660,-34.668,-54.199,-47.363,-39.551,-145.508
1689802302.664,-22.461,-49.805,-41.504,-16.602,-77.637
1689802302.668,-17.578,-45.410,-48.828,-2.930,61.035
1689802302.672,-17.090,-46.875,-50.781,-22.949,-85.449
1689802302.674,-16.602,-41.992,-39.551,-39.551,-225.586
1689802302.678,-13.672,-36.133,-33.203,-27.832,-188.477
1689802302.682,-2.441,-36.621,-29.785,-0.977,-5.859
1689802302.686,2.930,-37.598,-29.785,10.742,-13.184
1689802302.690,-1.953,-35.645,-25.879,-5.371,-137.207
1689802302.694,-10.254,-30.273,-23.438,-21.484,20.508
1689802302.698,-10.254,-30.273,-21.973,-18.555,217.773
1689802302.701,3.418,-35.156,-25.391,3.418,24.414
1689802302.705,-1.465,-43.457,-24.414,15.625,-140.137
1689802302.709,-9.766,-45.410,-23.926,-0.977,-46.387
1689802302.713,2.930,-41.992,-37.109,-8.301,-13.672
1689802302.717,-0.977,-42.969,-39.551,4.883,-88.379
1689802302.733,-12.695,-44.922,-31.250,13.184,-66.895
1689802302.737,2.930,-44.434,-25.391,20.996,67.383
1689802302.741,-0.488,-44.434,-31.250,11.230,226.562
1689802302.745,-28.320,-40.039,-36.621,-35.156,-60.547
1689802302.749,-24.414,-34.180,-30.762,-39.551,-214.844
1689802302.753,-19.043,-39.062,-35.156,-11.230,45.898
1689802302.757,-11.719,-42.969,-31.250,12.207,102.539
1689802302.760,7.812,-35.645,-30.273,7.324,-41.992
1689802302.764,-5.371,-37.598,-41.992,-21.484,-153.320
1689802302.768,-26.855,-41.016,-34.180,-24.902,40.039
1689802302.772,-33.203,-35.156,-30.273,-13.672,17.578
1689802302.776,-25.391,-34.668,-31.738,-3.418,-158.691
1689802302.779,-20.996,-40.039,-33.691,-10.254,-100.586
1689802302.783,-24.902,-44.922,-28.320,-25.391,-62.012
1689802302.787,-20.996,-43.945,-18.555,-29.785,-98.145
1689802302.791,-12.695,-32.715,-19.531,-23.926,-147.461
1689802302.795,-2.930,-30.273,-28.809,2.930,-40.527
1689802302.799,5.371,-32.715,-37.109,16.113,223.633
1689802302.803,-1.465,-30.762,-39.551,-13.672,109.863
1689802302.806,-13.672,-28.809,-34.180,-42.969,-151.367
1689802302.810,-8.789,-28.809,-31.738,-14.160,-61.035
1689802302.814,-7.324,-33.203,-26.367,13.184,251.465
1689802302.818,-17.578,-33.691,-27.832,-8.301,80.566
1689802302.822,-20.996,-34.180,-33.691,-28.809,-121.582
1689802302.825,-14.160,-39.062,-28.809,-31.738,-69.336
1689802302.829,-5.859,-39.551,-25.391,-18.066,-0.977
1689802302.833,-14.160,-34.180,-27.832,0.000,-115.234
1689802302.837,-19.043,-33.203,-30.273,4.883,-147.461
1689802302.841,-12.207,-30.762,-28.320,-2.930,-48.340
1689802302.845,-13.672,-27.344,-31.738,-14.648,-22.949
1689802302.849,-12.695,-31.738,-31.250,-12.207,-59.082
1689802302.852,0.977,-31.738,-39.551,12.207,-113.281
1689802302.856,13.672,-25.391,-29.297,40.039,133.301
1689802302.860,6.348,-30.273,-11.719,14.648,208.984
1689802302.864,-4.395,-36.621,-18.066,-27.344,-156.250
1689802302.868,-23.438,-36.133,-18.555,-20.508,-195.312
1689802302.869,-28.809,-31.250,-22.949,-4.395,-51.270
1689802302.873,-11.230,-22.949,-30.762,2.441,-53.223
1689802302.877,-13.672,-25.879,-24.902,-7.812,-105.957
1689802302.881,-25.391,-29.785,-19.531,-26.855,-115.723
1689802302.885,-22.949,-31.250,-24.414,-27.344,-78.125
1689802302.889,-9.766,-35.156,-33.691,-3.418,-53.223
1689802302.893,1.465,-31.250,-37.598,7.812,-62.012
1689802302.896,20.996,-32.227,-37.598,8.301,-14.648
1689802302.900,35.645,-44.434,-30.762,20.508,273.926
1689802302.904,-5.371,-54.199,-19.531,-13.672,146.973
1689802302.908,-57.617,-49.805,-16.602,-42.969,-149.902
1689802302.912,-62.500,-48.340,-14.160,-33.203,82.520
1689802302.914,-92.285,-53.223,-17.090,-71.289,182.617
1689802302.918,-135.742,-57.129,-16.113,-124.023,-133.789
1689802302.922,-145.996,-56.641,-10.742,-137.207,-244.629
1689802302.926,-151.367,-56.152,-12.695,-138.184,-106.934
1689802302.930,-164.062,-57.129,-17.578,-143.555,-40.527
1689802302.934,-175.781,-57.129,-11.230,-165.039,-59.570
1689802302.938,-199.219,-57.129,-2.441,-208.984,-59.570
1689802302.941,-202.637,-57.129,-4.395,-219.238,95.703
1689802302.945,-182.129,-57.617,-18.066,-192.383,97.656
1689802302.949,-171.875,-55.176,-30.762,-176.758,-76.660
1689802302.953,-182.129,-49.316,-32.715,-190.918,-83.984
1689802302.957,-182.617,-57.617,-12.207,-211.914,-19.531
1689802302.959,-178.223,-56.152,-5.371,-212.402,-155.273
1689802302.963,-186.035,-52.734,-10.742,-194.824,-218.262
1689802302.967,-182.129,-54.199,10.742,-173.340,-117.188
1689802302.971,-172.852,-51.270,9.277,-167.969,-93.262
1689802302.975,-165.039,-57.129,-8.789,-170.898,-141.113
1689802302.979,-157.227,-62.500,-10.742,-174.316,-80.566
1689802302.983,-137.695,-64.941,-11.719,-158.691,46.875
1689802302.986,-117.676,-61.523,-12.207,-127.930,252.930
1689802302.990,-98.633,-52.246,-10.254,-114.746,102.051
1689802302.994,-79.590,-51.270,-13.672,-114.746,-128.418
1689802302.998,-85.449,-59.082,-24.902,-126.465,-109.863
1689802303.002,-85.938,-58.105,-30.762,-116.211,-12.207
1689802303.005,-65.430,-55.664,-32.715,-77.148,-47.363
1689802303.009,-52.246,-53.711,-28.320,-59.082,-103.516
1689802303.013,-41.016,-48.340,-20.996,-54.199,-0.977
1689802303.017,-44.922,-48.340,-25.879,-53.711,42.969
1689802303.021,-49.316,-46.387,-32.715,-68.359,-167.480
1689802303.025,-22.949,-38.574,-29.297,-41.504,-114.746
1689802303.029,2.930,-37.598,-26.855,-6.348,283.691
1689802303.032,4.883,-36.133,-31.250,-13.184,245.117
1689802303.036,-8.301,-34.180,-34.668,-34.180,-192.871
1689802303.040,-12.695,-41.504,-33.203,-34.668,-204.590
1689802303.044,-13.672,-48.828,-41.504,-12.695,-63.477
1689802303.048,-4.883,-45.898,-40.527,-5.859,-64.941
1689802303.051,3.906,-35.645,-44.922,-24.902,-139.160
1689802303.055,8.789,-40.527,-31.738,-43.457,-154.297
1689802303.059,-1.465,-45.410,-9.277,-43.457,-54.688
1689802303.063,-3.906,-45.898,-14.648,-23.438,-62.988
1689802303.067,-1.465,-47.363,-29.297,-3.418,-79.590
1689802303.071,1.953,-44.922,-30.762,2.441,61.035
1689802303.075,-0.977,-42.969,-31.738,-5.859,375.488
1689802303.078,-7.812,-40.039,-41.992,-15.137,177.734
1689802303.082,2.441,-42.969,-35.645,1.953,-140.137
1689802303.086,6.348,-41.016,-29.297,20.996,-77.148
1689802303.090,5.859,-29.785,-19.043,10.742,-44.922
1689802303.094,14.648,-23.438,-11.719,-2.930,-46.387
1689802303.109,-0.488,-22.949,-12.207,-19.043,-139.648
1689802303.113,4.395,-30.762,-10.254,-10.742,-53.223
1689802303.117,30.273,-32.715,-21.484,10.254,67.871
1689802303.121,21.484,-29.785,-20.996,1.953,-27.832
1689802303.125,12.207,-34.180,-10.742,-6.836,-117.676
1689802303.129,10.742,-40.527,-17.578,-7.812,100.586
1689802303.133,3.418,-40.039,-24.414,6.836,247.559
1689802303.136,13.184,-37.598,-22.461,24.902,26.367
1689802303.140,21.484,-41.016,-24.414,28.809,-78.125
1689802303.144,16.113,-34.668,-17.578,22.461,110.840
1689802303.148,10.254,-30.273,-17.578,-1.465,13.184
1689802303.152,8.789,-36.621,-25.879,-0.488,-240.234
1689802303.169,16.113,-43.945,-26.367,32.715,-147.461
1689802303.173,20.508,-41.992,-35.156,40.527,-50.293
1689802303.177,16.113,-37.109,-38.574,15.137,-100.586
1689802303.181,7.812,-41.016,-21.973,-6.348,-189.453
1689802303.185,-3.418,-42.480,-14.648,1.953,-146.484
1689802303.189,-2.441,-46.875,-21.484,19.043,77.637
1689802303.193,15.137,-47.852,-25.879,20.996,125.488
1689802303.196,25.879,-42.969,-31.250,13.184,1.465
1689802303.200,16.602,-39.551,-45.898,-1.465,31.250
1689802303.204,12.695,-44.922,-35.156,-2.441,273.926
1689802303.208,0.977,-51.758,-20.508,6.348,160.645
1689802303.212,10.742,-46.875,-19.531,18.066,-70.312
1689802303.199,31.738,-39.062,-10.742,20.508,8.789
1689802303.203,15.625,-43.457,-13.184,2.930,15.137
1689802303.207,-2.930,-50.293,-21.973,-9.766,-185.059
1689802303.211,0.488,-45.410,-17.578,14.648,-195.801
1689802303.215,21.484,-41.504,-20.996,34.180,-57.617
1689802303.219,16.602,-42.969,-24.902,20.996,-11.719
1689802303.223,0.000,-43.945,-25.391,-5.859,-128.418
1689802303.226,-5.371,-42.969,-29.785,-10.742,-167.480
1689802303.230,11.719,-41.016,-27.344,14.648,-5.859
1689802303.234,32.227,-34.180,-32.227,34.668,-3.906
1689802303.238,28.320,-35.156,-38.574,25.391,-17.578
1689802303.242,2.930,-37.109,-24.902,-6.348,-116.699
1689802303.274,-2.441,-40.039,-13.672,-4.883,145.996
1689802303.278,0.977,-50.293,-17.090,10.742,207.031
1689802303.282,-10.742,-40.039,-22.949,13.184,-167.969
1689802303.286,-2.930,-31.250,-21.973,10.742,-160.156
1689802303.290,-0.977,-34.668,-25.879,-8.789,-146.484
1689802303.294,-1.465,-33.691,-28.320,-9.277,-96.680
1689802303.298,17.578,-31.738,-32.227,19.043,-63.477
1689802303.301,43.945,-32.227,-35.156,69.336,-32.715
1689802303.305,47.363,-22.949,-23.926,77.637,251.953
1689802303.309,-16.113,-14.648,-14.648,-7.324,0.000
1689802303.313,-31.250,-19.531,-3.418,-41.992,-217.773
1689802303.317,-20.996,-23.438,-11.230,-22.949,87.891
1689802303.289,-42.480,-27.344,-20.508,-34.180,205.078
1689802303.293,-32.715,-26.855,-21.973,-21.973,-80.078
1689802303.297,-25.879,-24.414,-31.738,-33.691,-206.055
1689802303.301,-30.273,-23.438,-20.508,-54.688,-87.402
1689802303.305,-24.902,-18.066,-16.602,-29.785,-99.609
1689802303.309,-24.902,-21.484,-35.156,-2.441,-50.781
1689802303.313,-16.113,-23.438,-35.156,6.348,34.180
1689802303.316,-5.859,-28.320,-24.902,-8.789,-24.414
1689802303.320,-4.883,-34.668,-25.391,-29.785,-167.480
1689802303.324,-10.742,-34.668,-28.809,-4.883,-262.207
1689802303.328,0.488,-30.762,-34.180,27.344,-124.512
1689802303.332,15.625,-28.320,-32.715,26.367,41.016
1689802303.333,-1.953,-27.344,-27.832,-1.953,-28.320
1689802303.337,-19.043,-35.156,-26.367,-31.738,-132.324
1689802303.341,-25.391,-43.457,-13.184,-28.320,-89.844
1689802303.345,-13.672,-42.480,-18.066,2.930,304.688
1689802303.349,-7.324,-39.062,-21.484,14.160,278.809
1689802303.353,-4.395,-40.039,-14.160,-3.418,-50.781
1689802303.357,6.836,-38.574,-15.137,-12.207,-81.543
1689802303.360,-6.348,-37.109,-26.855,-0.977,153.809
1689802303.364,-13.672,-45.410,-38.574,5.371,45.898
1689802303.368,-4.883,-42.480,-24.902,15.137,-114.746
1689802303.372,-9.277,-43.457,-16.602,1.953,-40.527
1689802303.376,-8.789,-46.875,-16.602,-20.020,-75.195
1689802303.379,-26.367,-47.852,-22.461,-19.043,-188.477
1689802303.383,-22.949,-42.969,-19.043,5.371,-250.977
1689802303.387,10.254,-35.156,-15.137,30.762,-47.363
1689802303.391,2.441,-38.086,-29.785,12.695,0.488
1689802303.395,-19.043,-44.434,-48.340,-29.297,-194.824
1689802303.399,-19.043,-48.828,-37.598,-27.344,-143.066
1689802303.403,1.953,-44.434,-13.672,8.789,168.945
