timestamps,PPG1,PPG2,PPG3
1688257269.017,480.000,118857.000,50173.000
1688257269.017,478.000,118852.000,50171.000
1688257269.017,480.000,118898.000,50175.000
1688257269.017,479.000,118876.000,50202.000
1688257269.017,479.000,118911.000,50180.000
1688257269.017,478.000,118897.000,50215.000
1688257269.105,478.000,118904.000,50189.000
1688257269.105,478.000,118964.000,50223.000
1688257269.105,480.000,118955.000,50212.000
1688257269.105,478.000,118955.000,50216.000
1688257269.105,479.000,118964.000,50213.000
1688257269.105,479.000,118967.000,50238.000
1688257269.207,478.000,119030.000,50243.000
1688257269.207,480.000,119044.000,50259.000
1688257269.207,479.000,118957.000,50238.000
1688257269.207,479.000,119037.000,50257.000
1688257269.207,479.000,119077.000,50248.000
1688257269.207,480.000,119067.000,50253.000
1688257269.299,479.000,119133.000,50275.000
1688257269.299,480.000,119160.000,50279.000
1688257269.299,480.000,119142.000,50263.000
1688257269.299,480.000,119178.000,50277.000
1688257269.299,479.000,119222.000,50304.000
1688257269.299,480.000,119208.000,50320.000
1688257269.403,479.000,119220.000,50316.000
1688257269.403,479.000,119276.000,50327.000
1688257269.403,478.000,119356.000,50339.000
1688257269.403,479.000,119280.000,50316.000
1688257269.403,480.000,119338.000,50310.000
1688257269.403,479.000,119347.000,50345.000
1688257269.480,479.000,119291.000,50333.000
1688257269.480,479.000,119294.000,50331.000
1688257269.480,479.000,119255.000,50326.000
1688257269.480,478.000,119229.000,50318.000
1688257269.480,480.000,119247.000,50324.000
1688257269.480,478.000,119213.000,50329.000
1688257269.583,479.000,119243.000,50352.000
1688257269.583,478.000,119190.000,50355.000
1688257269.583,480.000,119185.000,50326.000
1688257269.583,479.000,119207.000,50352.000
1688257269.583,480.000,119173.000,50339.000
1688257269.583,479.000,119149.000,50342.000
1688257269.674,480.000,119200.000,50357.000
1688257269.674,479.000,119199.000,50343.000
1688257269.674,479.000,119194.000,50369.000
1688257269.674,478.000,119238.000,50350.000
1688257269.674,478.000,119210.000,50350.000
1688257269.674,479.000,119221.000,50383.000
1688257269.765,478.000,119211.000,50356.000
1688257269.765,479.000,119216.000,50378.000
1688257269.765,477.000,119205.000,50388.000
1688257269.765,479.000,119226.000,50354.000
1688257269.765,479.000,119279.000,50379.000
1688257269.765,479.000,119249.000,50371.000
1688257269.855,479.000,119298.000,50388.000
1688257269.855,479.000,119284.000,50382.000
1688257269.855,479.000,119300.000,50387.000
1688257269.855,478.000,119312.000,50399.000
1688257269.855,479.000,119359.000,50400.000
1688257269.855,478.000,119373.000,50407.000
1688257269.957,479.000,119368.000,50397.000
1688257269.957,479.000,119391.000,50408.000
1688257269.957,480.000,119387.000,50412.000
1688257269.957,479.000,119426.000,50397.000
1688257269.957,479.000,119421.000,50415.000
1688257269.957,480.000,119466.000,50426.000
1688257270.047,479.000,119483.000,50444.000
1688257270.047,479.000,119557.000,50425.000
1688257270.047,479.000,119574.000,50449.000
1688257270.047,478.000,119553.000,50441.000
1688257270.047,477.000,119612.000,50457.000
1688257270.047,479.000,119664.000,50463.000
1688257270.140,479.000,119671.000,50476.000
1688257270.140,479.000,119669.000,50490.000
1688257270.140,477.000,119741.000,50503.000
1688257270.140,480.000,119728.000,50475.000
1688257270.140,478.000,119669.000,50471.000
1688257270.140,479.000,119658.000,50481.000
1688257270.230,478.000,119629.000,50488.000
1688257270.230,479.000,119575.000,50485.000
1688257270.230,479.000,119543.000,50464.000
1688257270.230,479.000,119546.000,50462.000
1688257270.230,479.000,119543.000,50434.000
1688257270.230,479.000,119503.000,50467.000
1688257270.332,479.000,119538.000,50484.000
1688257270.332,479.000,119516.000,50448.000
1688257270.332,479.000,119535.000,50476.000
1688257270.332,479.000,119532.000,50445.000
1688257270.332,479.000,119484.000,50444.000
1688257270.332,480.000,119521.000,50436.000
1688257270.424,479.000,119557.000,50437.000
1688257270.424,478.000,119529.000,50439.000
1688257270.424,479.000,119615.000,50434.000
1688257270.424,479.000,119495.000,50440.000
1688257270.424,479.000,119586.000,50463.000
1688257270.424,477.000,119552.000,50437.000
1688257270.515,478.000,119575.000,50484.000
1688257270.515,478.000,119557.000,50473.000
1688257270.515,478.000,119612.000,50454.000
1688257270.515,479.000,119625.000,50477.000
1688257270.515,478.000,119601.000,50450.000
1688257270.515,480.000,119608.000,50435.000
1688257270.606,478.000,119641.000,50450.000
1688257270.606,479.000,119638.000,50442.000
1688257270.606,478.000,119646.000,50462.000
1688257270.606,479.000,119650.000,50469.000
1688257270.606,478.000,119650.000,50488.000
1688257270.606,478.000,119673.000,50474.000
1688257270.707,479.000,119699.000,50455.000
1688257270.707,478.000,119692.000,50488.000
1688257270.707,478.000,119707.000,50469.000
1688257270.707,479.000,119741.000,50476.000
1688257270.707,478.000,119809.000,50504.000
1688257270.707,479.000,119779.000,50476.000
1688257270.799,478.000,119792.000,50500.000
1688257270.799,479.000,119826.000,50508.000
1688257270.799,478.000,119834.000,50509.000
1688257270.799,478.000,119859.000,50511.000
1688257270.799,478.000,119930.000,50534.000
1688257270.799,479.000,119873.000,50505.000
1688257270.891,479.000,119887.000,50511.000
1688257270.891,477.000,119927.000,50544.000
1688257270.891,478.000,119905.000,50521.000
1688257270.891,479.000,119842.000,50505.000
1688257270.891,479.000,119867.000,50512.000
1688257270.891,479.000,119884.000,50512.000
1688257270.980,477.000,119859.000,50517.000
1688257270.980,478.000,119908.000,50516.000
1688257270.980,480.000,119846.000,50505.000
1688257270.980,479.000,119845.000,50481.000
1688257270.980,479.000,119868.000,50513.000
1688257270.980,478.000,119850.000,50504.000
1688257271.085,479.000,119841.000,50524.000
1688257271.085,479.000,119848.000,50518.000
1688257271.085,480.000,119909.000,50515.000
1688257271.085,479.000,119908.000,50519.000
1688257271.085,479.000,119939.000,50507.000
1688257271.085,479.000,119880.000,50513.000
1688257271.175,479.000,119900.000,50505.000
1688257271.175,478.000,119904.000,50505.000
1688257271.175,479.000,119874.000,50498.000
1688257271.175,480.000,119923.000,50519.000
1688257271.175,479.000,119899.000,50494.000
1688257271.175,480.000,119942.000,50514.000
1688257271.265,479.000,119953.000,50509.000
1688257271.265,479.000,119921.000,50507.000
1688257271.265,478.000,119943.000,50497.000
1688257271.265,479.000,119992.000,50523.000
1688257271.265,480.000,119975.000,50531.000
1688257271.265,481.000,119988.000,50530.000
1688257271.355,480.000,120027.000,50516.000
1688257271.355,479.000,119980.000,50520.000
1688257271.355,479.000,120055.000,50521.000
1688257271.355,479.000,120023.000,50530.000
1688257271.355,479.000,120078.000,50528.000
1688257271.355,480.000,120135.000,50527.000
1688257271.457,480.000,120126.000,50556.000
1688257271.457,480.000,120131.000,50553.000
1688257271.457,480.000,120186.000,50553.000
1688257271.457,479.000,120204.000,50554.000
1688257271.457,480.000,120200.000,50536.000
1688257271.457,479.000,120180.000,50571.000
1688257271.548,479.000,120244.000,50564.000
1688257271.548,478.000,120254.000,50566.000
1688257271.548,478.000,120202.000,50547.000
1688257271.548,479.000,120187.000,50498.000
1688257271.548,479.000,120139.000,50548.000
1688257271.548,479.000,120129.000,50555.000
1688257271.655,478.000,120082.000,50500.000
1688257271.655,478.000,120071.000,50506.000
1688257271.655,478.000,120030.000,50526.000
1688257271.655,479.000,119997.000,50518.000
